Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Cherish Uk Limited,1001245,35008,08/06/2023,"1,015.46",0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Routes Healthcare North Limited,1001918,35009,08/06/2023,459.74,0,Homecare,20364,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Routes Healthcare North Limited,1001918,35013,08/06/2023,459.74,0,Homecare,20364,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Cherish Uk Limited,1001245,35015,08/06/2023,624.6,0,Homecare,20440,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Cherish Uk Limited,1001245,35016,08/06/2023,"1,475.42",0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Cherish Uk Limited,1001245,35017,08/06/2023,624.6,0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Cherish Uk Limited,1001245,35018,08/06/2023,"8,456.36",0,Supported Living / Group Homes,20268,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Cherish Uk Limited,1001245,35025,08/06/2023,"6,215.70",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35028,08/06/2023,649.95,0,Homecare,20440,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35029,08/06/2023,"4,172.91",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35030,08/06/2023,446.82,0,Homecare,20184,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35031,08/06/2023,"3,718.73",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35032,08/06/2023,"3,165.66",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35033,08/06/2023,"4,335.72",0,Supported Living / Group Homes,20139,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35034,08/06/2023,"4,335.72",0,Supported Living / Group Homes,20139,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35035,08/06/2023,"4,304.52",0,Supported Living / Group Homes,20139,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35036,08/06/2023,"2,947.11",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35037,08/06/2023,"2,755.59",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35038,08/06/2023,"3,046.83",0,Supported Living / Group Homes,20139,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35039,08/06/2023,"2,976.61",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35040,08/06/2023,"2,782.81",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35041,08/06/2023,"3,365.24",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35042,08/06/2023,"2,105.68",0,Homecare,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35043,08/06/2023,"5,017.68",0,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35044,08/06/2023,"2,363.45",0,Supported Living / Group Homes,20139,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Homecare Services Limited,1000207,35045,08/06/2023,333.38,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35046,08/06/2023,"1,581.65",0,Supported Living / Group Homes,20421,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35047,08/06/2023,"1,581.65",0,Supported Living / Group Homes,20421,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35048,08/06/2023,"1,581.65",0,Supported Living / Group Homes,20421,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Homecare Services Limited,1000207,35049,08/06/2023,304.8,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35050,08/06/2023,"1,581.65",0,Supported Living / Group Homes,20421,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Homecare Services Limited,1000207,35054,08/06/2023,304.8,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35057,08/06/2023,"1,481.37",0,Supported Living / Group Homes,20421,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Premier Care Limited,1003720,35058,08/06/2023,590.24,0,Homecare,20269,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Homecare Services Limited,1000207,35062,08/06/2023,304.8,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
I Care Gb Limited,1000036,35065,08/06/2023,"3,262.84",0,Homecare,20171,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Homecare Services Limited,1000207,35066,08/06/2023,266.7,0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Homecare Services Limited,1000207,35069,08/06/2023,304.8,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
M I Hamid T/A Care Solutions,1003770,35085,08/06/2023,609.28,0,Homecare,20422,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
M I Hamid T/A Care Solutions,1003770,35089,08/06/2023,266.56,0,Homecare,20459,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
M I Hamid T/A Care Solutions,1003770,35092,08/06/2023,533.12,0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
M I Hamid T/A Care Solutions,1003770,35098,08/06/2023,437.92,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35102,08/06/2023,257.04,0,Homecare,20459,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35103,08/06/2023,257.04,0,Homecare,20377,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35108,08/06/2023,304.64,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35109,08/06/2023,333.2,0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35110,08/06/2023,257.04,0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35119,08/06/2023,333.2,0,Homecare,20393,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35121,08/06/2023,266.56,0,Homecare,20140,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35123,08/06/2023,266.56,0,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35125,08/06/2023,266.56,0,Homecare,20422,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Baxter Life Care Ltd,1002505,35127,08/06/2023,266.56,0,Homecare,20459,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35128,08/06/2023,"1,652.48",0,Supported Living / Group Homes,20439,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35129,08/06/2023,"1,581.65",0,Supported Living / Group Homes,20421,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Guardian Homecare,1000403,35130,08/06/2023,"1,652.48",0,Supported Living / Group Homes,20421,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35131,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35132,08/06/2023,316.01,52.67,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35133,08/06/2023,632.02,105.34,Other Day Services,20513,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35136,08/06/2023,526.68,87.78,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35137,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35138,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35139,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35140,08/06/2023,632.02,105.34,Other Day Services,20460,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35141,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35143,08/06/2023,421.34,70.22,Other Day Services,20157,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35147,08/06/2023,842.69,140.45,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35148,08/06/2023,632.02,105.34,Other Day Services,20478,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35149,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35150,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35151,08/06/2023,421.34,70.22,Other Day Services,20270,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35152,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35153,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35154,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35156,08/06/2023,456.96,76.16,Homecare,20222,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35157,08/06/2023,632.02,105.34,Other Day Services,20141,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35158,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35159,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35160,08/06/2023,997.58,166.27,Other Day Services,20492,64508,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35161,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35162,08/06/2023,"1,827.84",304.64,Homecare,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35163,08/06/2023,421.34,70.22,Other Day Services,20270,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35164,08/06/2023,421.34,70.22,Other Day Services,20441,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35168,08/06/2023,"1,053.36",175.56,Other Day Services,20478,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35169,08/06/2023,579.35,96.56,Other Day Services,20235,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35170,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35171,08/06/2023,421.34,70.22,Other Day Services,20270,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35174,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35176,08/06/2023,421.34,70.22,Other Day Services,20276,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35179,08/06/2023,421.34,70.22,Other Day Services,20235,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35180,08/06/2023,421.34,70.22,Suspense - Int - Mosaic Supp Living,99963,99963,Suspense - Int - Mosaic Supp Living,Not Applicable,,NA,Not Applicable,NA,Not Applicable,NA,Not Applicable
Independent Living (North West) Ltd,1001098,35183,08/06/2023,456.96,76.16,Homecare,20477,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35184,08/06/2023,"1,053.36",175.56,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35186,08/06/2023,632.02,105.34,Other Day Services,20441,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35189,08/06/2023,"1,053.36",175.56,Other Day Services,20235,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35191,08/06/2023,"1,053.36",175.56,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35193,08/06/2023,421.34,70.22,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35194,08/06/2023,632.02,105.34,Other Day Services,20223,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35196,08/06/2023,632.02,105.34,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Independent Living (North West) Ltd,1001098,35198,08/06/2023,421.34,70.22,Other Day Services,20157,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Mayne Special Needs,1002730,35215,13/06/2023,580,0,Equipment Store Recycle,20025,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Ellis & York Ltd,1001921,35219,08/06/2023,713.17,118.86,Municipal Buildings,40060,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDMB,Buildings -Municipal Buildings
Ellis & York Ltd,1001921,35221,08/06/2023,520.57,86.76,Carleton Crematorium Services,61064,61012,Maintenance Private Contractor,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LIFEVE1,Life Events Reg & Care,LIFEVE3,Life Events Reg & Care
Ellis & York Ltd,1001921,35222,08/06/2023,"1,950.43",325.07,Langdale Day Centre,40054,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDAD,Buildings - Adult Services
Ellis & York Ltd,1001921,35225,14/06/2023,669.62,111.6,The Willows,40049,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Ellis & York Ltd,1001921,35226,14/06/2023,421.97,70.33,Christ The King,40051,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Fylde Coast Gate Ltd,1000500,35233,13/06/2023,360,60,R&M Recharge Acct - Queens Drive Primar,40016,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDEC,Buildings - External Clients
Automatic Alarms Ltd,1000535,35249,30/06/2023,"2,167.78",361.3,R&M Recharge Acct - St Georges Academy,40020,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDEC,Buildings - External Clients
Death To Pest Ltd,1001288,35250,13/06/2023,"1,740.00",290,Palatine Leisure Centre,40009,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDLC,Buildings - Leisure Centres
MINI SOIL SURVEYS (NORTHERN) LTD,1139710,35252,30/06/2023,739.2,123.2,Project Recharges Holding A/C,40124,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,BLMTCE,Building Maintenence,BLMTCE2,Building Maintenence
5-Am Contact Contract Cleaning Ltd,1001018,35253,08/06/2023,"2,343.00",390.5,My Place (The Oracle),40034,61601,Consumable Supplies,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Post Office Ltd,1000169,35266,08/06/2023,"5,000.00",0,Client Finances,40067,63401,General Services,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Askews And Holts Library Services Ltd,1000479,35270,12/06/2023,278.52,0,Bibliography,50007,63308,Servicing,Communication & Regeneration,,AMCPI,Communication & Regeneration,LB,Library Service,LB2,Library Service
Askews And Holts Library Services Ltd,1000479,35272,26/06/2023,396.24,0,Bibliography,50007,63308,Servicing,Communication & Regeneration,,AMCPI,Communication & Regeneration,LB,Library Service,LB2,Library Service
Askews And Holts Library Services Ltd,1000479,35274,26/06/2023,323.9,0,Bibliography,50007,63308,Servicing,Communication & Regeneration,,AMCPI,Communication & Regeneration,LB,Library Service,LB2,Library Service
Askews And Holts Library Services Ltd,1000479,35276,26/06/2023,626.64,0,Bibliography,50007,63308,Servicing,Communication & Regeneration,,AMCPI,Communication & Regeneration,LB,Library Service,LB2,Library Service
Askews And Holts Library Services Ltd,1000479,35292,16/06/2023,284.22,0,Bibliography,50007,63308,Servicing,Communication & Regeneration,,AMCPI,Communication & Regeneration,LB,Library Service,LB2,Library Service
Education Business Partnership (Nw) Limited,1002902,35321,09/06/2023,592.8,98.8,Pru Supplies And Services,10449,64501,Private Contractors,Children's Services,,CHISER,Children's Services,EDDIV,Education Diversity,EDDIV2,Education Diversity
Johnson & Reeves Limited,1006104,35327,09/06/2023,"1,470.00",245,Prevention Fund,64016,61704,Bed and Breakfast Accommodation,Chief Executive,,CEXTOT,Chief Executive,HOPTION,Housing Options,HOPTION2,Housing Options
Szpunar & Associates Ltd,1002295,35332,26/06/2023,600,0,Adults Training,20032,60911,Training Expenses,Adult Services,,ADULTS,Adult Services,ADULTTR,Adults Training,ADULTTR2,Adults Training
Smiths Equipment Hire Ltd - Smiths Training,1000122,35334,13/06/2023,"1,131.60",188.6,Maintenance,50095,63006,Hire of Equipment,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
Abl Planning And Development Ltd,1005142,35337,23/06/2023,"1,485.00",0,Planning Development Management,50137,64501,Private Contractors,Communication & Regeneration,,AMCPI,Communication & Regeneration,HP,Planning Services,HP2,Planning Services
Wedge Group Galvanizing Ltd,1001978,35344,27/06/2023,608.56,101.43,Town Deal Projects,50129,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJNA1,New Features / Schemes - C & E
Blackpool Sound And Light,1001561,35346,09/06/2023,"4,097.00",0,Maintenance,50095,63308,Servicing,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
Philip Holmes T/A Dragon Creative,1003050,35348,09/06/2023,"1,101.91",0,Maintenance,50095,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
