Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Cornerstone Design And Marketing Limited,1005360,90762,03/10/2023,"3,000.00",500,Leisure Management Staffing,30016,63401,General Services,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Blackpool Council,Sellick Partnership Limited,1001076,90763,02/10/2023,"2,330.63",388.44,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,Cornerstone Design And Marketing Limited,1005360,90771,03/10/2023,360,60,Dd Account,30022,63806,Advertising General,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Blackpool Council,REDACTED PERSONAL DATA,1004232,90803,03/10/2023,622.8,103.8,Stock,50106,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJBA1,Wages Overhead Account
Blackpool Council,Jcb Price & Son Ltd,1005281,90825,06/10/2023,"3,960.00",660,Layton Cemetery Services,61065,61062,Other Minor Repairs,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LIFEVE1,Life Events Reg & Care,LIFEVE3,Life Events Reg & Care
Blackpool Council,REDACTED PERSONAL DATA,1003148,90835,02/10/2023,516,86,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1003148,90837,02/10/2023,690,115,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,Pearce Clinical Psychology Services Ltd,1002189,90866,06/10/2023,"1,383.00",0,Corporate Health,64003,60992,Medical Fees,Chief Executive,,CEXTOT,Chief Executive,OCHEALT,Doesn?t Exist,OCHEALT2,Doesn?t Exist
Blackpool Council,Zengenti Ltd,1002234,90897,06/10/2023,"3,840.00",640,Directory Of Services Project,10463,63535,Website Costs,Children's Services,,CHISER,Children's Services,EYT,Early Years Team,EYT2,Early Years Team
Blackpool Council,Whistl Uk Limited,1001944,90921,03/10/2023,"6,594.34","1,099.06",Post Team,40115,63511,Postages,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
