Body_Code,Body_Name,Service,Posting Date,GL Code,GL Code Desc,Doc Number,Doc Net Amount,Supplier Name
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,02/08/2024,5227,Other Transport Arrangements,3111728731,"4,200.00",AMBASSADOR CARS (OXON) LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Reactive Maintenance,07/08/2024,3787,Premises Repairs,2201256361,"4,200.00",BARNES AND WELLS TREE CARE LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Family Solutions Plus Non-staff - North,01/08/2024,5227,Other Transport Arrangements,3111728167,"4,200.00",Bicester Cars UK Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,16/08/2024,4330,Transport to School Activities,3111738446,"4,200.00",Oxon Transport Services Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Independent Foster,07/08/2024,5559,Children's Placements Off-Contract,3111730270,"4,206.97",APEX FOSTERING LIMITED
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5686,Residential Home Bed,3111732306,"4,207.14",Cheney House Care Home
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731802,"4,208.47",Beech Court Nursing Home
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Physical Support,13/08/2024,5699,Home Support – Home First,3111736836,"4,215.15",Direct Link Care Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Physical Support,13/08/2024,5699,Home Support – Home First,3111736934,"4,215.15",FLEXI DIRECT LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733808,"4,216.89",METHODIST HOMES
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733816,"4,216.89",METHODIST HOMES
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733864,"4,216.89",The Ridings (Anchor Trust)
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Physical Support,13/08/2024,5698,Home Support - HTLAH Help to Live at Hom,3111735269,"4,217.09",Acquire Care Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,27/08/2024,5899,Adult Social Care - Direct Payments,3111741603,"4,221.24",Purple Conversation Com In Co (DP)
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,YP PATHWAY,28/08/2024,5604,Single Mainstream Bed,3111742700,"4,222.20",Response Organisation
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,YP PATHWAY,28/08/2024,5604,Single Mainstream Bed,3111742701,"4,222.20",Response Organisation
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,COMM DRAWDOWN FUNDNG,12/08/2024,8102,Payments to main contractor,2201257619,"4,224.00",SIGNWAY SUPPLIES
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,COMM DRAWDOWN FUNDNG,21/08/2024,8102,Payments to main contractor,2201259301,"4,224.26",Milestone Infrastructure Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Temporary Service Family Accommodation,06/08/2024,4939,Free School Meals - Pupils,3111729284,"4,225.00",Grove Cof E School
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,9-MONTHS-2YRS WORKING PARENT,13/08/2024,5537,Payments to Other Establishments,3111734490,"4,226.46",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,27/08/2024,5899,Adult Social Care - Direct Payments,3111742185,"4,228.00",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Memory & Cognition,27/08/2024,5899,Adult Social Care - Direct Payments,3111741951,"4,229.60",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,07/08/2024,5227,Other Transport Arrangements,3111730118,"4,230.00",Oxford Premier Cars Services Limite
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,STI TESTING+TREATMEN,28/08/2024,4940,Other Services,3111742471,"4,230.00",Royal Berkshire NHS Foundation Trus
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731915,"4,230.13",METHODIST HOMES
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Mental Health,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731926,"4,230.13",METHODIST HOMES
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733432,"4,230.13",Mill House Nursing Home
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733272,"4,232.56",HULCOTT
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Physical Support,13/08/2024,5689,Home Support,3111735655,"4,232.75",Genuine Carers Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731696,"4,234.38",ACER HEALTHCARE LTD
