Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
SHIRLEY TURNER,11163540,27/08/2024,"2,175.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
SHUBBLE EDUCATION LIMITED,1112998,20/08/2024,615,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
SHUBBLE EDUCATION LIMITED,1112953,19/08/2024,560,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
SHUBBLE EDUCATION LIMITED,1112956,19/08/2024,660,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
SHUBBLE EDUCATION LIMITED,1112952,19/08/2024,"1,560.00",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
SHUBBLE EDUCATION LIMITED,1112954,19/08/2024,"1,070.00",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
SHUBBLE EDUCATION LIMITED,1112957,19/08/2024,"2,700.00",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
SKERNE PARK COMM ENTERPRISE ASSOC  LTD,11163478,27/08/2024,"2,100.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
SKERNE PARK COMM ENTERPRISE ASSOC  LTD,11163479,27/08/2024,"23,940.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
SKERNE PARK COMM ENTERPRISE ASSOC  LTD,11163480,27/08/2024,"7,980.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
SKERNE PARK COMM ENTERPRISE ASSOC  LTD,11163481,27/08/2024,"42,424.20",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
SPARK OF GENIUS (NORTH EAST LLP),11163360,19/08/2024,595,Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
SPARK OF GENIUS (NORTH EAST LLP),11163605,29/08/2024,"1,840.78",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ST EDWINS PRE-SCHOOL,11163456,27/08/2024,"2,100.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ST EDWINS PRE-SCHOOL,11163457,27/08/2024,"1,596.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ST EDWINS PRE-SCHOOL,11163458,27/08/2024,"12,768.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ST EDWINS PRE-SCHOOL,11163459,27/08/2024,"7,179.48",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
STEADFAST TRAINING LTD T/A STEADFAST E,55580409,07/08/2024,585,Exam Fees,SUPPLIES & SERVICES,SERVICES
STEPHEN AMOS,55579689,21/08/2024,792.62,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
TEESSIDE HIGH SCHOOL,11163359,19/08/2024,595,Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
THE EDUCATION NETWORK LTD,55576509,28/06/2024,"1,125.52",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
THE EDUCATION NETWORK LTD,55577582,12/07/2024,"1,406.90",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
THE EDUCATION NETWORK LTD,55577233,05/07/2024,844.14,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
THE EDUCATION VILLAGE ACADEMY TRUST,11163351,19/08/2024,"55,197.92",Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
THE EDUCATION VILLAGE ACADEMY TRUST,11163353,19/08/2024,"152,977.08",Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
THE EDUCATION VILLAGE ACADEMY TRUST,11163355,19/08/2024,"219,587.00",Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
THE EDUCATION VILLAGE ACADEMY TRUST,11163352,19/08/2024,"8,750.00",Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
THE EDUCATION VILLAGE ACADEMY TRUST,11163354,19/08/2024,"24,250.00",Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
THE EDUCATION VILLAGE ACADEMY TRUST,11163347,16/08/2024,"147,180.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
THE EDUCATION VILLAGE ACADEMY TRUST,11163348,16/08/2024,"22,300.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
THE EDUCATION VILLAGE ACADEMY TRUST,11163349,16/08/2024,"196,350.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
THE EDUCATION VILLAGE ACADEMY TRUST,11163350,16/08/2024,"29,750.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
THE EDUCATION VILLAGE ACADEMY TRUST,11163403,22/08/2024,"24,000.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
THE EDUCATION VILLAGE ACADEMY TRUST,11163324,15/08/2024,"8,723.04",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE EDUCATION VILLAGE ACADEMY TRUST,11163325,15/08/2024,"9,012.02",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE EDUCATION VILLAGE ACADEMY TRUST,11163326,15/08/2024,"7,092.38",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE EDUCATION VILLAGE ACADEMY TRUST,11163327,15/08/2024,"1,934.13",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE EDUCATION VILLAGE ACADEMY TRUST,11163328,15/08/2024,"1,738.11",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE EDUCATION VILLAGE ACADEMY TRUST,11163356,19/08/2024,"42,500.00",Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
THE FEDERATION OF ABBEY SCHOOLS ACADEMY TRUST,55577956,16/07/2024,"2,109.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
THE OUTDOOR PRE-SCHOOL,11163511,27/08/2024,"56,565.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
THE OUTDOOR PRE-SCHOOL,11163508,27/08/2024,"1,596.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
THE OUTDOOR PRE-SCHOOL,11163509,27/08/2024,"22,982.40",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
THE SECRET GARDEN NURSERY,11163486,27/08/2024,"42,000.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
THE SECRET GARDEN NURSERY,11163487,27/08/2024,"3,192.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
THE SECRET GARDEN NURSERY,11163488,27/08/2024,"39,900.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
THE SECRET GARDEN NURSERY,11163489,27/08/2024,"40,248.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
THE SKILLS NETWORK,55580328,27/08/2024,"2,495.00",Exam Fees,SUPPLIES & SERVICES,SERVICES
THOMAS BARRETT,55578336,19/07/2024,"1,556.10",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578333,19/07/2024,"1,440.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578335,19/07/2024,"2,040.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578338,19/07/2024,"1,014.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578330,19/07/2024,"4,046.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578332,19/07/2024,"2,079.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578334,19/07/2024,"1,203.60",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578337,19/07/2024,921.3,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
THOMAS BARRETT,55578331,19/07/2024,"4,484.16",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
TINY TURNERS NURSERY,11163490,27/08/2024,"29,400.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TINY TURNERS NURSERY,11163491,27/08/2024,"6,384.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TINY TURNERS NURSERY,11163492,27/08/2024,"15,960.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TINY TURNERS NURSERY,11163493,27/08/2024,"26,107.20",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TOPOLI LEISURE LTD,11163432,27/08/2024,"10,500.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TOPOLI LEISURE LTD,11163433,27/08/2024,"19,152.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TOPOLI LEISURE LTD,11163434,27/08/2024,"14,364.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TOPOLI LEISURE LTD,11163435,27/08/2024,"29,370.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TRACEY GIBBONS (TRA'S TOTS),11163524,27/08/2024,"6,300.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TRACEY WATERS,11163530,27/08/2024,"8,400.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
TRACEY WATERS,11163531,27/08/2024,"1,596.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
UNITED TAXIS LTD,55579818,01/08/2024,612,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579798,01/08/2024,"2,400.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579799,01/08/2024,"1,501.50",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579807,01/08/2024,"2,720.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579796,01/08/2024,"2,250.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579801,01/08/2024,"1,950.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579804,01/08/2024,"1,481.51",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579797,01/08/2024,"1,800.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579805,01/08/2024,"2,560.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579806,01/08/2024,"2,395.37",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579817,01/08/2024,"4,500.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579808,01/08/2024,"2,400.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55580219,01/06/2024,700,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UNITED TAXIS LTD,55579819,01/08/2024,"2,380.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
UPPERTHORPE NURSERY LTD,11163504,27/08/2024,"71,400.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
UPPERTHORPE NURSERY LTD,11163505,27/08/2024,"20,748.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
UPPERTHORPE NURSERY LTD,11163506,27/08/2024,"35,112.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
UPPERTHORPE NURSERY LTD,11163507,27/08/2024,"69,474.16",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
VISIONAID TECHNOLOGIES LTD,55579617,31/07/2024,"2,375.00",Equipment Specialist Care,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
WARD HADAWAY SOLICITORS,55579303,30/07/2024,"2,250.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
WAVE - ANGLIAN WATER BUSINESS NATIONAL LTD,1112942,19/08/2024,"3,694.75",Water Charges,PREMISES,WATER SERVICES
WHINFIELD PRIMARY SCHOOL,55578059,19/07/2024,650,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
WINGS EDUCATION LTD,11163370,19/08/2024,"1,190.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
YORKSHIRE PURCHASING ORGANISATION,1113010,20/08/2024,"1,964.67",Key Stage 2 - Lower,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
YORKSHIRE PURCHASING ORGANISATION,1113011,20/08/2024,"1,578.57",Key Stage 1,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
YORKSHIRE PURCHASING ORGANISATION,1113012,20/08/2024,852.25,Early Years,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
YORKSHIRE PURCHASING ORGANISATION,1113017,21/08/2024,903.92,Key Stage 2 - Upper,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
YOUR CHAPTER LTD,11163606,29/08/2024,"1,840.78",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
YOUR CHAPTER LTD,11163367,19/08/2024,595,Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
AofL LTD,55578785,25/07/2024,525,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
COCKERTON PHARMACY (A K MEDICAL CONSULTANCY LTD),55579782,31/05/2024,521.79,Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
COUNTY DURHAM & DARLINGTON NHS FOUNDATIO,55579448,28/07/2024,"6,536.01",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
COUNTY DURHAM & DARLINGTON NHS FOUNDATIO,55579903,01/08/2024,"8,750.00",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
COUNTY DURHAM & DARLINGTON NHS FOUNDATIO,55577713,01/08/2024,625,Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
COUNTY DURHAM & DARLINGTON NHS FOUNDATIO,55577715,01/08/2024,"2,416.58",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
HARROGATE AND DISTRICT NHS FOUNDATION TRUST,55579261,29/07/2024,"192,985.91",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
HCRG CARE SERVICES,55577652,10/07/2024,932,Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
ILLY SYSTEMS,55577917,17/07/2024,"3,761.00",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
NHS BUSINESS SERVICES AUTHORITY,55578369,15/05/2024,"14,631.96",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
NORTH OF ENGLAND COMMISSION SUPPORT,55579586,31/07/2024,"2,133.47",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
OUTDOOR-AMBITION LTD,55579189,08/07/2024,"13,125.00",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
PRIMARY HEALTHCARE DARLINGTON LIMITED,55578367,01/07/2024,"12,763.30",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
PRIMARY HEALTHCARE DARLINGTON LIMITED,55579795,01/08/2024,"12,763.30",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
ROWLANDS PHARMACY,55579783,31/05/2024,682.32,Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ROWLANDS PHARMACY,55579791,30/04/2024,610.9,Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WE ARE WITH YOU,55579498,31/07/2024,"99,656.58",Other Health Bodies,THIRD PARTY PAYMENTS,HEALTH AUTHORITIES
APEC ENVIRONMENTAL,55578907,24/07/2024,"1,000.00",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
BWB CONSULTING LTD,55579951,23/08/2024,"1,570.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
CHRIS POWTON FENCING,55578501,23/07/2024,"1,536.00",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
RE:GEN SOLUTION,55578691,09/07/2024,"3,395.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
A STAR SCAFFOLDING,55579849,01/08/2024,"1,320.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
A STAR SCAFFOLDING,55580052,31/07/2024,700,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
A STAR SCAFFOLDING,55580052,31/07/2024,700,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
A STAR SCAFFOLDING,55580052,31/07/2024,640,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
A STAR SCAFFOLDING,55580052,31/07/2024,650,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
A STAR SCAFFOLDING,55580052,31/07/2024,"2,705.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
A STAR SCAFFOLDING,55579609,31/07/2024,"3,300.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ADT FIRE & SECURITY PLC,55579223,28/07/2024,706.74,Repairs - Intruder Alarms,PREMISES,FIXTURES & FITTINGS
APEC ENVIRONMENTAL,55578494,23/07/2024,550,Asbestos Removal External Contractor,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
APEC ENVIRONMENTAL,55578496,23/07/2024,"1,800.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
APEC ENVIRONMENTAL,55578497,23/07/2024,"2,700.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ARM PIPETEK,55579379,30/07/2024,"1,492.24",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASHCOURT (DURHAM & TEES VALLEY),55579363,30/07/2024,675,Premises Related Hire Charges,PREMISES,RENTS
ASHCOURT (DURHAM & TEES VALLEY),55578412,08/07/2024,"1,060.00",Premises Related Hire Charges,PREMISES,RENTS
AYCLIFFE FABRICATIONS LTD,55579112,29/07/2024,"1,631.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BARCLAY ROOFING LTD,55578669,23/07/2024,"8,625.48",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BCE NORTHERN LIMITED,55579499,31/07/2024,"32,924.23",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BRICKWORK DIRECT LIMITED,55578110,21/07/2024,"99,642.36",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BSRIA LIMITED,55577054,04/07/2024,605,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BSRIA LIMITED,55577948,16/07/2024,"1,295.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CENTRICA BUSINESS SOLUTIONS (GENERATION) LTD,55579844,01/08/2024,"3,574.79",Electricity,PREMISES,ENERGY COSTS
CITY CLEAN NORTHERN LTD,55579256,29/07/2024,525,Building Cleaning,PREMISES,CLEANING & DOMESTIC SUPPLIES
COMMERCIAL COVERINGS LTD,55579655,31/07/2024,"3,140.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CORGI (NOTIFICATIONS),55579639,31/07/2024,"2,004.75",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
CORONA ENERGY LTD,57716341,15/08/2024,744.07,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716326,15/08/2024,"2,561.93",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716322,15/08/2024,"23,355.02",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716359,15/08/2024,530.15,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716325,15/08/2024,"4,855.63",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716358,15/08/2024,"2,379.37",Gas,PREMISES,ENERGY COSTS
CROSSLING LTD,55579928,03/08/2024,"1,389.12",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579930,03/08/2024,794.17,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579342,30/07/2024,698.26,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579985,02/08/2024,574,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55580001,02/08/2024,794.17,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579929,03/08/2024,885.73,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578886,25/07/2024,613.08,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578862,24/07/2024,716.98,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579986,02/08/2024,574,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579986,02/08/2024,756,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579706,31/07/2024,999.86,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579704,31/07/2024,794.17,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579707,31/07/2024,"1,459.68",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577985,17/07/2024,803.56,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578945,26/07/2024,980.85,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578946,26/07/2024,"1,537.12",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578553,23/07/2024,"1,468.29",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579318,30/07/2024,"1,693.45",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578219,22/07/2024,"1,546.02",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578220,22/07/2024,683.72,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578114,19/07/2024,"1,352.17",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579103,29/07/2024,793.92,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578848,24/07/2024,"1,615.65",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578861,25/07/2024,980.85,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578860,31/03/2024,"1,578.43",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579104,29/07/2024,"1,647.29",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578595,18/07/2024,999.86,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579343,30/07/2024,793.92,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55578221,22/07/2024,"1,995.04",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55580135,05/08/2024,977.08,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55580137,05/08/2024,"1,408.66",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55579271,19/06/2024,"4,521.88",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577824,15/07/2024,"4,280.42",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577826,15/07/2024,795.64,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577727,12/07/2024,"1,322.38",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577728,12/07/2024,795.64,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577729,12/07/2024,"1,134.89",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577730,12/07/2024,"1,431.13",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577748,12/07/2024,"1,034.48",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577912,16/07/2024,803.56,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577747,12/07/2024,795.64,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577831,15/07/2024,"1,995.04",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CROSSLING LTD,55577986,17/07/2024,"1,171.67",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55577987,17/07/2024,"1,286.50",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
