,Expenditure over £500,,,,,,,,
,<<For the period from 01 January 2024 to 31 March 2024>>,,,,,,,,
,,,,,,,,,
Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Oxford City Council,Business Improvement,Postage & Carriage,D3501,26/03/2024,1098253 - 1,"3,118.61",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,21/03/2024,1098254 - 1,"17,670.55",Revenue,20007875,MIDLAND HR
Oxford City Council,Business Improvement,Health Screening,D3428,12/03/2024,1098263 - 1,"1,139.00",Revenue,20012497,CHILDCARE VOUCHERS LTD
Oxford City Council,Business Improvement,Management Development,A0637,14/03/2024,1098315 - 1,545,Revenue,20020796,BLANK WHITE PAGE LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,26/03/2024,1098328 - 1,"11,792.00",Revenue,20016203,PENNA PLC
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1098340 - 1,"6,632.50",Capital,20020694,KINGSFIELD COMPUTER PRODUCTS LTD
Oxford City Council,Business Improvement,Short Courses,A0622,26/03/2024,1098383 - 1,"2,405.70",Revenue,20021492,PHOENIX SOFTWARE LTD
Oxford City Council,Business Improvement,Contract Printing (External),D3303,26/03/2024,1098387 - 1,"1,714.82",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Contract Printing (External),D3303,26/03/2024,1098404 - 1,"1,338.09",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,26/03/2024,1098405 - 1,"6,891.76",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,26/03/2024,1098406 - 1,"5,503.92",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,IT Skills Development,A0638,26/03/2024,1098427 - 2,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,Contract Printing (External),D3303,26/03/2024,1098430 - 1,"4,804.05",Revenue,20021265,LEXON GB LTD
Oxford City Council,Business Improvement,Health Screening,D3428,19/03/2024,1098440 - 1,563.65,Revenue,20012497,CHILDCARE VOUCHERS LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1098568 - 1,"11,023.14",Capital,20019668,PLANET IT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1098569 - 1,"1,590.00",Capital,20019668,PLANET IT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1098570 - 1,"3,975.00",Capital,20019668,PLANET IT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1098592 - 1,"1,500.00",Capital,20010153,CIVICA UK LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,26/03/2024,1098593 - 1,"2,768.26",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1098594 - 1,"37,447.20",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,External Telephone Charges,D3503,26/03/2024,1098603 - 1,"1,677.79",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,External Telephone Charges,D3503,26/03/2024,1098604 - 1,"1,677.79",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Corporate Development Programme,A0631,26/03/2024,1098667 - 1,"3,600.00",Revenue,20020135,INCLUSIVE EMPLOYERS LIMITED
Oxford City Council,Business Improvement,General Contracted Services,D3401,26/03/2024,1098678 - 1,"1,204.75",Revenue,20020068,"WORD360 LTD.,"
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1098681 - 1,"5,248.00",Capital,20010153,CIVICA UK LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,26/03/2024,1098683 - 1,"1,993.74",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,26/03/2024,1098763 - 1,"1,800.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,26/03/2024,1098764 - 1,650,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
