Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",MUSEUMNEXT LIMITED,77806,04/04/2024,10625546,666.67,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",50933,TEES VALLEY MUSEUM GROUP - NPO GRANT,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,OVE ARUP & PARTNERS INTERNATIONAL LTD,35169,04/04/2024,10625549,2572.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,TRANSPORTATION,C201,CONTRACTOR PAYMENTS,C1085,ADVANCE DESIGN - CURRENT - SBC,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,NHS NORTH EAST & NORTH CUMBRIA ICB (QHM),62556,04/04/2024,10625560,50000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,QUALITY AND PRACTICE IMPROVEMENT,4037,"Professional, Consultancy and Hired Services",21144,QUALITY AND PRACTICE IMPROVEMENT,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",NORTH EAST TRAFFIC DATA COLLECTION LTD,64275,04/04/2024,10625561,1300.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",11503,NETWORK & TRAFFIC,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,AD ASTRA ACADEMY TRUST,68814,04/04/2024,10625562,2584.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PARTNERSHIPS,4037,"Professional, Consultancy and Hired Services",20077,SCITT,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"FINANCE, DEVELOPMENT & REGEN",TRUSTMARQUE SOLUTIONS LTD,35823,04/04/2024,10625570,2048.39,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,STOCKTON ICT & XENTRALL,4021,ICT Costs,90065,DESK TOP LICENSING,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ENVIRONMENT, CULTURE, LEISURE & EVENTS CAPITAL",NORTHUMBRIAN WATER LTD,35071,09/04/2024,10625571,507.50,370000,Utilities,Not Classified,Not Classified,no,CAPITAL,LIBRARIES,C201,CONTRACTOR PAYMENTS,C5357,HOUSEHOLD WASTE RECYCLING CENTRE,28/11/2023,0,0,2024,202401,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",APSE,33471,04/04/2024,10625573,1360.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1701,"Recruitment, Retention & Training",10033,HIGHWAY MAINTENANCE,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",KATE TRAVERS ASSOCIATES,78197,04/04/2024,10625574,2160.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",50933,TEES VALLEY MUSEUM GROUP - NPO GRANT,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",NISBETS,35049,04/04/2024,10625589,551.42,111100,Catering,Equipment & Utensils,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50220,CATERING MANAGEMENT,07/03/2024,0,0,2023,202312,SBC
