,,LOCAL GOVERNMENT TRANSPARENCY CODE,,,,,,,,,,
,,EXPENDITURE AND GOVERNMENT PROCUREMENT CARD EXPENDITURE OVER £500 ,,,,,,,,,,
,,QUARTER 4 - 2024/2025,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Organisation Name,Transaction Number,Service Label,Organisation Unit,Expenditure Category,Payment Date,Net Value,Non Recoverable VAT,Capital or Revenue,Supplier,Card Transaction,Procurement Classification / Merchant Category - Proclass Code,Procurement Classification / Merchant Category - Proclass Description
Hartlepool Borough Council,0060603004,Adult & Community Based Services,Commissioning - Adults,Grants & Donations,45721,8105.25,0,Revenue,The Stroke Association,No,261500,Human Resources - Training & Conferences 
Hartlepool Borough Council,0060597673,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45665,19655.29,0,Revenue,Joseph Rowntree Foundation,No,202000,Financial Services - Rents
Hartlepool Borough Council,0060599757,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45693,19672.05,0,Revenue,Joseph Rowntree Foundation,No,202000,Financial Services - Rents
Hartlepool Borough Council,0060602978,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45721,21289.39,0,Revenue,Joseph Rowntree Foundation,No,202000,Financial Services - Rents
Hartlepool Borough Council,0060597674,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45665,4833.12,0,Revenue,Real Life Options,No,321210,Social Community Care Supplies & Services - Children - Disabled Children - Care Services
Hartlepool Borough Council,0060599758,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45693,4833.12,0,Revenue,Real Life Options,No,321210,Social Community Care Supplies & Services - Children - Disabled Children - Care Services
Hartlepool Borough Council,0060602979,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45721,4833.12,0,Revenue,Real Life Options,No,321210,Social Community Care Supplies & Services - Children - Disabled Children - Care Services
Hartlepool Borough Council,0060597493,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45665,21122.32,0,Revenue,Stonham,No,321700,Social Community Care Supplies & Services - Adult - Floating Support
Hartlepool Borough Council,0060600281,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45693,21122.32,0,Revenue,Stonham,No,321700,Social Community Care Supplies & Services - Adult - Floating Support
Hartlepool Borough Council,0060602981,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45721,21122.32,0,Revenue,Stonham,No,321700,Social Community Care Supplies & Services - Adult - Floating Support
Hartlepool Borough Council,0060599756,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45693,44510.31,0,Revenue,Thirteen Housing Group Limited,No,391100,"Works - Construction, Repair & Maintenance - Buildings "
Hartlepool Borough Council,0060602977,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45721,45146.68,0,Revenue,Thirteen Housing Group Limited,No,391100,"Works - Construction, Repair & Maintenance - Buildings "
