DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,KONE PLC,01/02/2024,75472,312476,"3,076.92",Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,LANGLEY GATES AND RAILINGS LTD,01/02/2024,75447,312482,"5,597.85",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,LANGLEY GATES AND RAILINGS LTD,01/02/2024,75447,312483,550,Lord Street Nursery,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,LANGLEY GATES AND RAILINGS LTD,01/02/2024,75447,312485,"2,320.00",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,01/02/2024,75494,312490,611.8,Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,01/02/2024,75494,312493,540.96,Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,01/02/2024,75494,312495,562.32,Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,01/02/2024,75494,312496,930.37,Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,01/02/2024,75494,312500,675.84,Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,01/02/2024,75494,312501,960.52,Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,01/02/2024,75494,312502,766.8,Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,B & K PROPERTY SERVICES LTD,01/02/2024,75470,312506,"1,299.00",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,B & K PROPERTY SERVICES LTD,01/02/2024,75470,312507,589,Rechargeable Work,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,B & K PROPERTY SERVICES LTD,01/02/2024,75470,312510,589,Rechargeable Work,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,B & K PROPERTY SERVICES LTD,01/02/2024,75470,312511,906,Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,B & K PROPERTY SERVICES LTD,01/02/2024,75470,312513,-589,Rechargeable Work,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,HAYS SPECIALIST RECRUITMENT LTD,01/02/2024,75412,312520,"2,142.75",Property Maintenance,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,ATKINSRÉALIS PPS LIMITED,01/02/2024,75605,312521,"17,658.69",Condition Surveys - Education,10 - Company,Company
