DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,05/03/2024,84077,344162,"6,888.00",Police Escorts,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,XYLEM WATER SOLUTIONS UK LTD,05/03/2024,83738,344166,"4,025.90",Pumping Station Asset Management,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,RESTORE HARROW GREEN,05/03/2024,84459,344178,988.4,Libraries Development & Delivery,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,ASSURE EDUCATION LIMITED,05/03/2024,84940,344179,600,Early Years Quality Assurance,10 - Company,Company
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,ASSURE EDUCATION LIMITED,05/03/2024,84940,344186,600,Early Years Quality Assurance,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 1/5,UK EDUCATIONAL FURNITURE.,05/03/2024,83808,344187,920,Early Help Children Centres Locality 1/5,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 1/5,PEEP LEARNING LTD,05/03/2024,83557,344190,"1,200.00",Family Hubs,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children's Quality Assurance,SAFEGUARDING CONSULTANT,05/03/2024,84842,344192,"5,175.00",DDSCP Safeguarding Board,60 - Sole Trader,Sole Trader
Communities & Place,Communities,Streetpride,Cleansing,IONIC SYSTEMS LTD,05/03/2024,83884,344194,"2,994.00",Building Cleaning Derby Homes,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,REMEDI,05/03/2024,83659,344195,"25,500.00",YOS - Youth Justice Grant,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,REDACTED,05/03/2024,84075,344198,"2,375.00",Early Years Quality Assurance,60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Children's Quality Assurance,PURPLE HEATHER LTD,05/03/2024,84826,344199,"2,000.00",DDSCP Safeguarding Board,10 - Company,Company
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,FINANCIAL DATA MANAGEMENT LTD,05/03/2024,83579,344200,"3,410.30",Transactional Services,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,MOTUS COMMERCIALS MOTUS GROUP UK LTD,05/03/2024,84230,344207,"1,093.79",Vehicle Maintenance,10 - Company,Company
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/03/2024,83594,344220,"1,821.88",Projects Water & Flood Risk Management,40 - SME,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/03/2024,83594,344222,"1,746.03",Engineering Section,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,05/03/2024,84628,344228,590,Legal Fees,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,YUNEX LIMITED,05/03/2024,84544,344229,"1,972.97",Traffic Repairs Damaged Traffic Signal,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Partnerships,SCHOLARIS ASSOCIATES LIMITED,05/03/2024,84396,344233,"5,400.00",Preventing Violent Extremism,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,INSPIRE,05/03/2024,84170,344241,"1,235.00",Libraries Development & Delivery,40 - SME,SME
