DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,699.32,699.32,High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,039.44","1,039.44",High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,579.56,579.56,High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,232.00","1,232.00",High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,841.88,841.88,High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,142.84","1,142.84",High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,173.56","1,173.56",High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,667.04,667.04,High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,727.88,727.88,High Needs Contingency,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,878.32,878.32,Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,054.64","1,054.64",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,883.64,883.64,Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,152.64","1,152.64",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,389.28","1,389.28",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,138.24","1,138.24",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,891.24,891.24,Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,424.16","1,424.16",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,164.84","1,164.84",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,288.44","1,288.44",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOEL BAKER ACADEMY L.E.A.D ACADEMY TRUST,16/05/2023,6207,"1,058.92","1,058.92",Element 3 Funding,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,276.48","1,276.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,551.48","1,551.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,083.84","1,083.84",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,678.48,678.48,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,059.44","1,059.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,235.92","1,235.92",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,220.32","1,220.32",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,220.32","1,220.32",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,161.32","1,161.32",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,906.48,906.48,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,922.76,922.76,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,236.60","1,236.60",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,044.92","1,044.92",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,220.32","1,220.32",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,220.32","1,220.32",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,220.32","1,220.32",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,059.44","1,059.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,176.44","1,176.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEAD ACADEMY TRUST,16/05/2023,6467,"1,236.60","1,236.60",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,906.48,906.48,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,"1,232.24","1,232.24",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,"1,442.88","1,442.88",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,"1,020.44","1,020.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,888.44,888.44,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,695.08,695.08,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,602.68,602.68,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE CITY OF DERBY ACADEMY,16/05/2023,6047,"1,471.48","1,471.48",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE SPENCER ACADEMIES TRUST DERBY MOOR ACADEMY,16/05/2023,6280,"1,082.52","1,082.52",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BORROW WOOD PRIMARY SCHOOL,16/05/2023,6328,942.48,942.48,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BORROW WOOD PRIMARY SCHOOL,16/05/2023,6328,"1,054.96","1,054.96",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BORROW WOOD PRIMARY SCHOOL,16/05/2023,6328,"1,059.48","1,059.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BORROW WOOD PRIMARY SCHOOL,16/05/2023,6328,"1,059.48","1,059.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BORROW WOOD PRIMARY SCHOOL,16/05/2023,6328,"1,059.44","1,059.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BORROW WOOD PRIMARY SCHOOL,16/05/2023,6328,942.44,942.44,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BORROW WOOD PRIMARY SCHOOL,16/05/2023,6328,"1,059.44","1,059.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,"1,046.48","1,046.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,699.6,699.6,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,926.64,926.64,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,"1,050.72","1,050.72",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,619.88,619.88,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,743.6,743.6,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,946.12,946.12,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,"1,046.48","1,046.48",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST CHELLASTON JUNIOR SCHOOL,16/05/2023,6375,"1,021.60","1,021.60",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,678.52,678.52,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,520.04,520.04,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,739.68,739.68,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,736.12,736.12,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,"1,180.52","1,180.52",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,"1,881.44","1,881.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,680.2,680.2,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT,16/05/2023,6376,"1,538.00","1,538.00",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,059.48","1,059.48",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,324.56","1,324.56",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,529.68,529.68,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,825.48,825.48,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,059.44","1,059.44",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,059.44","1,059.44",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,708.48,708.48,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,059.48","1,059.48",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,819,819,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,899.08,899.08,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,702,702,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,059.44","1,059.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,059.44","1,059.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,"1,059.44","1,059.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,810,810,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALLESTREE WOODLANDS SCHOOL,16/05/2023,6009,957.92,957.92,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,16/05/2023,6466,670.08,670.08,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,16/05/2023,6466,635.84,635.84,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,16/05/2023,6466,608.08,608.08,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,16/05/2023,6466,724.84,724.84,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,16/05/2023,6466,509.76,509.76,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,16/05/2023,6466,710.84,710.84,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,16/05/2023,6466,705.24,705.24,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,16/05/2023,6331,887.76,887.76,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,16/05/2023,6331,996.32,996.32,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,16/05/2023,6331,607.04,607.04,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,16/05/2023,6331,556.32,556.32,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,16/05/2023,6331,531,531,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,16/05/2023,6331,873.68,873.68,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,16/05/2023,6331,810.44,810.44,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ASH CROFT PRIMARY ACADEMY,16/05/2023,6260,766.28,766.28,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ASH CROFT PRIMARY ACADEMY,16/05/2023,6260,"1,020.48","1,020.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ASH CROFT PRIMARY ACADEMY,16/05/2023,6260,"1,160.60","1,160.60",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ASH CROFT PRIMARY ACADEMY,16/05/2023,6260,981.56,981.56,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,085.28","1,085.28",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,008.64","1,008.64",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,942.6,942.6,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,059.44","1,059.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,136.36","1,136.36",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,059.44","1,059.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,189.92","1,189.92",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,059.44","1,059.44",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,691.2,691.2,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,015.79","1,015.79",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,580.12","1,580.12",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,580.12","1,580.12",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,580.12","1,580.12",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,580.12","1,580.12",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,580.12","1,580.12",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,580.12","1,580.12",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,983.69,983.69,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,983.69,983.69,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,983.69,983.69,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,467.25","1,467.25",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,059.36","1,059.36",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,059.36","1,059.36",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,059.36","1,059.36",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,059.36","1,059.36",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LEARNERS TRUST,16/05/2023,6354,"1,580.12","1,580.12",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE22 2QR (INTERFACE),16/05/2023,6548,678.04,678.04,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE22 2QR (INTERFACE),16/05/2023,6548,604.92,604.92,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE22 2QR (INTERFACE),16/05/2023,6548,924.48,924.48,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE22 2QR (INTERFACE),16/05/2023,6548,788.64,788.64,High Needs Contingency,,Public/Government Agency
