Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,19/09/2024,30037738,"64,250.00",The Tractor Shop
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Water and Sewerage Charges,19/09/2024,30037831,"1,469.60",Wave Anglian Water Business National Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Rent Payments,19/09/2024,30037913,330,Coningsby Community Hall
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Other Miscellaneous Expenses,19/09/2024,30037786,514,Lincolnshire County Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Water and Sewerage Charges,19/09/2024,30037831,"1,469.60",Wave Anglian Water Business National Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Works to Buildings (Main Contractor),19/09/2024,30037930,515.1,The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),19/09/2024,30037844,"7,007.36",Sibjon Builders
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),19/09/2024,30037845,"5,093.00",Obam Stairlifts
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Purchase of Vehicles,19/09/2024,30037944,"15,662.17",F.P.Smith Motors Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Purchase of Vehicles,19/09/2024,30037945,"15,662.17",F.P.Smith Motors Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Purchase of Vehicles,19/09/2024,30037946,"15,803.83",F.P.Smith Motors Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,24/09/2024,30037770,"15,510.00",Ideal Lincs Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,24/09/2024,30037772,"5,550.00",RW Smith - Lincolnshire Aquapark
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,24/09/2024,30037799,"14,180.00",Caravan Park Electrical Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,24/09/2024,30037966,"12,538.58",Lincolnshire CVS
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,24/09/2024,30037974,"22,269.00",Louth Playgoers Riverhead Theatre
