Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000326286,CLARA BOSWELL,10/12/2024,600.00,0.00,Community Safety and Corporate Services,Corporate Publicity,Marketing
0000326289,AGROVISTA UK LTD,10/12/2024,720.00,120.00,Depot,Grounds Maintenance,Weed Spraying
0000326290,DICOL EFFLUENT,10/12/2024,684.00,114.00,Depot,White House Garage Site,Environmental Services
0000326295,LODGE BROS (FUNERAL) LTD,10/12/2024,"3,050.00",0.00,Environmental Health,Public Health,Public Burials
0000326296,E C MILLS LIMITED,10/12/2024,"1,729.00",0.00,Environmental Health,Public Health,Public Burials
0000326297,GILLETT & JOHNSTON (CROYDON) LTD,10/12/2024,"2,820.00",470.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326298,GM CONSTRUCTION MAINTENANCE,10/12/2024,"4,320.00",720.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326299,PRO DOOR (UK) LTD,10/12/2024,704.40,117.40,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326301,POWERPOINT FIRE AND SECURITY LTD,10/12/2024,"2,436.65",406.11,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000326302,POWERPOINT FIRE AND SECURITY LTD,10/12/2024,988.37,164.73,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000326304,POWERPOINT FIRE AND SECURITY LTD,10/12/2024,960.00,160.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326305,SMITH AND BYFORD LIMITED,10/12/2024,"1,628.24",271.37,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326306,POWERPOINT FIRE AND SECURITY LTD,10/12/2024,994.92,165.82,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326307,POWERPOINT FIRE AND SECURITY LTD,10/12/2024,994.92,165.82,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326308,JK BUILD LTD,10/12/2024,"17,060.10","2,843.35",Asset Management,Ashford Cemetry Lodge,Planning Application fees
