Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category,,,,
0000321201,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321202,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321209,SPECIALIST FLEET SERVICES LIMITED,12/07/2024,"10,900.28","1,816.71",Depot,"Neighbourhood Serv Mgt Support, Street Cleaning, Refuse Collection, Grounds Maintenance, SAT",Commercial Vehicle Maintenance,,,,
0000321214,LOVELL JOHNS LTD,12/07/2024,"1,512.00",252.00,Planning,Planning Policy and Implement,Computer Software,,,,
0000321223,GAMMA BUSINESS COMMUNICATIONS,12/07/2024,"5,077.63",846.27,Information Technology,Office Services,Telephones call charges,,,,
0000321224,LAW MORGAN LTD T/AS MORGAN LAW LTD,12/07/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff,,,,
0000321225,VIDEO SYSTEMS,12/07/2024,"4,434.00",739.00,Elections,Parliamentary Elections 2024,Count Costs,,,,
0000321226,CFH DOCMAIL LTD,12/07/2024,"8,172.98","1,362.16",Elections,Parliamentary Elections 2024,Count Costs,,,,
0000321228,CFH DOCMAIL LTD,12/07/2024,"4,079.28",679.88,Elections,Parliamentary Elections 2024,Polling Staion Costs,,,,
0000321231,CFH DOCMAIL LTD,12/07/2024,"2,254.96",375.83,Elections,Elections,External printing,,,,
0000321232,RED KITE CONSERVATION SERVICES,12/07/2024,"15,732.00","2,622.00",Depot,Environmental Enhancements,Grounds maintained noncontract,,,,
0000321233,ORIGIN AMENITY SOLUTIONS,12/07/2024,976.80,162.80,Depot,Grounds Maintenance,Operational equip mats & suppl,,,,
0000321237,VIVID RESOURCING,12/07/2024,"1,242.00",207.00,Office Services,Environmental Health Admin,Agency Staff,,,,
0000321239,VIVID RESOURCING,12/07/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff,,,,
