1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011842790,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 514.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011841790,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 500.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011837790,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS," £ 1,380.00 "
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011830693,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 446.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011829693,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011775154,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 719.40 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011669751,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 569.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011654061,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 817.60 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011653061,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 762.12 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011580328,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 987.43 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011546326,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 597.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8084297100012002370,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 250.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8084297100011890213,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 464.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8084297100011889213,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8084297100011826370,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS," £ 1,380.00 "
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8084297100011730796,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 748.40 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8074297100011995824,F0151 UNACC ASYLUM SEEKER CHILDREN,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 540.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8074297100011994824,F0151 UNACC ASYLUM SEEKER CHILDREN,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8064297100011545611,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 823.32 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8054297100011725331,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,LBH  / INDIVIDUAL ADOPTERS OR FOSTER CARERS, £ 716.00 
