Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Agency Admin/Cleric,Professional,1906023984,45204,MATRIX SCM LTD,906.8
Adult Services & Hea,Agency Admin/Cleric,Professional,1906024205,45204,MATRIX SCM LTD,1341.12
Adult Services & Hea,Agency Admin/Cleric,Professional,1906024091,45204,MATRIX SCM LTD,522.03
Adult Services & Hea,Agency Admin/Cleric,Professional,1906024137,45204,MATRIX SCM LTD,1040.36
Adult Services & Hea,Agency Admin/Cleric,Professional,1906023914,45204,MATRIX SCM LTD,3036.3
Children & Young Peo,Agency Admin/Cleric,Professional,1906024097,45204,MATRIX SCM LTD,629.28
Children & Young Peo,Agency Admin/Cleric,Professional,1906024171,45204,MATRIX SCM LTD,1236.23
Children & Young Peo,Agency Admin/Cleric,Professional,1906024053,45204,MATRIX SCM LTD,637.2
Children & Young Peo,Agency Admin/Cleric,Professional,1906023970,45204,MATRIX SCM LTD,1546.3
Children & Young Peo,Agency Admin/Cleric,Professional,1906024159,45204,MATRIX SCM LTD,1391.5
Children & Young Peo,Agency Admin/Cleric,Professional,1906023947,45204,MATRIX SCM LTD,1353.92
Children & Young Peo,Agency Admin/Cleric,Professional,1906024174,45204,MATRIX SCM LTD,1614.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906024175,45204,MATRIX SCM LTD,1291.92
Children & Young Peo,Agency Admin/Cleric,Professional,1906024179,45204,MATRIX SCM LTD,1614.9
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101081543,45204,BEDSPACE RESOURCE LTD,587
Children & Young Peo,Agency Admin/Cleric,Professional,1906023996,45204,MATRIX SCM LTD,1509.57
Children & Young Peo,Agency Admin/Cleric,Professional,1906024023,45204,MATRIX SCM LTD,1327.02
Children & Young Peo,Agency Admin/Cleric,Professional,1906024044,45204,MATRIX SCM LTD,652
Children & Young Peo,Agency Admin/Cleric,Professional,1906024045,45204,MATRIX SCM LTD,666.4
Children & Young Peo,Agency Admin/Cleric,Professional,1906024093,45204,MATRIX SCM LTD,599.44
Children & Young Peo,Agency Admin/Cleric,Professional,1906024150,45204,MATRIX SCM LTD,1328.25
Children & Young Peo,Agency Admin/Cleric,Professional,1906023881,45204,MATRIX SCM LTD,818.65
Children & Young Peo,Agency Admin/Cleric,Professional,1906023882,45204,MATRIX SCM LTD,1417.5
Children & Young Peo,Agency Admin/Cleric,Professional,1906023886,45204,MATRIX SCM LTD,1990.98
Children & Young Peo,Agency Admin/Cleric,Professional,1906023891,45204,MATRIX SCM LTD,1657.4
Children & Young Peo,Agency Admin/Cleric,Professional,1906023892,45204,MATRIX SCM LTD,1965.44
Children & Young Peo,Agency Admin/Cleric,Professional,1906023900,45204,MATRIX SCM LTD,1918.32
Children & Young Peo,Agency Admin/Cleric,Professional,1906023916,45204,MATRIX SCM LTD,1864.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906023929,45204,MATRIX SCM LTD,1686.65
Children & Young Peo,Agency Admin/Cleric,Professional,1906023950,45204,MATRIX SCM LTD,1970.62
Children & Young Peo,Agency Admin/Cleric,Professional,1906023960,45204,MATRIX SCM LTD,1617.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906023969,45204,MATRIX SCM LTD,1831.57
Children & Young Peo,Agency Admin/Cleric,Professional,1906023971,45204,MATRIX SCM LTD,3577.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906023986,45204,MATRIX SCM LTD,1614.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906023994,45204,MATRIX SCM LTD,1723.6
Children & Young Peo,Agency Admin/Cleric,Professional,1906023997,45204,MATRIX SCM LTD,1970.62
Children & Young Peo,Agency Admin/Cleric,Professional,1906024027,45204,MATRIX SCM LTD,2362.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906024029,45204,MATRIX SCM LTD,2397.9
Children & Young Peo,Agency Admin/Cleric,Professional,1906024034,45204,MATRIX SCM LTD,1606.35
Children & Young Peo,Agency Admin/Cleric,Professional,1906024074,45204,MATRIX SCM LTD,1491.28
Children & Young Peo,Agency Admin/Cleric,Professional,1906024078,45204,MATRIX SCM LTD,1864.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906024100,45204,MATRIX SCM LTD,1581.3
Children & Young Peo,Agency Admin/Cleric,Professional,1906024129,45204,MATRIX SCM LTD,3483.5
Children & Young Peo,Agency Admin/Cleric,Professional,1906024133,45204,MATRIX SCM LTD,1542.1
Children & Young Peo,Agency Admin/Cleric,Professional,1906024144,45204,MATRIX SCM LTD,639.24
Children & Young Peo,Agency Admin/Cleric,Professional,1906024148,45204,MATRIX SCM LTD,1841.6
Children & Young Peo,Agency Admin/Cleric,Professional,1906024154,45204,MATRIX SCM LTD,2132.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906024155,45204,MATRIX SCM LTD,2132.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906024156,45204,MATRIX SCM LTD,2132.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906024158,45204,MATRIX SCM LTD,1919.45
Children & Young Peo,Agency Admin/Cleric,Professional,1906024165,45204,MATRIX SCM LTD,1814.4
Children & Young Peo,Agency Admin/Cleric,Professional,1906024180,45204,MATRIX SCM LTD,2305.8
Children & Young Peo,Agency Admin/Cleric,Professional,1906024189,45204,MATRIX SCM LTD,1417.5
Children & Young Peo,Agency Admin/Cleric,Professional,1906024209,45204,MATRIX SCM LTD,685.71
Children & Young Peo,Agency Admin/Cleric,Professional,1906024210,45204,MATRIX SCM LTD,2694.35
Children & Young Peo,Agency Admin/Cleric,Professional,1906024212,45204,MATRIX SCM LTD,818.65
Children & Young Peo,"Misc Supp, Tool, Equ",General Supplies,5101081584,45204,POSTURITE (UK) LTD,573.03
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101081623,45204,R&R RECRUITMENT NORTHWEST LTD,14000
Children & Young Peo,Agency Admin/Cleric,Professional,1906024200,45204,MATRIX SCM LTD,1670.2
Children & Young Peo,Agency Admin/Cleric,Professional,1906023860,45204,MATRIX SCM LTD,1587.15
Children & Young Peo,Agency Admin/Cleric,Professional,1906023861,45204,MATRIX SCM LTD,1598.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906023872,45204,MATRIX SCM LTD,1598.55
Children & Young Peo,Agency Admin/Cleric,Professional,1906023852,45204,MATRIX SCM LTD,683.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906023853,45204,MATRIX SCM LTD,683.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906023854,45204,MATRIX SCM LTD,685.7
