Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101060947,44999,SEAFORTH RADIO CARS LTD,600
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101060933,44999,SEAFORTH RADIO CARS LTD,570.7
Neighbourhoods,Eqip &Mats-Hire/Rent,General Supplies,1905754638,44999,SOUNDS GOOD RADIO COMMUNICATIONS LT,540
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905754133,44999,****REDACTED PERSONAL INFO****,-2777.14
City Development,Electricity (General,Energy Costs,1905766385,45000,EDF ENERGY CUSTOMERS LIMITED,533066.43
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061231,45000,AMORE SOCIAL CARE LTD,11790.42
Chief Operating Offi,Software (General),Computing,5101061178,45000,PHOENIX SOFTWARE LTD,11260
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101061158,45000,R&R RECRUITMENT NORTHWEST LTD,8400
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101061127,45000,PROSPERO GROUP LTD,8232
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061267,45000,ACORN CARE & EDUCATION LTD,5921.42
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061268,45000,ACORN CARE & EDUCATION LTD,5921.42
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061266,45000,ACORN CARE & EDUCATION LTD,5074.66
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061265,45000,ACORN CARE & EDUCATION LTD,4839.08
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061269,45000,ACORN CARE & EDUCATION LTD,4839.08
Capital Regen,Capital Regen,Misc- General,5101061160,45000,HUYTON ASPHALT CIVILS LTD,4672.94
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061264,45000,APOLLO HOME HEALTHCARE,4334.24
Neighbourhoods,Misc. Services - Gen,General Services Expenses,5101061171,45000,MCVEY BROTHERS LTD,3900
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101061172,45000,MERSEYCARE TRANSPORT SERVICES,3476
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101061143,45000,OKO MEDICAL LTD,3000.31
City Development,R&M - Building Works,R&M Technical Support,5101061189,45000,SPIE LIMITED,2973
Capital Regen,Capital Regen,Misc- General,5101061115,45000,BARCHAM TREES PLC,2602
City Development,R&M - Building Works,R&M Technical Support,5101061192,45000,TATTERSALL ELECTRICAL SERVICES,2560
City Development,Misc. Expenses - Gen,General Services Expenses,5101061211,45000,THE QUALITY MOVING GROUP LTD,2340
Children & Young Peo,"Misc Supp, Tool, Equ",General Supplies,5101061135,45000,FIDDIES FLOORING,1760
Neighbourhoods,R&M - Environ Works,R&M Technical Support,5101061190,45000,TELESHORE UK LIMITED,1735
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101061117,45000,INSIGHT DIRECT (UK) LIMITED,1642.96
City Development,R&M - Building Works,R&M Technical Support,5101061169,45000,SPIE LIMITED,1622.5
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101061198,45000,PUBLIC ANALYST SCIENTIFIC SERVICES,1613.14
City Development,R&M - Building Works,R&M Technical Support,5101061182,45000,TJM PROJECTS LTD,1539.6
Neighbourhoods,Stationery (General),Printing & Office Expenses,5101061204,45000,LYRECO UK LTD,1528.8
Capital Regen,Capital Regen,Misc- General,5101061288,45000,IDVERDE LTD,1286.14
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101061176,45000,ALPHABIOLABORATORIES LEGAL LTD,863
Chief Operating Offi,Training (General),Indirect Employee Expenses,5101061187,45000,THE TRAINING CO (SELF EMPLOYED),825
Neighbourhoods,Events,General Services Expenses,5101061195,45000,THE SOUND AGENTS,750
Children & Young Peo,Medical Fees (Genera,Professional Fees,5101061180,45000,SMIRTHWAITE LTD,566
City Development,Advertising (General,General Services Expenses,5101061253,45000,REACH PUBLISHING SERVICES LIMITED,534.48
Neighbourhoods,R&M-Engineer Works,R&M Technical Support,5101061286,45000,JOHN ADDLEY LTD,530
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101061397,45001,SHC CARE SERVICES LTD,33485
Capital Regen,Capital Regen,Misc- General,5101061299,45001,MOTT MACDONALD,15089
City Development,Events,General Services Expenses,5101061350,45001,MSP GLOBAL LTD,12506
City Development,Grants & Subs (Gener,Grants & Subscriptions,1905757297,45001,BRAZUKA INTERNATIONAL,11882
City Development,Grants & Subs (Gener,Grants & Subscriptions,1905757300,45001,LIVERPOOL LIGHTHOUSE LTD,10500
City Development,Grants & Subs (Gener,Grants & Subscriptions,1905757299,45001,MOVEMA,10000
City Development,Shared Prosp Cult Pr,Capital Grants,1905757296,45001,MAKE LCR CIC,10000
Capital Regen,Capital Regen,Fees,5101061319,45001,ATKINS LIMITED,6856
City Development,Grants & Subs (Gener,Grants & Subscriptions,1905757304,45001,PAPERWORK THEATRE CIC,6000
City Development,Grants & Subs (Gener,Grants & Subscriptions,1905757305,45001,SOLA ARTS,6000
City Development,Grants & Subs (Gener,Grants & Subscriptions,1905757306,45001,VALLEY COMMUNITY THEATRE,5500
Neighbourhoods,Rent-LCC Occupy Prem,Rent & Rates etc,1905757384,45001,MERSEYSIDE YOUTH ASSOCIATION LTD,5500
