Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948473,45147,COMMUNITY INTEGRATED CARE,584.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948014,45147,HOMEBIRD CARE,579.81
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948180,45147,MENCAP,579.81
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947653,45147,IMAGINE,576
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948280,45147,THE FRANCES TAYLOR FOUNDATION LIVER,571.82
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948723,45147,NUGENT CARE - IDS PROJECT,570.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948729,45147,NUGENT CARE - IDS PROJECT,570.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948189,45147,MENCAP,570.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948507,45147,OPTIONS FOR SUPPORTED LIVING,570.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948469,45147,COMMUNITY INTEGRATED CARE,564.98
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948721,45147,NUGENT CARE - IDS PROJECT,560.8
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947843,45147,RICHMOND FELLOWSHIP,558.89
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947848,45147,RICHMOND FELLOWSHIP,558.89
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947812,45147,L'ARCHE LIVERPOOL,558.89
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947821,45147,L'ARCHE LIVERPOOL,558.89
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947888,45147,JUST ONE RECRUITMENT,557.94
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948660,45147,MAKING SPACE,551.29
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947788,45147,INDEPENDENT LIVING ALLIANCE,551.29
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947847,45147,RICHMOND FELLOWSHIP,550.91
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947849,45147,RICHMOND FELLOWSHIP,550.91
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947947,45147,BEDSPACE RESOURCE LTD,550
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948067,45147,COOPER NOBLE CARE LTD,541.79
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948192,45147,MENCAP,541.79
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948614,45147,BROTHERS OF CHARITY SERVICES MERSEY,541.79
