Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,MC Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45253,30443897,4600,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,MC Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45281,30445343,4600,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,PS Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45260,30444250,4925,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,PS Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45260,30444250,5790.4,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,PS Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45281,30445343,5790.4,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,PS Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45260,30444250,40415.2,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Development Control,Applications - Development Control,Development Management,Publicity & Marketing,45226,6778195,545.41,AAI - ALEXANDER ADVERTISING(INT)LTD,
Bracknell Forest Council,00MA,Traffic Management & Road Safety,Traffic Management,Traffic Management,Contracted Services,45247,6780172,809.1,AAI - ALEXANDER ADVERTISING(INT)LTD,
Bracknell Forest Council,00MA,Traffic Management & Road Safety,Traffic Management,Traffic Management,Contracted Services,45260,6780479,1424.37,AAI - ALEXANDER ADVERTISING(INT)LTD,
Bracknell Forest Council,00MA,Traffic Management & Road Safety,Traffic Management,Traffic Management,Contracted Services,45282,6781876,1705.64,AAI - ALEXANDER ADVERTISING(INT)LTD,
Bracknell Forest Council,00MA,Culture and Heritage,Heritage Museums & Galleries,The Look Out,Equipment - R&M,45152,6776555,1010,ABA (CONSTRUCTION) LTD T/A ARD PLAYGROUNDS,
Bracknell Forest Council,00MA,Open Spaces,Community Parks & Open Spaces,Play Areas,R&M - Planned,45264,6781661,1081.7,ABA (CONSTRUCTION) LTD T/A ARD PLAYGROUNDS,
Bracknell Forest Council,00MA,Open Spaces,Community Parks & Open Spaces,Jennetts Park Maintenance,R&M - Planned,45271,6781659,1580,ABA (CONSTRUCTION) LTD T/A ARD PLAYGROUNDS,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Residential,LD Adults 18-64 Long Term Support - Residential,Contracted Services,45225,30442359,3409.44,ABBEYFIELD LODGE NURSING HOME,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Residential,LD Adults 18-64 Long Term Support - Residential,Contracted Services,45253,30443896,3409.44,ABBEYFIELD LODGE NURSING HOME,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Residential,LD Adults 18-64 Long Term Support - Residential,Contracted Services,45281,30445342,3409.44,ABBEYFIELD LODGE NURSING HOME,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45275,6781345,1859,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45280,6781744,1875,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45244,6779225,2363,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45275,6781343,2511,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services...CLOSED PLEASE USE CC E721E,Taxi Charges,45210,6777172,2641,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45275,6781894,2658.15,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45260,6780104,3058,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services...CLOSED PLEASE USE CC E721E,Taxi Charges,45230,6778256,3627,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45230,6779612,3890.75,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45260,6780103,3906,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45198,6777601,4241.05,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45260,6781294,4990.35,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45275,6781894,22906.35,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45230,6779612,31578.75,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45198,6777601,35730.95,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45260,6781294,42192.65,ABC TRAVEL (WOKINGHAM) LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781022,570,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779158,600,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779155,860,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779159,991.95,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777111,1108.65,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45261,6780548,1422,ABEE CARS LTD,
Bracknell Forest Council,00MA,Central Support Services - COF,Fleet,Transport Services,Taxi Charges,45232,6778513,1510,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777107,1560,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781020,1665,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779156,1870,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779156,1920,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779152,2027.2,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777108,2090,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781020,2330,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777104,2407.3,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779159,2410,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781024,2420,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781020,2449.65,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777111,2550,ABEE CARS LTD,
