Payment Date, Description ,Gross Amount, Supplier Name 
27-Apr-23, Uniform and Clothing ,"£10,017.60",Yaffy Protective Clothing (Part of Mi Hub Ltd)
20-Apr-23, Services & Legal Expenses ,"£10,014.23",Weightmans LLP
20-Apr-23, Data Network ,"£10,000.98",One Source IT Ltd
13-Apr-23, Services & Legal Expenses ,"£10,000.00",Nobody Left Behind CIC
20-Apr-23, Payments to Local Authorities ,"£10,000.00",Liverpool City Council
20-Apr-23, Services & Legal Expenses ,"£9,999.60",National Society for the Prevention of Cruelty to Children (NSPCC)
06-Apr-23, Payment for Services ,"£9,938.75",Wirral Council (CFTIP)
17-Apr-23, Services & Legal Expenses ,"£9,824.00",HM Courts & Tribunals Service
13-Apr-23, Payment for Services ,"£9,600.00",Wirral Council (CFTIP)
06-Apr-23, Support Staff-Temporary Staff Wages ,"£9,479.04",Michael Page International Recruitment Limited
20-Apr-23, Vehicle Crash Repairs ,"£9,399.77",BMC Mechanical LTD
20-Apr-23, Vehicle Modifications ,"£9,399.60",A J Engineering Services Ltd
13-Apr-23, Electrical Maintenance Contracts ,"£9,313.51",BAM FM Ltd
20-Apr-23, Miscellaneous Contributions ,"£9,302.73",PCC for Wiltshire
20-Apr-23, Payment for Services ,"£9,159.84",Access Bookings Limited
13-Apr-23, Vehicle Crash Repairs ,"£9,143.00",PJ Automotive Ltd
20-Apr-23, Services & Legal Expenses ,"£9,129.29",Redacted
20-Apr-23, Miscellaneous Contributions ,"£9,092.73",PCC for South Wales
20-Apr-23, Services & Legal Expenses ,"£9,086.25",Liverpool City Council (YOS Cycle Project)
06-Apr-23, Forensic Fees - General ,"£8,887.20",Redacted
13-Apr-23, Operational Equipment ,"£8,785.37",Redacted
06-Apr-23, Diesel ,"£8,781.86",Standard Fuel Oils Limited
20-Apr-23, Building Reactive Maintenance ,"£8,768.35",Graham Asset Management Ltd
06-Apr-23, Vehicle Crash Repairs ,"£8,690.16",BMC Mechanical LTD
13-Apr-23, Electrical Maintenance Contracts ,"£8,620.62",BAM FM Ltd
27-Apr-23, Tyres & Tubes ,"£8,585.44",Michelin Tyre PLC
13-Apr-23, Vehicle Crash Repairs ,"£8,553.19",Redacted
06-Apr-23, Payment for Services ,"£8,500.00",Liverpool City Council
13-Apr-23, Electrical Maintenance Contracts ,"£8,453.62",BAM FM Ltd
13-Apr-23, Electrical Maintenance Contracts ,"£8,453.62",BAM FM Ltd
27-Apr-23, Support Staff-Temporary Staff Wages ,"£8,401.80",Reed Specialist Recruitment/Talent Solutions Ltd
27-Apr-23, Electrical Maintenance Contracts ,"£8,375.06",BAM FM Ltd
20-Apr-23, Building Reactive Maintenance ,"£8,355.23",Graham Asset Management Ltd
27-Apr-23, Forensic Fees - General ,"£8,304.00",Redacted
20-Apr-23, Forensic Fees - General ,"£8,290.32",Redacted
20-Apr-23, Technical Equipment ,"£8,259.49",Redacted
27-Apr-23, S/W Licences ,"£8,238.00",3i Studio Ltd
27-Apr-23, Services & Legal Expenses ,"£8,125.00",Sefton Metropolitan Borough Council
06-Apr-23, Diesel ,"£8,048.70",Standard Fuel Oils Limited
20-Apr-23, Payment for Services ,"£7,980.00",Redacted
13-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£7,952.97",Scan Computers International
13-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£7,944.00",Redacted
06-Apr-23, Informants Expenses ,"£7,922.50",Redacted
20-Apr-23, Forensic Fees - General ,"£7,864.00",Redacted
06-Apr-23, Payments to Other Police Authorities ,"£7,830.05",Police and Crime Commissioner For Lancashire
27-Apr-23, Mechanical Reactive Maintenance ,"£7,771.13",BAM FM Ltd
27-Apr-23, Services & Legal Expenses ,"£7,680.00",Redacted
13-Apr-23, Electrical Maintenance Contracts ,"£7,645.33",BAM FM Ltd
20-Apr-23, Vehicle Crash Repairs ,"£7,588.56",A P Fleet Services Ltd
06-Apr-23, Comp. Consumeables ,"£7,487.10",PMD Magnetics
06-Apr-23, Diesel ,"£7,437.00",Standard Fuel Oils Limited
27-Apr-23, Miscellaneous Contributions ,"£7,347.09",Police & Crime Commissioner For Hertfordshire
20-Apr-23, Building Maintenance Contracts ,"£7,344.00",Graham Asset Management Ltd
06-Apr-23, Diesel ,"£7,317.00",Standard Fuel Oils Limited
27-Apr-23, Services & Legal Expenses ,"£7,291.39",Redacted
17-Apr-23, Services & Legal Expenses ,"£7,232.00",HM Courts & Tribunals Service
27-Apr-23, Data Network ,"£7,215.70",EE Ltd (Airtime)
20-Apr-23, Technical Equipment ,"£7,200.00",Redacted
06-Apr-23, Rates ,"£7,168.00",St Helens MBC
27-Apr-23, Health and Safety Equipment ,"£7,122.00",Helix Operations Ltd
06-Apr-23, Services & Legal Expenses ,"£7,100.00",Redacted
13-Apr-23, Services & Legal Expenses ,"£7,100.00",Redacted
20-Apr-23, Vehicle Crash Repairs ,"£7,067.48",Redacted
20-Apr-23, Fuel Pump Repairs ,"£7,020.00",LCM Environmental Services Limited
06-Apr-23, H/W Purchases ,"£7,003.42",Dell Corporation Ltd
20-Apr-23, Miscellaneous Contributions ,"£7,000.00",The Open University
20-Apr-23, Diesel ,"£6,987.60",Standard Fuel Oils Limited
06-Apr-23, Electricity General Tariffs ,"£6,977.62",Leep Electricity Services Ltd
06-Apr-23, Miscellaneous Contributions ,"£6,936.59",PCC For South Yorkshire Police
20-Apr-23, Payment for Services ,"£6,931.20",Redacted
27-Apr-23, Capital Asset Clearing A/c Building ,"£6,930.00",Mace Limited
20-Apr-23, Diesel ,"£6,922.74",Standard Fuel Oils Limited
13-Apr-23, Building Reactive Maintenance ,"£6,843.60",IS Consultancy T/A IS Group
20-Apr-23, H/W Purchases ,"£6,737.15",Pure Audio Visual Limited
13-Apr-23, Vehicle Crash Repairs ,"£6,722.07",BMC Mechanical LTD
20-Apr-23, Data Network ,"£6,708.00",One Source IT Ltd
20-Apr-23, Uniforms ,"£6,664.01",Ravenhead Services Limited
20-Apr-23, Forensic Fees - General ,"£6,659.70",Redacted
20-Apr-23, Building Maintenance Contracts ,"£6,646.99",Graham Asset Management Ltd
20-Apr-23, Uniforms ,"£6,638.49",Ravenhead Services Limited
20-Apr-23, Uniforms ,"£6,638.02",Ravenhead Services Limited
20-Apr-23, Services & Legal Expenses ,"£6,600.00",The Anthony Walker Foundation
20-Apr-23, Uniforms ,"£6,574.47",Ravenhead Services Limited
20-Apr-23, Vehicle Repairs ,"£6,570.06",Halliwell Jones Ltd
13-Apr-23, Uniform and Clothing ,"£6,551.22",Peter Jones (ILG) Ltd
27-Apr-23, Electrical Reactive Maintenance ,"£6,525.06",BAM FM Ltd
27-Apr-23, Building Reactive Maintenance ,"£6,513.60",Dortech Maintenance Limited
06-Apr-23, Services & Legal Expenses ,"£6,500.00",Redacted
06-Apr-23, Services & Legal Expenses ,"£6,500.00",Redacted
20-Apr-23, Building Reactive Maintenance ,"£6,447.60",Graham Asset Management Ltd
13-Apr-23, Building Programmed Maintenance ,"£6,440.33",BAM FM Ltd
27-Apr-23, Electrical Reactive Maintenance ,"£6,433.27",BAM FM Ltd
20-Apr-23, Building Reactive Maintenance ,"£6,424.98",Graham Asset Management Ltd
20-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£6,417.60",Vortex Communications Ltd
20-Apr-23, Uniforms ,"£6,384.64",Ravenhead Services Limited
