Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
91,2024-09-23 00:00:00,0014902476,INV,22995,REDACTED PERSONAL DATA,03855200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
92,2024-09-30 00:00:00,0019051132,INV,277.91,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
93,2024-09-03 00:00:00,0030275088,INV,9841.59,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
94,2024-09-03 00:00:00,0030275089,INV,471.51,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
95,2024-09-30 00:00:00,0016959495,INV,260.51,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
96,2024-09-30 00:00:00,0019050918,INV,373.14,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
97,2024-09-03 00:00:00,0016958378,INV,538.48,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
98,2024-09-10 00:00:00,0016959044,INV,350.11,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
99,2024-09-30 00:00:00,0016959478,INV,2530.86,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
100,2024-09-30 00:00:00,0016959496,CRN,-485.73,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
101,2024-09-30 00:00:00,0016959477,INV,254.09,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
102,2024-09-30 00:00:00,0016959494,INV,1267.24,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
103,2024-09-03 00:00:00,0030275090,INV,6000.97,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
104,2024-09-30 00:00:00,0016959478,INV,217.86,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
105,2024-09-30 00:00:00,0019051132,INV,1307.16,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
106,2024-09-03 00:00:00,0030275089,INV,2767.94,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
107,2024-09-03 00:00:00,0030275090,INV,31456.57,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
108,2024-09-03 00:00:00,0030275089,INV,5908.73,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
109,2024-09-03 00:00:00,0030275090,INV,17325.91,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
110,2024-09-03 00:00:00,0030275089,INV,18117.14,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
111,2024-09-03 00:00:00,0030275090,INV,10763.15,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
112,2024-09-05 00:00:00,0016958449,INV,104.72,VOLKER HIGHWAYS LTD,80156300,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
113,2024-09-23 00:00:00,0041336288,INV,520,DUNSFOLD ASSOCIATES LTD,03782800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
114,2024-09-23 00:00:00,0041336289,INV,3679.78,DUNSFOLD ASSOCIATES LTD,03782800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
115,2024-09-03 00:00:00,0041336102,INV,784.8,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
116,2024-09-03 00:00:00,0041336103,INV,935,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
117,2024-09-03 00:00:00,0041336104,INV,218,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
118,2024-09-23 00:00:00,0041337335,INV,928.6,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
119,2024-09-30 00:00:00,0016959477,INV,4642.44,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
120,2024-09-30 00:00:00,0019050918,INV,8379.32,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
121,2024-09-30 00:00:00,0019051132,INV,3877.31,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
122,2024-09-30 00:00:00,0016959478,INV,10964.31,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
123,2024-09-19 00:00:00,0041337060,INV,2990,ASCENDIT  LIFTS LTD,70023700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
124,2024-09-26 00:00:00,0041337555,INV,6167,ASCENDIT  LIFTS LTD,70023700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
125,2024-09-05 00:00:00,0041336234,INV,2900,DOLPHIN LIFTS KENT,70035800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
126,2024-09-09 00:00:00,0041336081,INV,2615,LLOYD BORE LTD,02891600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C2500,Survey&Consult
127,2024-09-05 00:00:00,0041336398,INV,3000,RIDER LEVETT BUCKNALL UK LTD,14395800,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C0400,Design Fees External (New)
128,2024-09-09 00:00:00,0041336490,INV,311719.3,BAUVILL LTD,80153900,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1500,Obs Sig Equip
129,2024-09-17 00:00:00,0041336688,INV,12805.25,BAILEY PARTNERSHIP (GROUP) LTD,02743600,"REGENERATION, CULT&ENVIRONMENT",REGENERATION,REGENERATION,C1400,Design Fees
130,2024-09-30 00:00:00,0041337851,INV,2620,REDACTED PERSONAL DATA,70091000,"REGENERATION, CULT&ENVIRONMENT",CULTURE & COMMUNITY,CULTURE & COMMUNITY,C7000,CapitalGrants&
