Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101294,1,202305,Barclaycard - Global Commercial Payments,2.20 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097894,1,202305,Barclaycard - Global Commercial Payments,3.99 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097895,1,202305,Barclaycard - Global Commercial Payments,6.99 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097897,1,202305,Barclaycard - Global Commercial Payments,20.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097898,1,202305,Barclaycard - Global Commercial Payments,5.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097900,1,202305,Barclaycard - Global Commercial Payments,47.98 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097901,1,202305,Barclaycard - Global Commercial Payments,149.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098090,1,202305,Barclaycard - Global Commercial Payments,34.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098091,1,202305,Barclaycard - Global Commercial Payments,9.66 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098092,1,202305,Barclaycard - Global Commercial Payments,3.99 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098368,1,202305,Barclaycard - Global Commercial Payments,5.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098370,1,202305,Barclaycard - Global Commercial Payments,24.86 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098561,1,202305,Barclaycard - Global Commercial Payments,5.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098669,1,202305,Barclaycard - Global Commercial Payments,559.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099042,1,202305,Barclaycard - Global Commercial Payments,1.70 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099243,1,202305,Barclaycard - Global Commercial Payments,8.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099244,1,202305,Barclaycard - Global Commercial Payments,6.60 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099245,1,202305,Barclaycard - Global Commercial Payments,2.20 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099246,1,202305,Barclaycard - Global Commercial Payments,13.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099384,1,202305,Barclaycard - Global Commercial Payments,10.93 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099464,1,202305,Barclaycard - Global Commercial Payments,13.48 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099560,1,202305,Barclaycard - Global Commercial Payments,74.28 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099561,1,202305,Barclaycard - Global Commercial Payments,9.75 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099995,1,202305,Barclaycard - Global Commercial Payments,15.20 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098964,1,202305,Barclaycard - Global Commercial Payments,-3.16 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099545,1,202305,Barclaycard - Global Commercial Payments,107.50 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099667,1,202305,Barclaycard - Global Commercial Payments,9.68 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098853,1,202305,Barclaycard - Global Commercial Payments,118.50 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098854,1,202305,Barclaycard - Global Commercial Payments,23.74 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099126,1,202305,Barclaycard - Global Commercial Payments,128.11 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099553,1,202305,Barclaycard - Global Commercial Payments,325.71 ,01/08/2023
