Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,13/09/2024,4313792-265359,£875.43,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,13/09/2024,4313792-265365,"£1,200.25",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,13/09/2024,4313796-WA4880,"£1,176.00",WILLIAM ALLISON & SONS LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,13/09/2024,4313797-UK90016268,£853.00,WILO (UK) LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384999,Miscellaneous Expenses,13/09/2024,4313798-04010978,£995.00,XN LEISURE SYSTEMS LTD.,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,16/09/2024,4313854-VOUCHER24NB-MDUR023,"£8,000.00",ESH WINNING CRICKET CLUB.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430127,Rendered by Private Contractors,16/09/2024,4313873-C693,"£4,042.50",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,332029,Printing Stationery and Gen Off Exps,16/09/2024,4313805-PSI0261527,"£11,497.50",ADARE SEC LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,16/09/2024,4313807-13350,"£65,603.75",ALLIANCE LEISURE SERVICES LTD.,,,,,,
Resources BK0010,Corporate Finance & Commercial Services,Supplies and Services,338066,Services,16/09/2024,4313819-SIN054444,"£47,122.61",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Supplies and Services,338066,Services,16/09/2024,4313819-SIN054608,"£2,995.00",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,338066,Services,16/09/2024,4313819-SIN054609,"£1,525.00",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Fees,901001,Internal fees,16/09/2024,4313819-SIN054612,"£37,827.69",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,16/09/2024,4313819-SIN054772,"£2,063.00",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,16/09/2024,4313819-SIN054773,"£22,219.00",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Supplies and Services,338066,Services,16/09/2024,4313819-SIN054774,"£9,336.00",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Fees,901001,Internal fees,16/09/2024,4313819-SIN054775,"£298,872.89",BLOOM PROCUREMENT SERVICES LTD (FORMERLY NEPRO LTD).,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478151,Purchase of Care,16/09/2024,4313820-CB68,"£3,020.68",BONDCARE WILLINGTON LTD.,,,,,,
Resources BK0010,Digital Services,Supplies and Services,344033,Telephones,16/09/2024,4313822-VP16860270M188KL,"£9,789.37",BRITISH TELECOMMUNICATIONS PLC.,,,,,,
Resources BK0010,Digital Services,Supplies and Services,344033,Telephones,16/09/2024,4313823-VP44748670M12001,£544.00,BRITISH TELECOMMUNICATIONS PLC.,,,,,,
Resources BK0010,Digital Services,Supplies and Services,344033,Telephones,16/09/2024,4313823-VP44748670M1221,£544.00,BRITISH TELECOMMUNICATIONS PLC.,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Supplies and Services,384086,Miscellaneous Expenses,16/09/2024,4313824-VOUCHER24NB-CHES019,"£2,100.00",BULLION COMMUNITY RESOURCE CENTRE.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313828-921,"£2,665.70",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313828-922,"£1,742.80",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,16/09/2024,4313831-INV-0956,"£4,000.00",CHANNELL EVENTS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313837-25223,"£4,025.66",CP DAVIDSON & SONS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313840-O0622716-24,"£3,544.85",DAWSONGROUP ENVIRONMENTAL MUNICIAPL CIVIL LTD (EMC).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313840-O0624251-24,"£3,544.85",DAWSONGROUP ENVIRONMENTAL MUNICIAPL CIVIL LTD (EMC).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313840-O0624252-24,"£4,749.82",DAWSONGROUP ENVIRONMENTAL MUNICIAPL CIVIL LTD (EMC).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678657G,£841.34,DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678658G,£841.34,DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678659G,£930.00,DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678660G,£562.34,DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678661G,£841.34,DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678663G,£562.34,DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678666G,"£1,596.50",DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678667G,£810.00,DAWSONGROUP VANS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313841-678669G,"£1,062.68",DAWSONGROUP VANS LTD.,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Supplies and Services,384086,Miscellaneous Expenses,16/09/2024,4313846-VOUCHER24NB-DCTY008,"£3,000.00",DURHAM AREA YOUTH.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313852-13002302003,"£1,002.04",ENTERPRISE FLEX-E-RENT T/A BURNT TREE GROUP LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313853-2408\227,£978.18,EPPLETON QUARRY PRODUCTS LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313860-2403-141798,£769.65,FUTURE HEAT & POWER DISTRIBUTION LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313867-SI-0001865,"£1,072.50",GROUNDWORK NE & CUMBRIA.,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,16/09/2024,4313872-SI-HK-002871,"£50,000.00",HUMANKIND CHARITY.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Supplies and Services,338066,Services,16/09/2024,4313874-LQP735457,"£19,750.00",ICS OPERATIONS LTD T/A XYLA HEALTH & SOCIAL SERVICES.,,,,,,
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,16/09/2024,4313877-29636,"£1,927.91",JACK COUPE & SONS LTD T/A COUPE LINE.,,,,,,
Neighbourhoods and Climate Change,Highways,Construction work A908,908108,Capital - Surface Dressing,16/09/2024,4313877-29637,"£1,213.26",JACK COUPE & SONS LTD T/A COUPE LINE.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,16/09/2024,4313886-331310,£878.00,LEXTOX.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313897-436294,£539.84,MINSTER SELF DRIVE.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313897-436295,£504.56,MINSTER SELF DRIVE.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313897-436297,£504.56,MINSTER SELF DRIVE.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313902-181436,"£2,411.80",ND BROWN LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313902-181437,"£2,814.80",ND BROWN LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313902-181438,"£3,588.56",ND BROWN LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313902-181439,"£2,615.16",ND BROWN LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313903-51741,£696.00,NE & C WINDOWS & DOORS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Cap Exp on Grants & Other Financial Assistance (REFCUS),918501,Exp assets not owned by authority (REFCUS),16/09/2024,4313904-NEI-EXP-09-2024-005,"£2,700.00",NEWTON HALL ALLOTMENTS ASSOCIATION.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313908-SL08167754INV,£745.04,NORTHGATE VEHICLE HIRE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313909-SL08201212INV,£733.04,NORTHGATE VEHICLE HIRE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313909-SL08269809INV,£705.60,NORTHGATE VEHICLE HIRE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313909-SL08275714INV,"£1,052.24",NORTHGATE VEHICLE HIRE LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338035,Services,16/09/2024,4313913-IRGW27-VOC,£702.16,PEARSON EDUCATION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313915-6798,"£3,134.08",PINKNEY BUILDING CONTRACTORS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313915-6803,"£7,776.12",PINKNEY BUILDING CONTRACTORS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430101,Rendered by Private Contractors,16/09/2024,4313915-6804,"£7,594.83",PINKNEY BUILDING CONTRACTORS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313915-6805,"£3,930.88",PINKNEY BUILDING CONTRACTORS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Construction work A908,908105,Construction work,16/09/2024,4313917-901038653,"£1,829.15",PORTAKABIN LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,338066,Services,16/09/2024,4313919-90255552,"£3,867.36",PROPERTY MANAGEMENT INTEGRATED SERVICE & EMPLOYMENT CO LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313927-IV1038992,"£5,280.00",RIVERSIDE TRUCK RENTAL LTD (RTR).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313927-IV1039198,"£6,578.00",RIVERSIDE TRUCK RENTAL LTD (RTR).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313927-IV1044069,"£2,760.00",RIVERSIDE TRUCK RENTAL LTD (RTR).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,16/09/2024,4313927-IV1049675,£920.00,RIVERSIDE TRUCK RENTAL LTD (RTR).,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,338066,Services,16/09/2024,4313930-6308,"£13,200.00",SANDERSON WEATHERALL LLP.,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,338099,Services,16/09/2024,4313930-7121,£624.00,SANDERSON WEATHERALL LLP.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Premises,108099,Service Repairs and Maintenance,16/09/2024,4313933-1055199,£795.00,SKYVIEW SYSTEMS LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313936-5574,"£4,363.00",SPECIALIST VENTILATION SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,16/09/2024,4313945-9048784025,£509.70,TARMAC TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,16/09/2024,4313948-1277,"£17,744.10",TERRA FIRMA ENVIRONMENTAL LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313963-DCC/GT/493,£700.80,TYNE VALLEY FLOORING & CARPETS.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313963-DCC/GT/503,£645.60,TYNE VALLEY FLOORING & CARPETS.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-264270,"£1,157.30",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-264278,"£1,521.75",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-264281,"£1,157.40",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-264644,"£1,151.55",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265038,£993.16,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265072,"£1,056.28",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265348,"£1,583.20",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265349,"£1,001.95",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265353,"£1,068.90",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265357,"£1,648.30",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265362,"£1,490.20",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265364,£890.33,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265366,£969.40,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265368,"£1,488.65",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265370,"£1,009.70",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265371,"£1,204.72",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265374,£518.76,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265375,"£1,102.64",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265378,£512.82,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265379,"£1,393.62",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,16/09/2024,4313964-265380,"£1,389.61",TYNEDALE ROADSTONE LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313971-0045,£866.56,VORKEN LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313971-0046,"£4,530.96",VORKEN LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313971-0047,"£6,198.25",VORKEN LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313971-0048,"£4,229.28",VORKEN LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313971-0050,"£8,256.35",VORKEN LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,16/09/2024,4313971-0053,"£6,501.81",VORKEN LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,16/09/2024,4313980-38004444,"£393,840.20",WILLMOTT DIXON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,215005,Running Costs of Vehicles,16/09/2024,4313987-1224643,"£1,344.20",YOUR NRG LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314656-IV1182040,"£1,175.00",ADVANCED GROUP SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Supplies and Services,342051,Computers and Communications,17/09/2024,4314672-INV-1571733,"£7,925.00",BASEMAP LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314797-807883,"£1,534.00",KANE INTERNATIONAL LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314865-REC0006612,£600.00,RECOLIGHT LTD,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,17/09/2024,4314908-RES-09-2024-289,£708.82,THE RIVERSIDE GROUP LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Schools Block,Supplies and Services,384199,Miscellaneous Expenses,17/09/2024,4314910-EFL-PP-4874,"£3,795.25",THE TEACHER CLOUD LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314662-16,"£1,440.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,17/09/2024,4314696-137,"£14,461.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,17/09/2024,4314826-M013MAY24,"£2,380.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314915-COLORS3634AUGUST24,"£5,718.72",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,17/09/2024,4314666-HI3328869,£622.16,ARNOLD CLARK CAR & VAN RENTAL.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,17/09/2024,4314666-HI3330495,£607.46,ARNOLD CLARK CAR & VAN RENTAL.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Stock A926,926004,Stock,17/09/2024,4314674-45081261,£732.26,BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,17/09/2024,4314679-268184,£994.62,BOLINDA DIGITAL LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,17/09/2024,4314679-268243,£599.53,BOLINDA DIGITAL LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,17/09/2024,4314679-268309,£597.85,BOLINDA DIGITAL LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314681-21994700,"£1,789.12",BREEDON TRADING LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314690-914,"£32,265.83",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314690-915,"£3,611.52",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314690-916,"£26,765.85",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314690-918,"£8,216.31",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314690-919,"£2,374.29",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314690-920,"£12,597.61",CEILINGS DIRECT LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314695-ICC149630,"£1,250.00",CITY CLEAN NORTHERN LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,17/09/2024,4314709-211592,"£1,689.40",CROFT BUSINESS SERVICES LTD T/A CROFT TRAVEL.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,17/09/2024,4314709-211596,"£4,644.75",CROFT BUSINESS SERVICES LTD T/A CROFT TRAVEL.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,17/09/2024,4314709-211598,"£1,433.40",CROFT BUSINESS SERVICES LTD T/A CROFT TRAVEL.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,17/09/2024,4314718-679318,£510.00,DAWSONGROUP VANS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,17/09/2024,4314737-1901,"£2,805.00",EAST DURHAM TAXIS.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314737-1979,"£1,836.03",EAST DURHAM TAXIS.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314737-1980,"£2,656.29",EAST DURHAM TAXIS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,17/09/2024,4314746-HD-2425-1,"£2,868.00",EMBRACING CARE.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,17/09/2024,4314747-13002399719,"£2,638.17",ENTERPRISE FLEX-E-RENT T/A BURNT TREE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Supplies and Services,338066,Services,17/09/2024,4314748-164,£532.47,ERF MEDICAL LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314759-2407-146314,£719.25,FUTURE HEAT & POWER DISTRIBUTION LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314759-2407-146315,£600.98,FUTURE HEAT & POWER DISTRIBUTION LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,17/09/2024,4314761-104172,"£1,817.45",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104191,"£3,913.45",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104192,"£1,590.00",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104193,"£1,997.94",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104194,"£1,993.74",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104195,"£2,233.36",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104197,"£2,069.77",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104198,"£1,827.13",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104199,"£1,997.94",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104200,"£3,759.00",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
