Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,384999,Miscellaneous Expenses,11-Dec-2024,000010356894284,G M PACKAGING UK LIMIT,5046,Other expenses,199.20,0.00,199.20
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,384999,Miscellaneous Expenses,11-Dec-2024,000010356894286,G M PACKAGING UK LIMIT,5046,Other expenses,162.55,0.00,162.55
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,384999,Miscellaneous Expenses,11-Dec-2024,000010356894290,G M PACKAGING UK LIMIT,5046,Other expenses,243.43,0.00,243.43
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,384999,Miscellaneous Expenses,11-Dec-2024,000010356894292,G M PACKAGING UK LIMIT,5046,Other expenses,42.72,0.00,42.72
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,384999,Miscellaneous Expenses,11-Dec-2024,000010356894296,G M PACKAGING UK LIMIT,5046,Other expenses,93.16,0.00,93.16
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,11-Dec-2024,000010356894312,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,13.21,0.00,13.21
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,11-Dec-2024,000010356894318,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,59.90,0.00,59.90
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,11-Dec-2024,000010356894320,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,14.40,0.00,14.40
Neighbourhoods and Climate Change,Environmental Services,011193,E&D - Play Area Maintenance,Supplies and Services,304999,Equipment and Materials,11-Dec-2024,000010363302426,JT ATKINSON ECOMM,5211,Misc equipment tools and materials,79.78,13.30,66.48
Regeneration Economy and Growth,Culture Sport and Tourism,054813,Gala Theatre - Technical,Supplies and Services,304221,Equipment and Materials,11-Dec-2024,000010363302650,SCREWFIX DIRECT,5211,Direct materials,63.56,0.00,63.56
Regeneration Economy and Growth,Culture Sport and Tourism,054813,Gala Theatre - Technical,Supplies and Services,304221,Equipment and Materials,11-Dec-2024,000010363302664,SCREWFIX DIRECT,5211,Direct materials,33.96,0.00,33.96
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,324117,Provisions E324,11-Dec-2024,000010363302932,774 026,5411,Catering costs - provisions,17.66,0.00,17.66
Regeneration Economy and Growth,Planning & Housing,060472,P&H-Strat & Del-Humanitarian Support programme,Supplies and Services,324117,Provisions E324,11-Dec-2024,000010363303232,ALDI STORES,5411,Catering costs - provisions,8.20,0.00,8.20
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085965,Barnard,Supplies and Services,348037,Subsistence E348,11-Dec-2024,000010363303386,MCDONALDS,5812,Subsistence,21.62,0.00,21.62
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,384999,Miscellaneous Expenses,11-Dec-2024,000010363303402,EDEN FARM,5199,Other expenses,243.00,0.00,243.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,071569,Bishop Auckland Family Hub,Supplies and Services,304259,Equipment and Materials,11-Dec-2024,000010363303618,COLLABORATE AND INNOVA,5945,Equipment-purchase and rental,439.91,73.32,366.59
Children and Young Peoples Services,Head of Education and Skills,071802,Louisa Cent Nursery,Supplies and Services,324117,Provisions E324,11-Dec-2024,000010363303922,ALDI STORES,5411,Catering costs - provisions,5.22,0.00,5.22
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,332047,Printing Stationery and Gen Off Exps,11-Dec-2024,000010363304354,STAPLES,5111,Stationery,16.27,0.00,16.27
Regeneration Economy and Growth,Culture Sport and Tourism,060143,The Story,Supplies and Services,342053,Computers and Communications,12-Dec-2024,000010356645116,SHOPIFY 303976101,5734,Computer software,6.03,0.00,6.03
Children and Young Peoples Services,Head of Childrens Social Care,085563,Community Short Breaks - Personalisation Project,Supplies and Services,384700,Miscellaneous Expenses,12-Dec-2024,000010356645384,AMZNMktplace D62KX95T5,5999,Miscellaneous grants,53.95,8.99,44.96
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010356645650,AMZNMktplace PX4FV7LV5,5999,Other consumables,39.91,0.00,39.91
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,328041,Clothing uniforms and laundry E328,12-Dec-2024,000010363300958,W BOYES & CO LTD NEWTO,5310,Clothing uniforms and laundry,1.49,0.00,1.49
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363301094,AMZNMktplace J489A8S35,5999,Other consumables,7.00,1.17,5.83
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301104,TESCO STORES 2278,5411,Catering costs - provisions,4.85,0.00,4.85
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,12-Dec-2024,000010363301128,TRAVELODGE,3615,Conferencesseminars fees etc,-121.73,0.00,-121.73
Dedicated Schools Grant BG0015,DSG Schools Block,110003,The Woodlands 1100 - The Maples,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363301188,AMZNMktplace G48MF2C05,5999,Other consumables,10.71,1.80,8.91
Dedicated Schools Grant BG0015,DSG Schools Block,110003,The Woodlands 1100 - The Maples,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363301198,AMZNMktplace XR7MA9AV5,5999,Other consumables,24.65,4.11,20.54
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301222,PREZZEE/GBB78B2342,5399,Catering costs - provisions,30.00,0.00,30.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,071447,Peterlee CYPS,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363301420,AMZNMktplace QQ9153B85,5999,Other consumables,9.88,1.65,8.23
Regeneration Economy and Growth,Planning & Housing,031623,P&H-Homeless Prevention-Rough Sleeping,Supplies and Services,384997,Miscellaneous Expenses,12-Dec-2024,000010363301440,Argos,5311,Personalisation Pot,53.97,0.00,53.97
Neighbourhoods and Climate Change,Environmental Services,010383,C&G - South Street Cleansing,Supplies and Services,304221,Equipment and Materials,12-Dec-2024,000010363301486,S&A BUILDERS MERCHANTS,5211,Direct materials,25.63,0.00,25.63
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,12-Dec-2024,000010363301810,Costa Chester-le-Stre,5812,Subsistence,6.80,0.00,6.80
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,12-Dec-2024,000010363301820,Costa Chester-le-Stre,5812,Subsistence,5.85,0.00,5.85
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,12-Dec-2024,000010363301826,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085624,Families First Crook and Barnard Castle,Supplies and Services,338045,Services,12-Dec-2024,000010363301838,REGISTRATION SERVICES,9399,Legal expenses 338045,14.50,0.00,14.50
Adult and Health Services,Head of Adults,055844,Positive Journeys Barnard Castle,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301902,LIDL GB,5411,Catering costs - provisions,1.39,0.00,1.39
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301980,ASDA GEORGE COM LEEDS,5411,Catering costs - provisions,4.50,0.75,3.75
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301980 - 1,ASDA GEORGE COM LEEDS,5411,Catering costs - provisions,148.25,,148.25
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301992,AMAZON E57UR9H85,5399,Catering costs - provisions,220.00,36.67,183.33
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301996,AMAZON HU8K08X85,5399,Catering costs - provisions,29.99,5.00,24.99
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363301998,AMAZON 7N9H27BV5,5399,Catering costs - provisions,29.99,5.00,24.99
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,304083,Equipment and Materials,12-Dec-2024,000010363302146,PAYPAL NISBETSLIMI,5046,Catering equipment,74.36,0.00,74.36
Children and Young Peoples Services,Head of Education and Skills,071733,Shildon Childcare,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363302312,WM MORRISONS STORE,5411,Catering costs - provisions,8.00,0.00,8.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,342033,Computers and Communications,12-Dec-2024,000010363302366,FC FREEPIK PREMIUM YE,7333,Computer hardware,126.00,0.00,126.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363302374,AMZNMktplace JU8JM89S5,5999,Other consumables,12.95,2.16,10.79
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,074000,National Supporting Families Programme,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363302378,TESCO STORES 2371,5411,Catering costs - provisions,18.00,0.00,18.00
Regeneration Economy and Growth,Planning & Housing,031599,P&H-Homeless Prevention-Prevention Initiatives,Supplies and Services,308011,Furniture,12-Dec-2024,000010363302434,ASDA STORES,5411,Furniture repair and replacement,114.50,0.00,114.50
Regeneration Economy and Growth,Planning & Housing,031599,P&H-Homeless Prevention-Prevention Initiatives,Supplies and Services,308011,Furniture,12-Dec-2024,000010363302442,ASDA STORES,5411,Furniture repair and replacement,488.60,0.00,488.60
Regeneration Economy and Growth,Planning & Housing,031599,P&H-Homeless Prevention-Prevention Initiatives,Supplies and Services,308011,Furniture,12-Dec-2024,000010363302450,ASDA STORES,5411,Furniture repair and replacement,167.00,0.00,167.00
Children and Young Peoples Services,Head of Childrens Social Care,085611,Families First Stanley,Supplies and Services,364301,Grants to Voluntary Organisations,12-Dec-2024,000010363302492,Argos,5311,Hardship,30.00,0.00,30.00
Children and Young Peoples Services,Head of Childrens Social Care,085611,Families First Stanley,Supplies and Services,364301,Grants to Voluntary Organisations,12-Dec-2024,000010363302498,Argos,5311,Hardship,241.95,0.00,241.95
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,12-Dec-2024,000010363302548,UBER TRIP,4121,Staff travelling,5.44,0.00,5.44
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363302550,GEN REGISTER OFFICE,9399,Equipment-purchase and rental,38.50,0.00,38.50
Children and Young Peoples Services,Head of Childrens Social Care,085300,Children in Care Placements,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363302572,ASDA STORES,5411,Catering costs - provisions,3.00,0.00,3.00
Regeneration Economy and Growth,Culture Sport and Tourism,054813,Gala Theatre - Technical,Supplies and Services,338099,Services,12-Dec-2024,000010363302674,SP PROJECTED IMAGE,5044,Other services,68.34,0.00,68.34
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,328041,Clothing uniforms and laundry E328,12-Dec-2024,000010363302956,Mainline Menswear Ltd,5611,Clothing uniforms and laundry,109.00,0.00,109.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085952,Secure Education,Supplies and Services,312011,Newspapers books and periodicals E312,12-Dec-2024,000010363303132,AMZNBusiness OR1FZ6BW5,5999,Books-school library,14.60,0.00,14.60
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,384302,Miscellaneous Expenses,12-Dec-2024,000010363303136,AMZNBusiness 4E40W7QE5,5999,Activity expenses,6.99,0.00,6.99
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085952,Secure Education,Supplies and Services,384302,Miscellaneous Expenses,12-Dec-2024,000010363303144,AMZNMktplace OE6MZ8V15,5999,Activity expenses,10.94,1.82,9.12
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085952,Secure Education,Supplies and Services,384302,Miscellaneous Expenses,12-Dec-2024,000010363303148,AMZNMktplace YL7QO63V5,5999,Activity expenses,19.92,3.32,16.60
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085952,Secure Education,Supplies and Services,384302,Miscellaneous Expenses,12-Dec-2024,000010363303148 - 1,AMZNMktplace YL7QO63V5,5999,Activity expenses,0.04,,0.04
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085952,Secure Education,Supplies and Services,384302,Miscellaneous Expenses,12-Dec-2024,000010363303154,AMZNMktplace 270397BA5,5999,Activity expenses,26.97,4.50,22.47
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363303160,amazon.co.uk F316P5NX5,5999,Equipment-purchase and rental,4.99,0.00,4.99
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363303446,TESCO STORES 2371,5411,Catering costs - provisions,199.47,0.00,199.47
Regeneration Economy and Growth,Culture Sport and Tourism,054399,Local Delivery-Libraries,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303460,AMZNBusiness 710IS1UX5,5999,Other consumables,15.35,0.00,15.35
Resources BK0010,HR & Employee Services,010984,Training and Development,Third Party Payments,430100,Rendered by Private Contractors,12-Dec-2024,000010363303490,SP KNIGHT TRAININGUK,7399,Payments to sub-contractors,300.00,50.00,250.00
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,304999,Equipment and Materials,12-Dec-2024,000010363303550,Costco Wholesale #109,7278,Misc equipment tools and materials,65.14,0.00,65.14
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363303562,BARRYS BARGAIN STORE,5499,Catering costs - provisions,33.40,0.00,33.40
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363303570,HOME BARGAINS,5399,Catering costs - provisions,26.22,0.00,26.22
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363303576,ASDA SUPERSTORE,5411,Catering costs - provisions,85.89,0.00,85.89
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,348037,Subsistence E348,12-Dec-2024,000010363303588,Greggs Plc,5812,Subsistence,35.00,0.00,35.00
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,348037,Subsistence E348,12-Dec-2024,000010363303594,GREGGS,5812,Subsistence,20.00,0.00,20.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,088105,Bishop Auckland and Willington Family Hubs,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363303626,AMZNMktplace I46YL9155,5999,Equipment-purchase and rental,4.15,0.69,3.46
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,088105,Bishop Auckland and Willington Family Hubs,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363303630,AMZNMktplace HT5B465A5,5999,Equipment-purchase and rental,28.44,4.74,23.70
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303674,SumUp Marvellous Toy,5999,Other consumables,19.58,0.00,19.58
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303688,SumUp Marvellous Toy,5999,Other consumables,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,328041,Clothing uniforms and laundry E328,12-Dec-2024,000010363303712,WWW.ARGOS.CO.UK,5311,Clothing uniforms and laundry,289.99,0.00,289.99
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303736,AMZNMktplace NK4T04D75,5999,Other consumables,14.98,0.00,14.98
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,384999,Miscellaneous Expenses,12-Dec-2024,000010363303828,Amazon.co.uk PK7XH7F85,5969,Other expenses,4.98,0.00,4.98
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303832,AMZNMktplace G844T4H05,5999,Other consumables,18.90,0.00,18.90
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303842,AMZNMktplace 3558E7BW5,5999,Other consumables,17.23,0.00,17.23
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303848,AMZNMktplace ED3A61YB5,5999,Other consumables,21.96,0.00,21.96
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303854,AMZNMktplace X94W27BA5,5999,Other consumables,29.28,0.00,29.28
Neighbourhoods and Climate Change,Environmental Services,010367,C&G - South Grounds Maintenance,Supplies and Services,304221,Equipment and Materials,12-Dec-2024,000010363303946,SP GUSTHARTS,5261,Direct materials,181.23,0.00,181.23
Adult and Health Services,Head of Adults,055301,Stanley Pathways,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363303964,AMZNMktplace 510R83135,5999,Other consumables,39.90,6.65,33.25
Children and Young Peoples Services,Head of Childrens Social Care,085369,Care Leavers Team 1,Supplies and Services,364354,Grants to Voluntary Organisations,12-Dec-2024,000010363303980,Argos,5311,Supervised Spend - Setting Up Home Allowance,235.95,0.00,235.95
Children and Young Peoples Services,Head of Childrens Social Care,085369,Care Leavers Team 1,Supplies and Services,364354,Grants to Voluntary Organisations,12-Dec-2024,000010363303992,Argos,5311,Supervised Spend - Setting Up Home Allowance,81.50,0.00,81.50
Children and Young Peoples Services,Head of Childrens Social Care,085369,Care Leavers Team 1,Supplies and Services,364353,Grants to Voluntary Organisations,12-Dec-2024,000010363304000,Argos,5311,Leaving care-other,199.00,0.00,199.00
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304054,AMZNMktplace L28AJ1UO5,5999,Other consumables,10.99,0.00,10.99
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363304066,CO-OP GROUP 010518,5411,Catering costs - provisions,2.00,0.00,2.00
Regeneration Economy and Growth,Culture Sport and Tourism,011286,Wolsingham Leisure Centre,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363304172,SP RLSS UK SHOP,5399,Equipment-purchase and rental,300.00,0.00,300.00
Adult and Health Services,Head of Adults,055309,Peterlee Pathways,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304294,AMZNBusiness Q12ZR0WK5,5999,Other consumables,9.08,1.51,7.57
Adult and Health Services,Head of Adults,055309,Peterlee Pathways,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304308,AMZNBusiness YM4MP2YJ5,5999,Other consumables,22.10,3.68,18.42
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363304340,SMYTHS TOYS,5399,Catering costs - provisions,309.99,0.00,309.99
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363304364,AMAZON 7U86T9WL5,5399,Catering costs - provisions,97.86,16.31,81.55
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363304364 - 1,AMAZON 7U86T9WL5,5399,Catering costs - provisions,0.07,,0.07
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304368,AMZNMktplace NX53D2HF5,5999,Other consumables,36.98,6.16,30.82
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304374,AMZNMktplace PD54W0X25,5999,Other consumables,97.86,16.31,81.55
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304374 - 1,AMZNMktplace PD54W0X25,5999,Other consumables,0.07,,0.07
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304386,AMZNMktplace UF6S24KE5,5999,Other consumables,56.97,9.51,47.46
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304394,VOUCHER EXPRESS,5999,Other consumables,200.00,0.00,200.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363304398,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,42.06,0.00,42.06
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363304410,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,28.88,0.00,28.88
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304414,AMZNMktplace ZL36W6QI5,5999,Other consumables,36.54,6.09,30.45
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304416,AMZNMktplace 430IB36M5,5999,Other consumables,39.99,6.67,33.32
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363304424,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,-6.08,0.00,-6.08
Resources BK0010,Digital Services,065256,Nodes/Circuits,Supplies and Services,342033,Computers and Communications,12-Dec-2024,000010363304450,SP EDUPTECH,5732,Computer hardware,223.20,0.00,223.20
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,12-Dec-2024,000010363304460,COSTA COFFEE SEAHAM,5812,Subsistence,8.10,0.00,8.10
Neighbourhoods and Climate Change,Environmental Services,011193,E&D - Play Area Maintenance,Third Party Payments,430100,Rendered by Private Contractors,12-Dec-2024,000010363304544,SQ CATHEDRAL LOCK AND,1520,Payments to sub-contractors,10.88,1.81,9.07
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,088101,Chester le Street and Brandon Family Hubs,Supplies and Services,384302,Miscellaneous Expenses,12-Dec-2024,000010363304748,BAKER ROSS,5970,Activity expenses,174.70,0.00,174.70
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304764,AMZNBusiness U40264HO5,5999,Other consumables,177.75,29.63,148.12
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304786,AMZNBusiness 5K3QT2XO5,5999,Other consumables,117.60,19.60,98.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304804,AMZNMktplace MN3GN94B5,5999,Other consumables,6.59,0.00,6.59
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,304403,Equipment and Materials,12-Dec-2024,000010363304818,AMZNMktplace NI95S7O35,5999,Other consumables,46.83,0.00,46.83
Children and Young Peoples Services,Head of Childrens Social Care,085358,Orchard House Sacriston childrens home,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363304984,Tenvinilo SL,5947,Equipment-purchase and rental,47.00,0.00,47.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363305052,DURHAM COUNTY COUNCIL,9399,Equipment-purchase and rental,3.15,0.00,3.15
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085955,Auckland,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363305304,TESCO STORES 6329,5411,Catering costs - provisions,168.31,0.00,168.31
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304259,Equipment and Materials,12-Dec-2024,000010363305324,STEVENAGE BOROUGH COUN,9399,Equipment-purchase and rental,942.42,0.00,942.42
Regeneration Economy and Growth,Culture Sport and Tourism,010664,Freemans Quay Leisure Centre,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363305372,TESCO STORES 6029,5411,Catering costs - provisions,22.19,0.00,22.19
Neighbourhoods and Climate Change,Environmental Services,010367,C&G - South Grounds Maintenance,Supplies and Services,304999,Equipment and Materials,12-Dec-2024,000010363305402,Windlestone Nursery,5193,Misc equipment tools and materials,60.00,0.00,60.00
Children and Young Peoples Services,Head of Childrens Social Care,085333,Coxhoe Satelite Home,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363305436,TESCO STORES 2971,5411,Catering costs - provisions,49.65,0.00,49.65
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363305576,TESCO STORES 2371,5411,Catering costs - provisions,4.25,0.00,4.25
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,308011,Furniture,12-Dec-2024,000010363305588,THE RANGE,5719,Furniture repair and replacement,27.77,0.00,27.77
