BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762759,45301,557.12
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762760,45301,728.54
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762761,45301,878.53
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762762,45301,824.96
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762763,45301,771.4
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762764,45301,857.11
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762765,45301,535.69
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762766,45301,974.96
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762767,45301,824.96
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762768,45301,835.69
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762769,45301,857.11
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762770,45301,878.53
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762771,45301,814.25
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762772,45301,846.4
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762773,45301,792.82
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762774,45301,846.4
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762778,45301,749.98
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762779,45301,835.69
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762780,45301,835.69
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762781,45301,857.11
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762782,45301,771.4
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762783,45301,771.4
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Brytone Ltd,Catering Equipment,11762868,45314,177.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Ace Janitorial Supplies Ltd,Ppe Tools And Janitorial Supplies,11763117,45310,359.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11763132,45302,1784.52
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Fred Camm Recovery Ltd,Transport Operations And Logistics,11763301,45296,300
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Caremark (Rotherham),Supporting People - Independent Sector Homecare,11763320,45315,287.76
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Select Media Events Ltd,Technology,11765179,45327,561
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Crb Cunninghams Ltd,Computer Hardware Maintenance,11765400,45295,439
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11765436,45315,132.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11765438,45302,132.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Ian Routledge Consultancy Ltd,Road Markings And Traffic Management,11765460,45303,1466.56
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Rockingham J & I School (Academy),Oil And Gas Utilities,11765467,45321,-8
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Arden Winch & Co Ltd,Ppe Tools And Janitorial Supplies,11765472,45296,181.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11765475,45320,4382.43
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Business Stream,Water Services,11765490,45307,428
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Yorkshire Water,Water Services,11765501,45313,1100.13
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,British Gas,Energy,11765514,45306,31.41
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,British Gas,Energy,11765515,45306,30.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Ace Janitorial Supplies Ltd,Ppe Tools And Janitorial Supplies,11769137,45307,6.87
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Ace Janitorial Supplies Ltd,Ppe Tools And Janitorial Supplies,11769138,45296,57
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Ace Janitorial Supplies Ltd,Ppe Tools And Janitorial Supplies,11769151,45308,29.98
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Providence Maintenance & Electrical,Repair And Maintenance,11769172,45307,90
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11769175,45317,251.39
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11769178,45316,546.25
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,City Of Doncaster Council,Local Authority Spend,11769573,45300,27000
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11769804,45320,-3414.45
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11769852,45300,50
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11769853,45314,485
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11769854,45314,330
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11769856,45314,85
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Yorkshire Water,Water Services,11770037,45310,174.83
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11770049,45308,1260
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Ycg,Landscaping,11770093,45316,85
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Socotec Uk Ltd,Health And Hygiene Equipment,11770374,45295,538
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Dfp Services Ltd,Security Hardware And Accessories,11770383,45313,406.4
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",1St Choice For Property Uk Ltd,Residential Rental,11770424,45309,650
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Chem Jet Ltd,Cleaning And Janitorial Services,11770427,45317,325
