BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,VALUE
RCN2000,"Adult Care, Housing & Public Health",Turning Point Services Limited,Supporting People - Independent Sector Residential,11752238,45243,45786.82
RCN2000,"Adult Care, Housing & Public Health",Turning Point Services Limited,Supporting People - Independent Sector Residential,11752238,45243,-654.61
RCN2000,"Adult Care, Housing & Public Health",Turning Point Services Limited,Supporting People - Independent Sector Residential,11752238,45243,5083.43
RCN2000,"Adult Care, Housing & Public Health",Turning Point Services Limited,Supporting People - Independent Sector Residential,11752238,45243,-114.91
RCN2000,"Adult Care, Housing & Public Health",Principle Support Ltd,Supporting People - Independent Sector Residential,11752239,45243,1296.08
RCN2000,"Adult Care, Housing & Public Health",Principle Support Ltd,Supporting People - Independent Sector Residential,11752239,45243,6310.08
RCN2000,"Adult Care, Housing & Public Health",Principle Support Ltd,Supporting People - Independent Sector Residential,11752239,45243,-1232.44
RCN2000,"Adult Care, Housing & Public Health",Keyline Care Supported Living Services,Supporting People - Independent Sector Residential,11752240,45243,8323.56
RCN2000,"Adult Care, Housing & Public Health",Community Integrated Care,Supporting People - Independent Sector Residential,11752241,45243,6306.67
RCN2000,"Adult Care, Housing & Public Health",Community Integrated Care,Supporting People - Independent Sector Residential,11752241,45243,-150.49
RCN2000,"Adult Care, Housing & Public Health",Eden Supported Living Ltd,Supporting People - Independent Sector Residential,11752242,45243,55200.46
RCN2000,"Adult Care, Housing & Public Health",Eden Supported Living Ltd,Supporting People - Independent Sector Residential,11752242,45243,-1516.54
RCN2000,"Adult Care, Housing & Public Health",Amethyst Care And Support Group Limited,Supporting People - Independent Sector Residential,11752243,45243,12465.26
RCN2000,"Adult Care, Housing & Public Health",Newfield View Supported Living Ltd,Supporting People - Independent Sector Residential,11752244,45243,2854.99
RCN2000,"Adult Care, Housing & Public Health",Living Amibitions Ltd,Supporting People - Independent Sector Residential,11752245,45243,1375.71
RCN2000,"Adult Care, Housing & Public Health",Living Amibitions Ltd,Supporting People - Independent Sector Residential,11752245,45243,-606
RCN2000,"Adult Care, Housing & Public Health",Sil.2 Limited,Supporting People - Independent Sector Residential,11752246,45243,2033.94
RCN2000,"Adult Care, Housing & Public Health",Lifeways Community Care Ltd,Supporting People - Independent Sector Residential,11752247,45243,1289.85
RCN2000,"Adult Care, Housing & Public Health",Morley Care Services Ltd,Supporting People - Independent Sector Residential,11752248,45243,7052.54
RCN2000,"Adult Care, Housing & Public Health",Morley Care Services Ltd,Supporting People - Independent Sector Residential,11752248,45243,-259.66
RCN2000,"Adult Care, Housing & Public Health",Bpu Care Ltd,Supporting People - Independent Sector Residential,11752249,45243,1332.42
RCN2000,"Adult Care, Housing & Public Health",Bpu Care Ltd,Supporting People - Independent Sector Residential,11752249,45243,1707.32
RCN2000,"Adult Care, Housing & Public Health",Bpu Care Ltd,Supporting People - Independent Sector Residential,11752249,45243,-135.21
RCN2000,"Adult Care, Housing & Public Health",Bpu Care Ltd,Supporting People - Independent Sector Residential,11752249,45243,554.9
RCN2000,"Adult Care, Housing & Public Health","Sense, The National Deaf Blind And Rubel",Supporting People - Independent Sector Residential,11752250,45243,8227.19
RCN2000,"Adult Care, Housing & Public Health",House Martins Care Ltd,Supporting People - Independent Sector Residential,11752251,45243,1541.81
RCN2000,"Adult Care, Housing & Public Health",House Martins Care Ltd,Supporting People - Independent Sector Residential,11752251,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Millennium Care Services Ltd,Supporting People - Independent Sector Residential,11752252,45243,2843.35
RCN2000,"Adult Care, Housing & Public Health",Millennium Care Services Ltd,Supporting People - Independent Sector Residential,11752252,45243,1180.87
RCN2000,"Adult Care, Housing & Public Health",Inlet Ltd,Supporting People - Independent Sector Residential,11752253,45243,-1475.19
RCN2000,"Adult Care, Housing & Public Health",Inlet Ltd,Supporting People - Independent Sector Residential,11752253,45243,2592
RCN2000,"Adult Care, Housing & Public Health",Heathcotes Care Ltd,Supporting People - Independent Sector Residential,11752254,45243,4576.86
RCN2000,"Adult Care, Housing & Public Health",Heathcotes Care Ltd,Supporting People - Independent Sector Residential,11752254,45243,2783.13
RCN2000,"Adult Care, Housing & Public Health",Heathcotes Care Ltd,Supporting People - Independent Sector Residential,11752254,45243,-241.6
RCN2000,"Adult Care, Housing & Public Health",Heathcotes Care Ltd,Supporting People - Independent Sector Residential,11752254,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Heathcotes Care Ltd,Supporting People - Independent Sector Residential,11752255,45243,6165.2
RCN2000,"Adult Care, Housing & Public Health",Trust Care Ltd.,Supporting People - Independent Sector Residential,11752257,45243,715.64
RCN2000,"Adult Care, Housing & Public Health",Trust Care Ltd.,Supporting People - Independent Sector Residential,11752257,45243,-186.22
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,2197.1
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,2488
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,-880.97
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,4140
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,-169.11
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,4242
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,-821.1
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,3792
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,632
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,-1076.15
RCN2000,"Adult Care, Housing & Public Health",East And West Healthcare Limited,Supporting People - Independent Sector Residential,11752258,45243,-239.98
RCN2000,"Adult Care, Housing & Public Health",Aspire In The Community Services Ltd,Supporting People - Independent Sector Residential,11752259,45243,2959.05
RCN2000,"Adult Care, Housing & Public Health",Aspire In The Community Services Ltd,Supporting People - Independent Sector Residential,11752259,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752260,45243,452.58
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752260,45243,-76.43
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752260,45243,641.64
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752261,45243,8105.45
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752261,45243,259.71
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752261,45243,-2572.12
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752261,45243,8996
RCN2000,"Adult Care, Housing & Public Health",Your Care Provider Ltd,Supporting People - Independent Sector Residential,11752261,45243,-3008.81
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752262,45243,905.21
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,4848
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,2943.43
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,-1154.7
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,-923.41
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,5688
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,632
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,-1037.89
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,1212
RCN2000,"Adult Care, Housing & Public Health",Knightingale Care Ltd,Supporting People - Independent Sector Residential,11752263,45243,-174.88
RCN2000,"Adult Care, Housing & Public Health",Oasis-Care Uk Group Limited,Supporting People - Independent Sector Residential,11752266,45243,5342.05
RCN2000,"Adult Care, Housing & Public Health",Community Places Ltd,Supporting People - Independent Sector Residential,11752268,45243,5215.11
RCN2000,"Adult Care, Housing & Public Health",Community Places Ltd,Supporting People - Independent Sector Residential,11752268,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Hoyland Hall Limited,Supporting People - Independent Sector Residential,11752269,45243,728.71
RCN2000,"Adult Care, Housing & Public Health",Hoyland Hall Limited,Supporting People - Independent Sector Residential,11752269,45243,-165.52
RCN2000,"Adult Care, Housing & Public Health",Pathfinders Care (Ollerton) Ltd,Supporting People - Independent Sector Residential,11752270,45243,1792.77
RCN2000,"Adult Care, Housing & Public Health",Anchor Hanover Group,Supporting People - Independent Sector Residential,11752271,45243,503.86
RCN2000,"Adult Care, Housing & Public Health",Valorum Care Limited,Supporting People - Independent Sector Residential,11752272,45243,1000.42
RCN2000,"Adult Care, Housing & Public Health",Valorum Care Limited,Supporting People - Independent Sector Residential,11752272,45243,-197.2
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,4884.25
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,1212
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,-1298.43
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,1284
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,-456.63
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,606
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,-123.79
RCN2000,"Adult Care, Housing & Public Health",Heltcorp Ltd,Supporting People - Independent Sector Residential,11752273,45243,606
RCN2000,"Adult Care, Housing & Public Health",Beech Cliffe Ltd,Supporting People - Independent Sector Residential,11752274,45243,6159.29
RCN2000,"Adult Care, Housing & Public Health",Beech Cliffe Ltd,Supporting People - Independent Sector Residential,11752274,45243,-241.6
RCN2000,"Adult Care, Housing & Public Health",Orchid House Residential Care Home,Supporting People - Independent Sector Residential,11752276,45243,131.51
RCN2000,"Adult Care, Housing & Public Health",Orchid House Residential Care Home,Supporting People - Independent Sector Residential,11752276,45243,-12.72
RCN2000,"Adult Care, Housing & Public Health",Orchid House Residential Care Home,Supporting People - Independent Sector Residential,11752276,45243,6121.99
RCN2000,"Adult Care, Housing & Public Health",Orchid House Residential Care Home,Supporting People - Independent Sector Residential,11752276,45243,-349.68
RCN2000,"Adult Care, Housing & Public Health",Valeo Ltd,Supporting People - Independent Sector Residential,11752277,45243,4501.61
RCN2000,"Adult Care, Housing & Public Health",Valeo Ltd,Supporting People - Independent Sector Residential,11752277,45243,-101.25
RCN2000,"Adult Care, Housing & Public Health",Valeo Ltd,Supporting People - Independent Sector Residential,11752278,45243,2547.05
RCN2000,"Adult Care, Housing & Public Health",Valeo Ltd,Supporting People - Independent Sector Residential,11752278,45243,-61.95
RCN2000,"Adult Care, Housing & Public Health",Coveberry Limited,Supporting People - Independent Sector Residential,11752280,45243,2162.53
RCN2000,"Adult Care, Housing & Public Health",Coveberry Limited,Supporting People - Independent Sector Residential,11752280,45243,-128.25
RCN2000,"Adult Care, Housing & Public Health",House Of Light Trust Ltd,Supporting People - Independent Sector Residential,11752281,45243,5544.72
RCN2000,"Adult Care, Housing & Public Health",House Of Light Trust Ltd,Supporting People - Independent Sector Residential,11752281,45243,-854.81
RCN2000,"Adult Care, Housing & Public Health",House Of Light Trust Ltd,Supporting People - Independent Sector Residential,11752281,45243,1144.63
RCN2000,"Adult Care, Housing & Public Health",House Of Light Trust Ltd,Supporting People - Independent Sector Residential,11752281,45243,-90.25
RCN2000,"Adult Care, Housing & Public Health",Future Directions Cic,Supporting People - Independent Sector Residential,11752282,45243,3070.52
RCN2000,"Adult Care, Housing & Public Health",Future Directions Cic,Supporting People - Independent Sector Residential,11752282,45243,-90.25
RCN2000,"Adult Care, Housing & Public Health",Relativeto Ltd,Supporting People - Independent Sector Residential,11752283,45243,5790.94
RCN2000,"Adult Care, Housing & Public Health",Relativeto Ltd,Supporting People - Independent Sector Residential,11752283,45243,-118.8
RCN2000,"Adult Care, Housing & Public Health",Relativeto Ltd,Supporting People - Independent Sector Residential,11752283,45243,3843.13
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,1537.97
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,6133.99
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,394.29
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,-550.63
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,-99.87
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,1419.6
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,2528
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,-600.53
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,270.86
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,-21.4
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,815.62
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,-148.41
RCN2000,"Adult Care, Housing & Public Health",Susash Sheffield Ltd,Supporting People - Independent Sector Residential,11752284,45243,574
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,439.42
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,1189.82
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,676.4
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,9946
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,-5061.9
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,10844
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,682
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,-4013.87
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,-154.21
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,601.84
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,-6.29
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,606
RCN2000,"Adult Care, Housing & Public Health",Methodist Homes,Supporting People - Independent Sector Residential,11752285,45243,-178.87
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,219.71
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,7601.15
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,-415.37
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,9454.64
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,7111
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,24734.84
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,-884.42
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,7111
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,17214.46
RCN2000,"Adult Care, Housing & Public Health",Voyage 1 Ltd,Supporting People - Independent Sector Residential,11752286,45243,-874.9
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,4613.91
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,8708
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-2325.41
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,9752.5
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,606
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-2841.39
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-269.74
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,8216
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,2309
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-2185.94
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-383.28
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,1244
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-297.86
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,2429.06
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-533.7
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,622
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,-169.43
RCN2000,"Adult Care, Housing & Public Health",Moorgate Care Village Ltd,Supporting People - Independent Sector Residential,11752287,45243,606
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752288,45243,5662.09
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752289,45243,9486.1
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752289,45243,1299.8
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752289,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752290,45243,1863.05
RCN2000,"Adult Care, Housing & Public Health",Four Seasons Health Care (England) Ltd,Supporting People - Independent Sector Residential,11752291,45243,655.02
RCN2000,"Adult Care, Housing & Public Health",Four Seasons Health Care (England) Ltd,Supporting People - Independent Sector Residential,11752291,45243,-243.4
RCN2000,"Adult Care, Housing & Public Health",Four Seasons Health Care (England) Ltd,Supporting People - Independent Sector Residential,11752291,45243,630
RCN2000,"Adult Care, Housing & Public Health",Four Seasons Health Care (England) Ltd,Supporting People - Independent Sector Residential,11752291,45243,-443.03
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752292,45243,1672.93
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752292,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752292,45243,4998.91
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752292,45243,-359.4
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752292,45243,1361.19
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752293,45243,2246.19
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752293,45243,-175.6
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752293,45243,8301.9
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752293,45243,2906.02
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752293,45243,-181.87
RCN2000,"Adult Care, Housing & Public Health",Saphire Care Services,Supporting People - Independent Sector Residential,11752294,45243,14571.08
RCN2000,"Adult Care, Housing & Public Health",Saphire Care Services,Supporting People - Independent Sector Residential,11752294,45243,-451.65
RCN2000,"Adult Care, Housing & Public Health",Saphire Care Services,Supporting People - Independent Sector Residential,11752295,45243,8490.84
RCN2000,"Adult Care, Housing & Public Health",Saphire Care Services,Supporting People - Independent Sector Residential,11752295,45243,-438.8
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752296,45243,3812.9
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752297,45243,2584.94
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752297,45243,9420
RCN2000,"Adult Care, Housing & Public Health",Park Care 2,Supporting People - Independent Sector Residential,11752297,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Pingley Court Care Ltd,Supporting People - Independent Sector Residential,11752299,45243,680
RCN2000,"Adult Care, Housing & Public Health",Pingley Court Care Ltd,Supporting People - Independent Sector Residential,11752299,45243,-50
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,6991.09
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,-2911
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,-1932.88
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,0
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,10992
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,5010.57
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,-3352.54
RCN2000,"Adult Care, Housing & Public Health",The Abbeys (Rawmarsh) Ltd,Supporting People - Independent Sector Residential,11752300,45243,-508.05
RCN2000,"Adult Care, Housing & Public Health",Absolute Children'S Services Limited,Supporting People - Independent Sector Residential,11752301,45243,4177.2
RCN2000,"Adult Care, Housing & Public Health",Absolute Children'S Services Limited,Supporting People - Independent Sector Residential,11752301,45243,-39.16
RCN2000,"Adult Care, Housing & Public Health",Bespoke Care And Support Ltd,Supporting People - Independent Sector Residential,11752302,45243,8220.36
RCN2000,"Adult Care, Housing & Public Health",Bespoke Care And Support Ltd,Supporting People - Independent Sector Residential,11752302,45243,8908.19
RCN2000,"Adult Care, Housing & Public Health",Countrywide Healthcare Ltd,Supporting People - Independent Sector Residential,11752303,45243,789.42
RCN2000,"Adult Care, Housing & Public Health",Countrywide Healthcare Ltd,Supporting People - Independent Sector Residential,11752303,45243,-120.8
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,9809.43
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,1361.57
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,-3589.32
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,291.08
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,7134.25
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,1743.43
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,-1086.44
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,-284.13
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,606
RCN2000,"Adult Care, Housing & Public Health",Pristine Care Group Ltd,Supporting People - Independent Sector Residential,11752304,45243,-112.39
RCN2000,"Adult Care, Housing & Public Health",Maria Mallaband Ltd,Supporting People - Independent Sector Residential,11752305,45243,1466.22
RCN2000,"Adult Care, Housing & Public Health",Maria Mallaband Ltd,Supporting People - Independent Sector Residential,11752305,45243,-200
RCN2000,"Adult Care, Housing & Public Health",Countrywide Care Homes Ltd,Supporting People - Independent Sector Residential,11752306,45243,219.71
RCN2000,"Adult Care, Housing & Public Health",Countrywide Care Homes Ltd,Supporting People - Independent Sector Residential,11752306,45243,794
RCN2000,"Adult Care, Housing & Public Health",Principle Support Ltd,Supporting People - Independent Sector Residential,11752307,45243,949.77
RCN2000,"Adult Care, Housing & Public Health",Principle Support Ltd,Supporting People - Independent Sector Residential,11752307,45243,-16.52
RCN2000,"Adult Care, Housing & Public Health",Independence For Life Ltd,Supporting People - Independent Sector Residential,11752308,45243,11590.4
RCN2000,"Adult Care, Housing & Public Health",Independence For Life Ltd,Supporting People - Independent Sector Residential,11752308,45243,-813.05
RCN2000,"Adult Care, Housing & Public Health",Jubilee Care Home Limited,Supporting People - Independent Sector Residential,11752309,45243,10035.36
RCN2000,"Adult Care, Housing & Public Health",Jubilee Care Home Limited,Supporting People - Independent Sector Residential,11752309,45243,-3002.4
RCN2000,"Adult Care, Housing & Public Health",Jubilee Care Home Limited,Supporting People - Independent Sector Residential,11752309,45243,12008
RCN2000,"Adult Care, Housing & Public Health",Jubilee Care Home Limited,Supporting People - Independent Sector Residential,11752309,45243,3160
