Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Matchtech Group UK Ltd,45231,1742
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Matchtech Group UK Ltd,45238,1742
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Matchtech Group UK Ltd,45246,1742
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Matchtech Group UK Ltd,45251,1742
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Matchtech Group UK Ltd,45257,1742
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Matchtech Group UK Ltd,45264,1742
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Matchtech Group UK Ltd,45278,1742
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45218,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45229,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45231,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45238,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45245,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45251,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45257,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45264,1741.6
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45275,1741.6
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Saddleworth Plant Hire Ltd (SPH Ltd),45236,1740
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Paramount Plumbing & Heating,45257,1740
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45202,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45208,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45208,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45258,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45278,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45278,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45279,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45279,1739.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45243,1738.8
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Crelling Harnesses For Disabled,45211,1738.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45202,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45202,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45208,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45208,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45222,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45236,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45236,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45236,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45236,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45250,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45250,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45250,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45258,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45258,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45258,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45271,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45271,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45278,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45278,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45278,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45279,1737.04
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1735.86
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Corlett Electrical Engineering Co (1981) Ltd,45226,1735.05
Place,Environmental Services,Environmental Services,Public Protection,Office Expenses,Banner Group Ltd,45236,1733.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1732.29
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1732.29
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1732.29
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1732.29
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45258,1732.29
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45271,1732.29
Place,Economy,Economy,Estates,Services - Professional Fees,E Smith & Son,45244,1731.46
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Ambrose Nursery Ltd,45273,1730
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45208,1729.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1728.08
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45279,1727.18
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1725.38
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1725.38
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45209,1725
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45224,1725
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45271,1724.93
Place,Economy,Economy,Strategic Housing,HSF Payments - Homelessness,SCL Property Management Ltd,45218,1724.78
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45250,1724.03
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1723.58
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Buds & Blossoms Ltd,45243,1721.6
Place,Economy,Economy,Strategic Housing,HSF Payments - Homelessness,Hunters Property Group,45250,1721
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Grants,Salvation Army (Oldham),45257,1720.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45236,1720.43
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45260,1719.9
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45237,1719.48
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,J Hopkins (Contractors) Ltd,45275,1719.46
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,St Johns Building Barristers Chambers,45257,1718.75
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,UPS Building and Maintenance Limited,45260,1716
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,UPS Building and Maintenance Limited,45260,1716
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Wright Build Ltd,45274,1716
Place,Strategic Highways,Capital - Transport,Capital - Trans - Miscellaneous,Construction - Main Contractor,United Utilities Water,45229,1715.96
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45208,1715.64
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1715.64
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,JLA HVAC Ltd,45271,1712.71
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45259,1712.2
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Premier Pre School Ltd,45278,1711.2
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Corlett Electrical Engineering Co (1981) Ltd,45273,1709.8
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45278,1708.56
Place,Economy,Economy,Estates,Maintenance Contracts,Fulwood Roofing Services (Northern) Ltd,45224,1708
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45257,1707.75
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45258,1703.22
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45271,1703.22
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45279,1703.22
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1700.44
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1700.44
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1700.44
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45236,1700.44
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Springfield House Medical Centre,45202,1700
People,Children´s Services,Children´s Social Care,Childrens Safeguarding,Agency Staff,Permanent Futures Ltd,45209,1700
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Play Grow and Learn Ltd t/a Buttercup Corner Day Nursery,45215,1700
Place,Youth & Communities,Youth Services Client,Youth Services Client,Educational Visits / School Trips,Craig Harris,45258,1700
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Nicola Unsworth,45279,1700
Corporate Services,Corporate Services,Finance,Finance,Services - Professional Fees,Bottomline Technologies Ltd,45210,1698.12
Corporate Services,Corporate Services,Finance,Finance,Services - Professional Fees,Bottomline Technologies Ltd,45257,1698.12
Corporate Services,Corporate Services,Finance,Finance,Services - Professional Fees,Bottomline Technologies Ltd,45281,1698.12
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Inspira Care,45232,1697.14
People,Children´s Services,"Education, Skills & Early Years",School Support Services,Services - Professional Fees,Brabners LLP t/a Brabners Chaffe Street Solicitors,45223,1695
People,Children´s Services,"Education, Skills & Early Years",Skills and Employment,Services - Professional Fees,Get Oldham Working,45238,1693.89
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Local Partnerships LLP,45236,1691
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Pennine Social Care Ltd,45211,1690.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45278,1690.41
Place,Environmental Services,Environmental Services,Environmental Management,Services - Payments To Contractors,Lamas Thermaclad Ltd,45210,1690
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Galleries Exhibition Costs,Preservation Equipment Ltd,45230,1690
People,Children´s Services,"Education, Skills & Early Years",School Support Services,Services - Professional Fees,Brabners LLP t/a Brabners Chaffe Street Solicitors,45223,1688
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Rachel Sarah Howarth TA Kinders Garden Childcare,45231,1687.56
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Age UK Oldham Ltd,45205,1687.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45280,1687.05
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Direct HealthCare Group Ltd,45265,1686.76
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Co Op Academy North Manchester,45238,1684
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,St Edmunds RC Primary School,45280,1684
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45205,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45205,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45209,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45224,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45226,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45237,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45247,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45257,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45264,1683.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45239,1682.02
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45202,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45208,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45208,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45208,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45208,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45208,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45209,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45209,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45215,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45215,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45215,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45215,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45223,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45226,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45243,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45243,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45243,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45244,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45245,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45245,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Pennine Social Care Ltd,45252,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45252,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45252,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45252,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45252,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45257,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45257,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45257,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45257,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45259,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45259,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45259,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45259,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45259,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45275,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45275,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45275,1679
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45275,1679
Place,Environmental Services,Environmental Services,Public Protection,Operational Materials,VPS ( UK) Ltd,45204,1676.34
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45229,1675.56
Place,Environmental Services,Environmental Services,Environmental Management,Services - Payments To Contractors,No Graffiti Ltd,45212,1675
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Comfort Call Limited,45251,1674.75
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Hays Specialist Recruitment,45203,1674.66
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45202,1673.41
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Rushton Electronic Solutions Ltd,45224,1672.31
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Randstad HR Solutions,45250,1671.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45247,1671.18
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45208,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45218,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45224,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45230,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45237,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45245,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45257,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45257,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45264,1670
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45274,1670
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45250,1669.64
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Remand,Shared Services Connected Ltd,45282,1668
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45245,1667.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45222,1666.56
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45236,1666.56
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45243,1666.56
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45250,1666.56
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45257,1666.56
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Interpreter/Translation Services,D A Languages Ltd,45280,1663.29
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45245,1656
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45251,1656
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45257,1656
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45264,1656
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Optima Health and Social Care Ltd,45250,1655.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Optima Health and Social Care Ltd,45265,1655.5
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Agency Staff,Badenoch and Clarke Ltd t/a Adecco,45259,1655.04
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Howarth Housing Group Ltd,45209,1655
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Eden Brown Limited,45243,1653.75
