Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,24-May-23,51400306945,"£4,000.00",23-May-23,Admire Healthcare Limited -Apollo House,CARE ESTABLISHMENT,N2210361 P134744-00020,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306883,"£4,000.00",23-May-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,P0017773 P134626-00035,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400307120,"£4,000.00",23-May-23,Banbury Heights Ltd t/a Banbury Heights Nursing Home,CARE ESTABLISHMENT,N2212010 P134686-00013,E7140,CPN,Social Care West Northampton Council CareCost Payments,,PD Physical Disability RES ST [NCC],Support with Memory & Cognition Res other Short Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,24-May-23,51400306419,"£4,000.00",23-May-23,REDCLYFFE,TRADE SUPPLIER,N2310160 P134639-00003,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306147,"£4,000.00",23-May-23,ASLAN PSYCHOLOGY LTD,EDUCATION,42023,D4100,SPS,AP Spreadsheet Import - Payments,,Educational Psychology,Educational Psychology,Education,Education Psychology,Consultancy
West Northamptonshire Council,22-May-23,51400304540,"£4,000.00",19-May-23,Redacted Personal Data,SERVICE USER,NT911436 P134362-00001,F1100,CPO,Social Care West Northampton Council Direct Payments,,OP South Older People CCP LT [NCC],Support with Memory & Cognition CCP Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Direct Payments
West Northamptonshire Council,24-May-23,51400307063,"£4,000.00",23-May-23,KENROYAL NURSING AND RESIDENTIAL CARE HOME,CARE ESTABLISHMENT,N0917978 P134664-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400307125,"£4,000.00",23-May-23,Banbury Heights Ltd t/a Banbury Heights Nursing Home,CARE ESTABLISHMENT,N2310300 P134686-00018,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,05-May-23,51400298113,"£4,009.54",04-May-23,Healthcare Evolution Ltd TA Sylviancare Banbury C/O Bibby Commercial Finance Limited,CARE ESTABLISHMENT,10162,E7150,SPS,AP Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,22-May-23,51400304829,"£4,017.00",22-May-23,ABINGTON VALE PRIMARY SCHOOL,EDUCATION,18MONTHLYTRANSFERSMAY23 CFR I03,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Abington Vale Primary School,Schools Block,Schools Block [NCC],Payments to Other Establishments
