element level code 02 + description,version,nominal,nominal description,group,group description,category,category description
COUNCIL  CUMBERLAND COUNCIL,2,10328,REDCTN NON TEACH ASSTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10328,REDCTN NON TEACH ASSTS,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10328,REDCTN NON TEACH ASSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10329,REDCTN OUT OF SCHL STFF,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10329,REDCTN OUT OF SCHL STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10329,REDCTN OUT OF SCHL STFF,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10329,REDCTN OUT OF SCHL STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10356,REDCTN MID-DAY SUPERVISOR,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10356,REDCTN MID-DAY SUPERVISOR,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10356,REDCTN MID-DAY SUPERVISOR,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10356,REDCTN MID-DAY SUPERVISOR,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10360,REDCTN PREMISES STFF,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10360,REDCTN PREMISES STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10360,REDCTN PREMISES STFF,A,employee costs,24,premises staff
COUNCIL  CUMBERLAND COUNCIL,4,10360,REDCTN PREMISES STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10361,REDCTN CATERING STFF,A,employee costs,3,reductions
