"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Company,Supplier Number,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount,
WF,SU000212    ,SU297867,ROLAND HILL (PARSONBY) LTD,12/09/2023,149659,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1312201,CONISTON C OF E SCHOOL        ,BUILDING REPAIRS,Revenue,1,690.00,
WF,SU000212    ,SU297867,ROLAND HILL (PARSONBY) LTD,12/09/2023,149902,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"44,975.37",
WF,SU000212    ,SU297867,ROLAND HILL (PARSONBY) LTD,21/09/2023,159907,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1230101,BOLTON SCHOOL APPLEBY         ,BUILDING REPAIRS,Revenue,1,582.50,
WF,SU000212    ,SU297867,ROLAND HILL (PARSONBY) LTD,25/09/2023,161998,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,QCORPPM,Corporate Property Plan Maint ,CAPITAL ADDITIONS - OTHER,Capital,1,"5,536.03",
WF,SU000212    ,SU297867,ROLAND HILL (PARSONBY) LTD,27/09/2023,166227,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,QCORPPM,Corporate Property Plan Maint ,CAPITAL ADDITIONS - OTHER,Capital,1,"25,065.59",
WF,SU000212    ,SU297867,ROLAND HILL (PARSONBY) LTD,28/09/2023,166981,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"64,344.45",
WF,SU000242    ,SU339987,R H IRVING CONSTRUCTION LTD,11/09/2023,149271,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,REPAIRS & MAINTENANCE,Revenue,1,"10,049.26",
WF,SU000247    ,SU347007,JJ GROUP (CONTRACTING) LIMITED,21/09/2023,160339,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,860.00",
WF,SU000247    ,SU347007,JJ GROUP (CONTRACTING) LIMITED,21/09/2023,160340,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,960.00",
WF,SU000281    ,SU394743,GROWING CONCERNS,18/09/2023,155170,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,BA00132,BA00 Off street car parking   ,CLEANING SERVICES,Revenue,1,623.61,
WF,SU000281    ,SU394743,GROWING CONCERNS,18/09/2023,155171,THRIVING PLACES,WASTE & ENVIRONMENTAL SERVICES,BA00128,BA00 Street fittings          ,CLEANING SERVICES,Revenue,1,253.92,
WF,SU000281    ,SU394743,GROWING CONCERNS,18/09/2023,155215,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00065,BA00 Public conveniences      ,CLEANING SERVICES,Revenue,1,"3,898.42",
WF,SU000281    ,SU394743,GROWING CONCERNS,18/09/2023,155408,RESOURCES,FINANCE                       ,SLGSH70,SL Handy Person Scheme        ,SLDC Handyperson,Revenue,1,486.00,
WF,SU000281    ,SU394743,GROWING CONCERNS,27/09/2023,166274,THRIVING PLACES,WASTE & ENVIRONMENTAL SERVICES,BA00128,BA00 Street fittings          ,CLEANING SERVICES,Revenue,1,253.92,
WF,SU000281    ,SU394743,GROWING CONCERNS,27/09/2023,166275,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,BA00132,BA00 Off street car parking   ,CLEANING SERVICES,Revenue,1,623.61,
WF,SU000281    ,SU394743,GROWING CONCERNS,27/09/2023,166276,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00065,BA00 Public conveniences      ,CLEANING SERVICES,Revenue,1,"3,898.42",
WF,SU000284    ,SU398955,LOGIC PLUMBING HEATING AND ELECTRICAL,18/08/2023,129334,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,ED02046,ED0Appleby heritage Centre    ,REPAIRS & MAINTENANCE,Revenue,1,"3,200.00",
