OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Lake Wardens,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,THOMAS GRAHAM & SONS LTD,656879,12/04/2023,189132,89.56,0,supply 2 0ff part no. 99PW104 as per,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,THOMAS GRAHAM & SONS LTD,656879,12/04/2023,189132,88.16,0,supply 2 0ff part no. 99PW104 as per,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Thomas Graham & Sons Ltd (Cleaning Supp),,12/04/2023,189133,132.18,0,99PH012 AE116 Jangro Green C-Fold 1 Ply,131010,Cleaning & Janitorial Cleaning Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Thomas Graham & Sons Ltd (Cleaning Supp),,12/04/2023,189134,255.95,0,Cleaning Supplies,131010,Cleaning & Janitorial Cleaning Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,THOMAS GRAHAM & SONS LTD,656879,12/04/2023,189135,112.18,0,2 packs of Tork Advanced Centre Feed,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Assets and Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,THOMAS GRAHAM & SONS LTD,656879,12/04/2023,189136,154.94,0,99CF111 X5L Jangro lemon floor,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Assets and Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,THOMAS GRAHAM & SONS LTD,656879,12/04/2023,189137,-21.92,0,99PR022 Jangro centre feed white,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,THOMAS GRAHAM & SONS LTD,656879,18/04/2023,189138,47.75,0,40 off part no 522M12 Nyloc Nut as per,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,THOMAS GRAHAM & SONS LTD,656879,18/04/2023,189139,73.88,0,40 off part no 522M12 Nyloc Nut as per,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,INNOVATIVE SAFETY SYSTEMS LTD,6875015,18/04/2023,189140,573,0,Parts,192200,Facilities Security
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Assets and Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Citation Limited T/A Southalls,5751804,18/04/2023,189141,899,0,Fire  Risk assessment for Ulverston,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SoloProtect Limited,,12/04/2023,189142,260,0,Service charge for 2 units -,192212,Facilities Security Equipment
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,SoloProtect Limited,,12/04/2023,189143,150,0,Solo Protect 7 x Classic devices - KTH,192212,Facilities Security Equipment
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Regulatory,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SoloProtect Limited,,12/04/2023,189144,84,0,4 x SoloProtect ID Devices for 12 months,192212,Facilities Security Equipment
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SoloProtect Limited,,12/04/2023,189145,16.45,0,Service charge 2022-23 x 1 unit - spare,192212,Facilities Security Equipment
