Authority,Service Area,Description,Payment,Amount,Supplier
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,"£1,281.70",ICRIT Healthcare#Limited
Bolton BMC,Adult Services,Other Agency/Contracted Services,01-Jun-23,"£4,725.00",Interpreting & Translating Services
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,"£2,707.00",James Leckey Design Limited#Vida Global
Bolton BMC,Adult Services,Clients Aids & Adaptations,12-Jun-23,£596.00,James Leckey Design Limited#Vida Global
Bolton BMC,Adult Services,Clients Aids & Adaptations,19-Jun-23,"£1,015.00",James Leckey Design Limited#Vida Global
Bolton BMC,Adult Services,Contracted Services,07-Jun-23,"£33,089.91",Jewel Home Support Ltd
Bolton BMC,Adult Services,Contracted Services,07-Jun-23,£972.85,Jewel Home Support Ltd
Bolton BMC,Adult Services,Contracted Services,07-Jun-23,"£11,441.20",Jewel Home Support Ltd
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£19,211.32",Kingarth#1
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£4,045.00",Knightswood Residential Home
Bolton BMC,Adult Services,Clients Aids & Adaptations,27-Jun-23,£878.40,Langham
Bolton BMC,Adult Services,Clients Aids & Adaptations,27-Jun-23,"£1,593.36",Langham
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£17,035.00",Lever Edge Care Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,265.00",Lyngate Residential Home#Lyngate Healthcare Ltd
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£10,150.00",Lyngate Residential Home#Lyngate Healthcare Ltd
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£748.80,Making Space
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£748.80,Making Space
Bolton BMC,Adult Services,Contracted Services,23-Jun-23,£814.80,Making Space
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£4,920.14",Marion Lauder Care Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£18,801.40",Max Potential UK Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£4,700.35",Max Potential UK Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£15,900.00",Max Potential UK Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£4,700.35",Max Potential UK Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£9,950.35",Max Potential UK Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£9,400.70",Max Potential UK Limited
Bolton BMC,Adult Services,Computer Software Licences,14-Jun-23,"£8,840.00",Me Learning Limited
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£7,030.00",Meadowbank House
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,265.00",Meadowbank House
Bolton BMC,Adult Services,Other Fees,01-Jun-23,"£3,300.00",Mental Capacity Cat
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£22,865.00",Mill View Care Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£21,365.00",Mill View Care Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£19,934.20",Millbrook Way - Heathwaite
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£15,456.30",Morden Grange
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£6,885.00",Morgan Care Ltd
Bolton BMC,Adult Services,Livestock,07-Jun-23,£564.00,Moss Hall Farm Cattery
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£4,888.05",Moston Grange Nursing Home
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,£680.00,Newlyn Healthcare Specialist Equipment Ltd
Bolton BMC,Adult Services,Clients Aids & Adaptations,09-Jun-23,£870.00,Newlyn Healthcare Specialist Equipment Ltd
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,"£3,913.00",Newlyn Healthcare Specialist Equipment Ltd
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£20,550.00",Next Steps Levenshulme
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£19,982.45",Next Steps The Elms
Bolton BMC,Adult Services,Clients Aids & Adaptations,15-Jun-23,"£3,180.00",NRS Healthcare#Nottingham Rehab Limited#Complete Care Shop
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£9,911.56",Oakdale Supported Living
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£31,748.25",Oliver House New House Farm
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,"£2,201.92",Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,£635.67,Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,£824.08,Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,"£1,926.65",Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,£904.36,Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,£937.12,Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,£629.12,Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,£688.10,Orchid Home Care Support
Bolton BMC,Adult Services,Contracted Services,06-Jun-23,£688.10,Orchid Home Care Support
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,620.00",Orchid Woodlands Healthcare Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,£979.00,Osprey Healthcare Ltd
Bolton BMC,Adult Services,Contracted Services,12-Jun-23,"£2,991.56",P & R Health Care Solutions
Bolton BMC,Adult Services,Contracted Services,13-Jun-23,£585.76,P & R Health Care Solutions
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£20,985.00",Parkview Nursing & Residential Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£2,730.00",Passmonds House
Bolton BMC,Adult Services,Contracted Services,13-Jun-23,"£35,731.36",Precedo Healthcare Limited
Bolton BMC,Adult Services,Contracted Services,07-Jun-23,"£18,864.67",Premier Care Limited
Bolton BMC,Adult Services,Contracted Services,07-Jun-23,£791.02,Premier Care Limited
Bolton BMC,Adult Services,Contracted Services,07-Jun-23,"£9,344.44",Premier Care Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,£702.85,Prism Medical UK
Bolton BMC,Adult Services,Clients Aids & Adaptations,05-Jun-23,"£1,968.89",Prism Medical UK
Bolton BMC,Adult Services,Clients Aids & Adaptations,08-Jun-23,"£2,045.93",Prism Medical UK
