Authority,Service Area,Description,Payment,Invoice Line Amount,Supplier
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£1,678.32",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£2,136.14",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£1,948.68",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£1,363.47",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£1,845.67",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,£722.01,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£1,575.84",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£1,015.27",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,£791.68,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,15-Mar-24,"£2,688.12",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,"£1,688.68",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,£754.17,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,"£1,894.55",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,"£2,154.60",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,£942.76,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,£669.55,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,£669.55,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,"£1,826.22",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,"£1,680.90",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,"£2,029.88",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,01-Mar-24,£767.68,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,"£1,657.61",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,"£1,261.23",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,"£2,944.64",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,"£1,982.69",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,"£1,159.68",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,£721.13,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,"£2,114.25",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Chief Executives ,Agency Staff - Other,08-Mar-24,"£1,474.25",Reed#Reed Specialist Recruitment Limited
