Authority,Service Area,Description,Supplier,Payment,Amount
Bolton MBC,Children's Services,Agency Staff - Other,Quickline Recruitment Limited,17-Jul-23,"£1,595.44"
Bolton MBC,Children's Services,Agency Staff - Other,Quickline Recruitment Limited,17-Jul-23,"£1,675.54"
Bolton MBC,Children's Services,Agency Staff - Other,Quickline Recruitment Limited,24-Jul-23,"£1,629.79"
Bolton MBC,Children's Services,Agency Staff - Other,Quickline Recruitment Limited,24-Jul-23,"£1,002.60"
Bolton MBC,Children's Services,Agency Staff - Other,Quickline Recruitment Limited,31-Jul-23,"£1,616.89"
Bolton MBC,Children's Services,Agency Staff - Other,Quickline Recruitment Limited,31-Jul-23,"£1,078.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Rainbow Fostering Services,04-Jul-23,"£1,702.86"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Rainbow Fostering Services,04-Jul-23,"£6,385.71"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Rainbow Fostering Services,04-Jul-23,"£6,598.57"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Rainbow Fostering Services,04-Jul-23,"£6,385.71"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Rainbow Fostering Services,18-Jul-23,"£6,598.57"
Bolton MBC,Children's Services,Contracted Services,Randstad Solutions Limited,05-Jul-23,£898.00
Bolton MBC,Children's Services,Contracted Services,Randstad Solutions Limited,12-Jul-23,"£1,182.00"
Bolton MBC,Children's Services,Contracted Services,Randstad Solutions Limited,26-Jul-23,£952.00
Bolton MBC,Children's Services,Other Fees,RE Today Services,01-Jul-23,"£1,110.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,04-Jul-23,£585.00
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£5,964.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£7,870.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,06-Jul-23,"£1,039.50"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,19-Jul-23,£564.30
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£1,050.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£1,750.00"
Bolton MBC,Children's Services,Legal Fees,Redacted - Personal Data,01-Jul-23,"£2,450.00"
Bolton MBC,Children's Services,Legal Fees,Redacted - Personal Data,01-Jul-23,"£1,776.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,£862.50
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,"£1,605.23"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,20-Jul-23,£837.50
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,20-Jul-23,"£1,091.16"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,02-Jul-23,£750.00
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,18-Jul-23,£579.16
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,£625.00
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,£860.25
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,£529.66
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,20-Jul-23,"£1,001.75"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,20-Jul-23,£662.66
Bolton MBC,Children's Services,Other Fees,Redacted - Personal Data,17-Jul-23,£700.00
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,04-Jul-23,"£1,334.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,20-Jul-23,"£1,316.50"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,21-Jul-23,"£2,716.75"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,21-Jul-23,"£1,265.50"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,21-Jul-23,£831.25
Bolton MBC,Children's Services,Other Fees,Redacted - Personal Data,05-Jul-23,"£1,749.90"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£1,665.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£2,220.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£1,587.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£2,100.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£2,380.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£3,230.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,£975.00
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£1,300.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£2,380.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£3,400.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,£549.39
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,20-Jul-23,£540.08
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,02-Jul-23,"£1,266.68"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,21-Jul-23,£829.17
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,"£1,132.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£1,200.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£1,520.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,£757.50
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£1,596.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£1,554.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£1,050.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£1,400.00"
Bolton MBC,Children's Services,Other Fees,Redacted - Personal Data,25-Jul-23,"£2,000.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,£661.50
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,18-Jul-23,£919.50
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,27-Jul-23,£578.50
Bolton MBC,Children's Services,Training Exps Tuition Fees,Redacted - Personal Data,13-Jul-23,£600.00
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,01-Jul-23,"£2,520.00"
Bolton MBC,Children's Services,Contracted Services,Redacted - Personal Data,21-Jul-23,"£1,050.00"
Bolton MBC,Children's Services,Admin Officers Gross Pay,Redacted - Personal Data,24-Jul-23,"£1,200.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,31-Jul-23,"£1,080.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Redacted - Personal Data,01-Jul-23,"£1,440.00"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£539.45
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£543.09
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£539.45
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£584.82
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,272.21"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,590.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£558.38
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£558.38
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£558.38
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£754.60
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£542.01
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£892.43
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£542.01
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£912.72
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£542.01
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,407.38"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,499.91"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,407.38"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,499.91"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,481.11"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,407.38"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,407.38"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,499.91"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,280.96"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,497.79"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,499.91"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,499.91"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£600.45
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,407.38"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,573.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£828.06
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£831.28
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£828.06
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£828.06
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£831.28
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,191.90"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,573.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£503.56
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,573.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£831.28
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£595.95
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£811.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£828.06
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£831.28
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,131.90"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,396.01"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,131.90"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,414.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,414.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,131.90"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£565.95
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£877.20
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£877.20
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£822.38
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£826.03
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£526.32
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£575.28
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£575.28
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£539.38
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£670.14
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£539.38
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£826.51
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£826.51
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£826.51
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£539.38
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£826.51
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,590.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£592.80
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,611.76"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,482.00"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,289.40"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£889.20
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,185.90"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,482.00"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,590.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£988.54
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,590.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£889.20
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£967.06
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,185.90"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,482.00"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£879.32
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£889.20
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,590.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,185.90"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£967.06
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,344.02"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,462.24"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,482.00"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£889.20
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,590.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,775.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,488.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,488.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,488.51"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,488.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,488.51"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,"£1,166.14"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,775.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,488.51"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,488.51"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,462.61"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£905.41
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,488.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,488.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,488.51"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,488.88"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,775.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,775.26"
Bolton MBC,Children's Services,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,"£1,488.51"
