Authority,Service Area,Description,Payment, Amount ,Supplier
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £32,599.80 ",Kingarth#1
Bolton MBC,Adult Services,Clients Aids & Adaptations,02-Oct-23, £849.75 ,Kingkraft Ltd
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £3,236.00 ",Knightswood Residential Home
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23, £878.40 ,Langham
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23," £1,317.60 ",Langham
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £13,628.00 ",Lever Edge Care Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,612.00 ",Lyngate Residential Home#Lyngate Healthcare Ltd
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £8,120.00 ",Lyngate Residential Home#Lyngate Healthcare Ltd
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £844.80 ,Making Space
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £844.80 ,Making Space
Bolton MBC,Adult Services,Contracted Services,08-Oct-23, £844.80 ,Making Space
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23, £507.50 ,Mangar International Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23, £671.50 ,Mangar International Ltd
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £2,599.32 ",Marion Lauder Care Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £17,136.00 ",Max Potential UK Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £11,781.00 ",Max Potential UK Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £39,183.00 ",Max Potential UK Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £4,284.00 ",Max Potential UK Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £8,568.00 ",Max Potential UK Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £8,568.00 ",Max Potential UK Limited-Glen Avenue
Bolton MBC,Adult Services,Computer Software Licences,23-Oct-23," £7,700.00 ",Me Learning Limited
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £5,624.00 ",Meadowbank House
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23, £865.85 ,Medstrom Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23," £1,679.00 ",Medstrom Limited
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £12,384.00 ",Mill View Care Home#Advinia
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £14,196.00 ",Mill View Care Home#Advinia
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £28,637.44 ",Morden Grange
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £5,508.00 ",Morgan Care Ltd
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £3,910.44 ",Moston Grange Nursing Home
Bolton MBC,Adult Services,Computer Leases,27-Oct-23," £1,240.00 ",Net View Systems Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23, £700.00 ,Newlyn Healthcare Specialist Equipment Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23, £622.93 ,Newlyn Healthcare Specialist Equipment Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,09-Oct-23," £4,155.00 ",Newlyn Healthcare Specialist Equipment Ltd
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £18,084.00 ",Next Steps Levenshulme
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £17,584.56 ",Next Steps The Elms
Bolton MBC,Adult Services,Partnerships - Other,31-Oct-23," £37,982.00 ",NHS Greater Manchester Integrated Care Board#ICB
Bolton MBC,Adult Services,Legal Fees,01-Oct-23, £525.00 ,Nine St John Street Chambers
Bolton MBC,Adult Services,Legal Fees,01-Oct-23," £1,500.00 ",Nine St John Street Chambers
Bolton MBC,Adult Services,Legal Fees,01-Oct-23," £1,100.00 ",Nine St John Street Chambers
Bolton MBC,Adult Services,Clients Aids & Adaptations,09-Oct-23, £981.60 ,NRS Healthcare#Nottingham Rehab Limited#Complete Care Shop
Bolton MBC,Adult Services,Clients Aids & Adaptations,11-Oct-23, £710.00 ,NYMAS#North Yorkshire Mobility & Safety#Barwood
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £7,097.60 ",Oakdale Supported Living
