DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,M SHEPPARD PATHOLOGY LIMITED,299227,1140226,2/09/2024,400.00,0.00,Coroners & Mortuary Service,61066,63401,General Services,Community & Env Services - 1,BPLSER,LIFEVE1,Life Events Reg & Care - 3,LIFEVE3,Life Events Reg & Care - 5,7/24,11402262992277/24
Blackpool Council,NORTH WEST PATHOLOGY LTD,299230,1139569,3/09/2024,"3,362.60",0.00,Coroners & Mortuary Service,61066,63602,Panel Expenses,Community & Env Services - 1,BPLSER,LIFEVE1,Life Events Reg & Care - 3,LIFEVE3,Life Events Reg & Care - 5,JULY/2024/SS,1139569299230JULY/2024/SS
Blackpool Council,COMMUNITY ACCORD LTD,299232,1139751,2/09/2024,574.74,95.79,Sen Central Team,10430,63408,Services to Clients,Children's Services - 1,CHISER,LEARNG,Learning,JCAA1,JCAA1,2475,11397512992322475
Blackpool Council,Key Engineering Supplies Ltd,299258,1000771,6/09/2024,806.06,134.33,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,73705,100077129925873705
Blackpool Council,REAL CARE CHILDREN SERVICES LTD,299281,1140706,4/09/2024,537.10,0.00,Sct17,10545,65583,Specialist Support,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,040824JR,1140706299281040824JR
Blackpool Council,Suez Recycling And Recovery Uk Ltd,299370,1000737,3/09/2024,"10,960.13","1,826.69",Waste Disposal,30177,64501,Private Contractors,Community & Env Services - 1,BPLSER,WASTE,Waste Management - 3,DOMPFI1,Domestic Waste - 5,80416703,100073729937080416703
Blackpool Council,The Helping Hand Company Ltd,299377,1000076,3/09/2024,"1,180.80",196.80,,,65401,Aids To Daily Living,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,CD970109477,1000076299377CD970109477
Blackpool Council,Tunstall Healthcare (Uk) Ltd,299395,1000060,9/09/2024,673.20,112.20,Vitaline Services,20019,63012,Other Equipment,Adult Services - 1,ADULTS,APFBAB,Vitaline - 3,APFBAB2,Vitaline - 5,CD970068159,1000060299395CD970068159
Blackpool Council,Suez Recycling And Recovery Uk Ltd,299402,1000737,3/09/2024,"3,401.60",566.93,Waste Disposal,30177,64501,Private Contractors,Community & Env Services - 1,BPLSER,WASTE,Waste Management - 3,DOMPFI1,Domestic Waste - 5,80416702,100073729940280416702
Blackpool Council,The Networking People,299411,1002170,3/09/2024,355.80,59.30,,,66511,Service Connections/Altera,Community & Env Services - 1,BPLSER,PARKS,Parks - 3,PRKDEV1,Parks Developme - 5,SI115851,1002170299411SI115851
Blackpool Council,Bauer Radio Ltd,299427,1001612,9/09/2024,"96,000.00","16,000.00",Switch On,50161,63401,General Services,Communication & Regeneration - 1,AMCPI,VB,Visit Blackpool/Marketing Co - 3,PRB1,Events - 5,1610033387,10016122994271610033387
Blackpool Council,H Jenkinson & Co Ltd,299429,1000077,10/09/2024,"70,799.03","11,799.84",,,65509,Contract Expenses,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED511,Highfurlong - 5,SINV00981064,1000077299429SINV00981064
Blackpool Council,EPC NATIONAL LTD,299433,1142018,5/09/2024,576.00,96.00,Apportionable,40001,61064,Delegated Maintenance,Resources - 1,TRSTOT,AEB,Buildings - 3,BDAAAA,Buildings - Operational - 5,3626,11420182994333626
Blackpool Council,REDACTED PERSONAL DATA,299436,1143088,9/09/2024,475.15,0.00,Research Project,64027,63313,General Expenses,Chief Executive - 1,CEXTOT,CORPDU1,"Corp Dev, Eng & Comms - 3",CORPDU2,"Corp Dev, Eng & Comms - 5",ASL01-060824,1143088299436ASL01-060824
Blackpool Council,Water Services Regulation Authority (OFWAT),299450,1142754,3/09/2024,"1,628.65",0.00,Energy & Sustainability,40072,61401,Water Charges,Resources - 1,TRSTOT,BST,Business Services Team - 3,ENG2,Energy - 5,49024,114275429945049024
Blackpool Council,LORIMERS CONSULTANCY LTD,299469,1142350,2/09/2024,"3,405.00",0.00,Blackpool Joint Partnership Boards,10593,63413,Consultants,Children's Services - 1,CHISER,CHSAFE,CHSAFE,CHSAFE2,Children's safeguarding Team 2,13,114235029946913
Blackpool Council,Carebase (Fac001),299476,1002398,3/09/2024,474.00,79.00,,,65401,Aids To Daily Living,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,92695,100239829947692695
Blackpool Council,Enable Access Ltd,299479,1140262,6/09/2024,796.56,132.76,,,65401,Aids To Daily Living,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,87293,114026229947987293
Blackpool Council,BASE ENERGY SERVICES LIMITED,299482,1143266,5/09/2024,"1,761.00",293.50,Suspense - Int - P2,99969,99969,Suspense - Int - P2,Not Applicable - 1,NA,NA,Not Applicable - 3,NA,Not Applicable - 5,19307,114326629948219307
