FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference
LIST,Blackpool Council,Ukactive,199019,1002404,2/04/2024,450.00,75.00,Blackpool Sports Centre,30027,63711,Subscriptions,Community & Env Services - 1,BPLSER,LESR,Leisure - 3,LEISUR1,Leisure Managem - 5,INV-206033
LIST,Blackpool Council,Sellick Partnership Limited,199021,1001076,2/04/2024,"1,776.00",296.00,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,INV541519
LIST,Blackpool Council,Sellick Partnership Limited,199024,1001076,2/04/2024,"2,860.27",476.71,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,INV541520
LIST,Blackpool Council,REDACTED PERSONAL DATA,199031,1001065,3/04/2024,"2,118.00",353.00,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,277188
LIST,Blackpool Council,REDACTED PERSONAL DATA,199033,1000180,3/04/2024,"1,392.00",232.00,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,274448
LIST,Blackpool Council,REDACTED PERSONAL DATA,199035,1000538,3/04/2024,"1,332.00",222.00,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,275883
LIST,Blackpool Council,Ncfe,199037,1001885,3/04/2024,330.00,0.00,Adult Learning 2023/24,50193,63711,Subscriptions,Communication & Regeneration - 1,AMCPI,LL,Lifelong Learning - 3,ALEARN1,Adult Learning - 5,SI00143980
LIST,Blackpool Council,REDACTED PERSONAL DATA,199039,1003399,2/04/2024,372.00,62.00,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,278240
LIST,Blackpool Council,REDACTED PERSONAL DATA,199041,1003399,2/04/2024,390.00,65.00,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,271218
LIST,Blackpool Council,REDACTED PERSONAL DATA,199046,1006619,3/04/2024,906.00,151.00,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships - 1,DEMTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,275180
