"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,926.48,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,790.4,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,926.48,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,790.4,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,881.29,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/10/2023,,436.12,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,1479.59,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,451.71,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,775,REDACTED,
11,11,Family Support RO - North,Allowances - RO's/SGO's,15033,11/10/2023,,668.71,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,509.28,REDACTED,
11,11,CWD Agency Direct Payments -EAST,Direct Payments-Personal Care,15029,19/10/2023,,877.5,REDACTED,
11,11,CWD Agency Direct Payments -EAST,Direct Payments-Personal Care,15030,19/10/2023,,55.95,REDACTED,
11,11,CWD Agency Direct Payments - Burnley,Direct Payments-Personal Care,15029,19/10/2023,,167.85,REDACTED,
11,11,CWD Agency Direct Payments - Burnley,Direct Payments-Personal Care,15030,19/10/2023,,167.85,REDACTED,
11,11,CWD Agency Direct Payments -EAST,Direct Payments-Personal Care,15029,31/10/2023,,1170,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,1585.88,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,10/10/2023,,3183,REDACTED,
11,11,CWD Agency Direct Payments - NORTH,Direct Payments-Personal Care,15030,19/10/2023,,503.55,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,19/10/2023,,67.14,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15030,19/10/2023,,167.85,REDACTED,
11,11,CWD Agency Direct Payments - S Ribble,Direct Payments-Personal Care,15029,19/10/2023,,100.71,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,719.47,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,775,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,704.59,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,775,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15030,19/10/2023,,1938.11,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,1373.3,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15030,19/10/2023,,581.88,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,19/10/2023,,268.56,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15030,19/10/2023,,581.88,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,19/10/2023,,134.28,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,704.59,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,491.84,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/10/2023,,468.37,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,790.4,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,790.4,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,684.31,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,384.89,REDACTED,
11,11,CWD Agency Direct Payments - NORTH,Direct Payments-Personal Care,15029,19/10/2023,,-76.73,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,19/10/2023,,797.32,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,884.43,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,497.59,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,326.12,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,994.48,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,994.48,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,1314.84,REDACTED,
11,11,Lancaster Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,926.48,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,790.4,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,790.4,REDACTED,
11,11,Lancaster Fostering LCC,Travelling Expenses Refunded,12103,23/10/2023,,767.04,REDACTED,
11,11,Lancaster Fostering LCC,Clothing & Uniform,13121,23/10/2023,,199.97,REDACTED,
