UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
11817, Trafford Borough Council,Live (One Off),PSDS Project Manager Delivery,150000 - Consultancy,Mini Competition (External), Contract,06/06/2022,31/03/2023,-,"�52,700.00","�527,000.00",Procter and Street Ltd,-,M33 2BW,-,"STAR, TRAFF - Place"
11138, Trafford Borough Council,Live (One Off),Trauma Informed Workforce Training,261500 - Human Resources - Training & Conferences,Mini Competition (External), Contract,01/04/2022,31/03/2023,-,"�20,000.00","�20,000.00",The Nelson Trust,-,GL5 2QJ,-,"STAR, TRAFF - Adults' Services"
8925, Trafford Borough Council,Live (On-going),Trafford Lamp Post Banners,191000 - Facilities & Management Services - Advertising,Mini Competition (External), Contract,01/08/2022,01/08/2027,-,"�15,840.00","�79,200.00",CP Media,-,HX1 2AF,-,"STAR, TRAFF - Place"
11846, Trafford Borough Council,Live (On-going),Secure Cloud Backup Solution (including M365 backups),"270000 - Information Communication Technology, 271440 - Information Communication Technology - Software, 271430 - Information Communication Technology - Software - Commercial Off-The-Shelf",Call Off (External), Call-off Contract,01/06/2022,31/05/2024,-,"�48,000.00","�96,000.00",Iland Ltd,-,SL5 7HP ,-,"STAR, TRAFF - Finance and Systems"
10517, Trafford Borough Council,Live (On-going),Care Leaver Mentoring,321100 - Social Community Care Supplies & Services - Children,RBS - Med/High - Advanced (Open),Please Select,01/09/2021,31/08/2023,-,,"�99,998.00",Power2 Ltd,-,ol66as,-,"STAR, TRAFF - Children, Families and Wellbeing"
4668, Trafford Borough Council,Live (On-going),Rape Crisis Support Service,"151510 - Healthcare - Public Health, 151514 - Healthcare - Public Health - Specialist Services",RBS - Low/Med - Simple (RFQ), Contract,01/04/2019,31/03/2024,31/03/2024,"�25,000.00","�125,000.00",Trafford Rape Crisis Ltd,-,x,-,Trafford Borough Council
11057, Trafford Borough Council,Live (One Off),Microsoft Power Platform on-boarding and skills transfer partner,"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services, 261517 - Information Communication Technology - Services - Consultancy",RBS - Med/High - Advanced (Open), Contract,01/04/2022,30/09/2023,-,,"�129,306.50",UBDS IT Consulting Ltd,-,W1J 5PS,-,"STAR, TRAFF - Finance and Systems"
8394, Trafford Borough Council,Live (On-going),Interpretation and Translation Services - Trafford Council ,261100 - Human Resources - Interpretation & Translation,Mini Competition (External), Call-off Contract,20/06/2022,19/06/2024,19/06/2025,"�15,000.00","�67,500.00",DA Languages,-,x,-,"Trafford Borough Council, TRAFF - Integrated Commissioning"
9342, Trafford Borough Council,Live (On-going),The Supply and Installation of Ceiling Track Hoists,"390000 - Works - Construction, Repair & Maintenance",Call Off (External), Call-off Contract,01/05/2022,30/04/2024,31/01/2026,"�64,000.00","�256,000.00",Hoist and Shower Chair Company,-,HD6 1NB,-,"STAR, TRAFF - Integrated Commissioning"
9587, Trafford Borough Council,Live (One Off),Delivery of a Development Partner for the Redevelopment of Stretford Mall,"390000 - Works - Construction, Repair & Maintenance",OJEU Tender, Contract,01/10/2022,28/02/2025,-,"�12,426,863.00","�12,000,000.00",Caddick Construction (NW) Ltd,-,WF11 8DA,-,"STAR, TRAFF - Place"
