DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2075479,09/03/2023,4186500,"1,135.52",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2075479,09/03/2023,4186558,"2,108.82",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,188364,28/03/2023,4212494,"1,038.04",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1816470,28/03/2023,4213914,560.00,0.00,N/A,N/A
People Services - Adults and Health,Sensory Support,Community Support,REDACTED - PERSONAL DATA,1217476,28/03/2023,4211701,"7,824.00",0.00,N/A,N/A
People Services - Children & Young People,Early Help & Children’s Safeguarding,Non-Schools,REDACTED - PERSONAL DATA,385551,07/03/2023,4180135,"2,822.90",0.00,N/A,N/A
People Services - Children & Young People,Early Help & Children’s Safeguarding,Non-Schools,REDACTED - PERSONAL DATA,385551,07/03/2023,4180106,"2,822.90",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,386414,28/03/2023,4212214,"1,901.12",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1092479,28/03/2023,4211857,"1,514.72",0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,REDACTED - PERSONAL DATA,1520470,14/03/2023,4190813,"1,193.94",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,385576,28/03/2023,4213910,840.00,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,473422,28/03/2023,4211618,"3,708.04",0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,REDACTED - PERSONAL DATA,1359500,14/03/2023,4190776,"1,000.00",0.00,N/A,N/A
People Services - Adults and Health,Sensory Support,Community Support,REDACTED - PERSONAL DATA,790444,28/03/2023,4211547,"2,160.00",0.00,N/A,N/A
People Services - Adults and Health,Support to Carers,Community Support,REDACTED - PERSONAL DATA,162345,28/03/2023,4212363,"1,031.84",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,852455,28/03/2023,4211551,934.40,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,473627,28/03/2023,4211900,971.00,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,385532,28/03/2023,4212466,976.32,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,362397,28/03/2023,4212412,"1,917.24",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,251428,28/03/2023,4212406,"1,620.04",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,385547,28/03/2023,4211934,"1,057.24",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,386416,28/03/2023,4211535,"7,678.92",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,1102485,28/03/2023,4212045,935.84,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,155401,28/03/2023,4211366,546.80,0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,555450,28/03/2023,4212722,"2,124.84",0.00,N/A,N/A
People Services - Adults and Health,Sensory Support,Community Support,REDACTED - PERSONAL DATA,188459,28/03/2023,4211876,565.28,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,124968,28/03/2023,4212458,"1,754.96",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1705477,28/03/2023,4211471,"1,154.76",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,187806,28/03/2023,4211873,"1,476.04",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,474026,28/03/2023,4212117,"2,608.88",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,961488,28/03/2023,4211561,973.24,0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,125708,28/03/2023,4211736,840.44,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,170383,28/03/2023,4212067,895.00,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,642457,28/03/2023,4211625,777.08,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,124757,28/03/2023,4211968,"1,222.80",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1239499,28/03/2023,4212344,748.08,0.00,N/A,N/A
People Services - Children & Young People,Learning & Inclusion,Non-Schools,REDACTED - PERSONAL DATA,239406,02/03/2023,4173064,"3,400.00",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,841461,28/03/2023,4212056,"1,072.40",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1989468,28/03/2023,4212325,984.20,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2097468,28/03/2023,4212163,"2,234.96",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2097468,16/03/2023,4192142,"2,234.96",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2097468,16/03/2023,4192117,"2,234.96",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2097468,16/03/2023,4192135,"2,234.96",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2097468,16/03/2023,4192136,"2,075.32",0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,REDACTED - PERSONAL DATA,1543480,21/03/2023,4194267,"1,000.00",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1551550,09/03/2023,4182611,"2,091.95",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1603476,28/03/2023,4212329,720.00,0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,1784469,28/03/2023,4212137,901.24,0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,852453,28/03/2023,4212571,"1,184.04",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,126365,28/03/2023,4212673,526.44,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1716484,28/03/2023,4212201,766.64,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1524484,07/03/2023,4179905,"1,540.00",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,502424,28/03/2023,4211902,"3,550.40",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,246424,28/03/2023,4211886,571.64,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1952468,09/03/2023,4185790,"2,670.00",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1076473,28/03/2023,4211383,960.48,0.00,N/A,N/A
People Services - Adults and Health,Sensory Support,Community Support,REDACTED - PERSONAL DATA,801451,28/03/2023,4212241,662.88,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,236421,28/03/2023,4211604,"2,785.80",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,863451,28/03/2023,4211488,"7,516.16",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1976469,28/03/2023,4211980,610.60,0.00,N/A,N/A
Communities & Place,Traffic & Transportation,Planning & Transportation,REDACTED - PERSONAL DATA,1010473,28/03/2023,4192705,"3,044.47",0.00,N/A,N/A
Communities & Place,Traffic & Transportation,Planning & Transportation,REDACTED - PERSONAL DATA,1010473,09/03/2023,4094947,"2,624.15",0.00,N/A,N/A
