DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114387,482093,877.56,Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114199,482096,713.84,Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,REDACTED,02/07/2024,00114064,482098,951.68,Central/East MH Support - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114114,482101,"1,727.44",Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114007,482102,"2,420.08",Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114011,482103,"2,788.72",Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114387,482104,"1,727.44",Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114114,482106,713.84,South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114167,482113,658.17,South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114167,482117,"1,727.44",South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114061,482121,"1,727.44",South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114360,482128,585.04,Central Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114053,482139,511.91,West Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114393,482149,"1,243.21",South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114282,482157,713.76,South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114183,482163,713.84,South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114479,482166,713.76,South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,02/07/2024,00114479,482168,713.76,East Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114347,482185,"1,326.44",Preparing for adulthood LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114050,482191,713.76,Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,REDACTED,02/07/2024,00114370,482192,"1,070.76",Central/East MH Support - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/07/2024,00114196,482194,511.91,Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
