Directorate,PROCESSING DATE,MERCHANT NAME,GROSS AMOUNT,MERCHANT CATEGORY CODE DESCRIPTION
People Services,14/04/2023,AMZNMKTPLACE,15.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/04/2023,AMZNMKTPLACE,33.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/04/2023,AMZNMKTPLACE,42.74,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/04/2023,LAHOREES,57.62,FAST FOOD RESTAURANTS
People Services,25/04/2023,DINE ORDER,-57.62,FAST FOOD RESTAURANTS
People Services,11/05/2023,SP TRAPSTAR LONDON,£47.45,MEN'S AND WOMEN'S CLOTHING STORES
People Services,11/05/2023,CURRYS ONLINE,£129.00,ELECTRONIC SALES
People Services,12/05/2023,HERON FOODS OSMASTON R,£2.39,"GROCERY STORES, SUPERMARKETS"
People Services,12/05/2023,KFC,£8.96,FAST FOOD RESTAURANTS
People Services,12/05/2023,B&M 465 - HS DERBY,£41.99,SUNDRY GENERAL MERCHANDISE
People Services,16/05/2023,ASDA SUPERSTORE,£80.81,"GROCERY STORES, SUPERMARKETS"
People Services,17/05/2023,SAINSBURYS S/MKTS,£6.44,"GROCERY STORES, SUPERMARKETS"
People Services,22/05/2023,ASDA SUPERSTORE,£31.75,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,SP XS-STOCK ONLINE,£6.99,SUNDRY GENERAL MERCHANDISE
People Services,25/05/2023,AMZNMKTPLACE,£21.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,WWW.PROVAC.CO.UK,£38.11,"SANITATION, POLISHING & SPECIALITY CLEANING PREP"
People Services,30/05/2023,AMZNMKTPLACE AMAZON.CO,£46.70,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,31/05/2023,STARTSELECT.HELP 23TFF,£25.00,POI FUNDING TRANSACTIONS
People Services,02/06/2023,BOOHOO.COM UK LTD,£63.99,MEN'S AND BOY'S CLOTHING AND ACCESSORIES STORES
People Services,02/06/2023,AMZNMKTPLACE AMAZON.CO,£53.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/06/2023,AMZNMKTPLACE AMAZON.CO,£114.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/06/2023,AMAZON.CO.UK GH0B58U25,£39.95,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,02/06/2023,AMZNMKTPLACE,£32.62,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/06/2023,AMZNMKTPLACE AMAZON.CO,-£209.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/06/2023,AMAZON.CO.UK 9W9AJ7PU5,£15.93,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,05/06/2023,AMZNMKTPLACE AMAZON.CO,£45.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/06/2023,ASDA SUPERSTORE,£9.10,"GROCERY STORES, SUPERMARKETS"
People Services,05/06/2023,WWW.ARGOS.CO.UK,£98.00,DEPARTMENT STORES
People Services,05/06/2023,TENPIN DERBY,£12.15,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF"
People Services,05/06/2023,TENPIN DERBY,£17.40,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF"
People Services,05/06/2023,UBER    EATS,£64.18,"EATING PLACES, RESTAURANTS"
People Services,05/06/2023,AMZNMKTPLACE AMAZON.CO,£209.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/06/2023,AMZNMKTPLACE,£9.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/06/2023,AMZNMKTPLACE,£43.86,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/06/2023,AMZNMKTPLACE AMAZON.CO,£43.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/06/2023,AMZNMKTPLACE AMAZON.CO,£36.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/06/2023,AMZNMKTPLACE AMAZON.CO,£31.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,07/06/2023,AMZNMKTPLACE,£18.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,07/06/2023,ASDA SUPERSTORE,£16.20,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,AMZNMKTPLACE AMAZON.CO,£78.59,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,08/06/2023,AMZN DIGITAL,£32.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/06/2023,TESCO STORE,£6.85,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,B&M 465 - HS DERBY,£28.90,SUNDRY GENERAL MERCHANDISE
People Services,13/06/2023,ASDA SUPERSTORE,£34.00,"GROCERY STORES, SUPERMARKETS"
People Services,13/06/2023,GAYTON POOL LTD,£110.00,SWIMMING POOLS - SALES AND SUPPLIES
People Services,13/06/2023,SINFIN ARLESTON LANE D,£10.10,FAST FOOD RESTAURANTS
People Services,13/06/2023,SINFIN ARLESTON LANE D,£19.15,FAST FOOD RESTAURANTS
People Services,14/06/2023,TABLE TABLE 40521845,£39.75,"EATING PLACES, RESTAURANTS"
People Services,19/06/2023,TESCO STORE,£5.35,"GROCERY STORES, SUPERMARKETS"
People Services,19/06/2023,WWW.ARGOS.CO.UK,£145.00,DEPARTMENT STORES
People Services,20/06/2023,NSPCC,£35.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
People Services,20/06/2023,AMZNMKTPLACE AMAZON.CO,£6.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,23/06/2023,KFC - DERBY XTRA,£16.78,FAST FOOD RESTAURANTS
People Services,23/06/2023,REBOUND ASHBY,£7.50,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,23/06/2023,KASHING EZYLOCKERS,£1.50,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
People Services,23/06/2023,REBOUND ASHBY,£48.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,26/06/2023,MITRE PUB STARBUCKS,£14.55,"EATING PLACES, RESTAURANTS"
People Services,27/06/2023,ASDA SUPERSTORE,£166.51,"GROCERY STORES, SUPERMARKETS"
People Services,28/06/2023,SAINSBURYS S/MKTS,£15.00,"GROCERY STORES, SUPERMARKETS"
People Services,28/06/2023,MCDONALDS 308,£15.98,"EATING PLACES, RESTAURANTS"
People Services,28/06/2023,AMZNMKTPLACE,£24.29,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/06/2023,AMZNMKTPLACE,£189.59,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/06/2023,SINFIN ARLESTON LANE D,£10.30,FAST FOOD RESTAURANTS
People Services,29/06/2023,AMZNMKTPLACE,£15.29,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,29/06/2023,AMZNMKTPLACE,£5.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,29/06/2023,SHOWCASE DERBY,£22.85,MOTION PICTURE THEATRES
People Services,29/06/2023,SHOWCASE DERBY,£19.40,MOTION PICTURE THEATRES
People Services,29/06/2023,THE ENTERTAINER 46,£24.19,"GAME, TOY, AND HOBBY SHOPS"
People Services,30/06/2023,ZORO UK,£26.36,HARDWARE EQUIPMENT AND SUPPLIES
People Services,03/07/2023,DOMINO S PIZZA,£9.99,"EATING PLACES, RESTAURANTS"
People Services,03/07/2023,EB  NOTTINGHAM BRICK F,£26.00,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,03/07/2023,ALDI,£85.15,"GROCERY STORES, SUPERMARKETS"
People Services,03/07/2023,ICELAND,£17.70,"GROCERY STORES, SUPERMARKETS"
People Services,03/07/2023,ZORO UK,£26.36,HARDWARE EQUIPMENT AND SUPPLIES
Communities and Place,24/05/2023,THE ASHBOURNE SHOW,£76.50,"ORGANISATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED"
Communities and Place,08/06/2023,FUNKYLEISUR,£239.27,SPORTING GOODS STORES
Communities and Place,14/04/2023,SCREWFIX DIR LTD,37.58,"BUILDING MATERIALS, LUMBER STORES"
Communities and Place,17/04/2023,BOOKER LTD - 38584864,413.20,"GROCERY STORES, SUPERMARKETS"
Communities and Place,17/04/2023,BOOKER LTD - 38584864,125.92,"GROCERY STORES, SUPERMARKETS"
Communities and Place,19/04/2023,BOOKER LTD - 38584864,84.99,"GROCERY STORES, SUPERMARKETS"
Communities and Place,19/04/2023,BOOKER LTD - 38584864,127.74,"GROCERY STORES, SUPERMARKETS"
Communities and Place,21/04/2023,FARMFOODS 539,5.65,"GROCERY STORES, SUPERMARKETS"
Communities and Place,24/04/2023,BOOKER LTD - 38584864,303.23,"GROCERY STORES, SUPERMARKETS"
Communities and Place,25/04/2023,MARKS&SPENCER PLC,9.30,"GROCERY STORES, SUPERMARKETS"
Communities and Place,26/04/2023,BOOKER LTD - 38584864,48.59,"GROCERY STORES, SUPERMARKETS"
Communities and Place,27/04/2023,BOOKER LTD - 38584864,362.92,"GROCERY STORES, SUPERMARKETS"
Communities and Place,28/04/2023,BOOKER LTD - 38584864,25.99,"GROCERY STORES, SUPERMARKETS"
Communities and Place,28/04/2023,BOOKER LTD - 38584864,229.44,"GROCERY STORES, SUPERMARKETS"
Communities and Place,03/05/2023,TESCO STORES 2404,£23.22,"GROCERY STORES, SUPERMARKETS"
Communities and Place,03/05/2023,MARKEATON PARK,£0.01,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF"
Communities and Place,03/05/2023,MARKEATON PARK,-£0.01,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF"
Communities and Place,05/05/2023,BOOKER LIMITED ECOM,£132.65,"GROCERY STORES, SUPERMARKETS"
Communities and Place,05/05/2023,BOOKER LTD - 38584864,£260.17,"GROCERY STORES, SUPERMARKETS"
Communities and Place,05/05/2023,BOOKER LTD - 38584864,£174.13,"GROCERY STORES, SUPERMARKETS"
Communities and Place,09/05/2023,BOOKER LIMITED ECOM,£165.47,"GROCERY STORES, SUPERMARKETS"
Communities and Place,09/05/2023,BOOKER LIMITED ECOM,£491.15,"GROCERY STORES, SUPERMARKETS"
Communities and Place,09/05/2023,BOOKER LTD - 38584864,£133.68,"GROCERY STORES, SUPERMARKETS"
Communities and Place,09/05/2023,BOOKER LTD - 38584864,£26.86,"GROCERY STORES, SUPERMARKETS"
Communities and Place,12/05/2023,BOOKER LTD - 38584864,£474.42,"GROCERY STORES, SUPERMARKETS"
Communities and Place,19/05/2023,MARKS&SPENCER PLC,£6.20,"GROCERY STORES, SUPERMARKETS"
Communities and Place,22/05/2023,SAINSBURYS S/MKTS,£9.30,"GROCERY STORES, SUPERMARKETS"
Communities and Place,22/05/2023,CENTRAL ENG COOP,£3.90,"GROCERY STORES, SUPERMARKETS"
Communities and Place,22/05/2023,TESCO STORES 2404,£8.00,"GROCERY STORES, SUPERMARKETS"
Communities and Place,22/05/2023,FARMFOODS 539,£10.00,"GROCERY STORES, SUPERMARKETS"
Communities and Place,22/05/2023,ASDA SUPERSTORE,£11.95,"GROCERY STORES, SUPERMARKETS"
Communities and Place,22/05/2023,ASDA SUPERSTORE,£40.00,"GROCERY STORES, SUPERMARKETS"
Communities and Place,08/06/2023,AMZNMKTPLACE AMAZON.CO,£56.97,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,19/06/2023,R. E. FARM LTD,£121.88,PET SHOPS - PET FOODS AND SUPPLIES
Communities and Place,20/06/2023,SCREWFIX DIR LTD,£2.21,"BUILDING MATERIALS, LUMBER STORES"
Communities and Place,21/06/2023,TUTORCARE,£144.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
Communities and Place,22/06/2023,MARKS&SPENCER PLC,£4.84,"GROCERY STORES, SUPERMARKETS"
Communities and Place,23/06/2023,FARMFOODS 539,£4.60,"GROCERY STORES, SUPERMARKETS"
Communities and Place,28/06/2023,NOTTS & DERBY CASH REG,£114.00,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES"
Communities and Place,29/06/2023,SCREWFIX DIR LTD,£39.48,"BUILDING MATERIALS, LUMBER STORES"
Communities and Place,03/07/2023,PRIDE PARK SERVICES,£16.25,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE
People Services,06/04/2023,AMZNMKTPLACE AMAZON.CO,29.69,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,17/04/2023,HMCOURTS-SVS.GOV.U,-100.00,FINES
People Services,21/04/2023,AMZNMKTPLACE,36.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,21/04/2023,AMZNMKTPLACE,45.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,21/04/2023,TESCO STORE,10.00,"GROCERY STORES, SUPERMARKETS"
People Services,21/04/2023,ASDA SUPERSTORE,10.83,"GROCERY STORES, SUPERMARKETS"
People Services,24/04/2023,AMZNMKTPLACE,119.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/04/2023,AMAZON.CO.UK 224JX9V15,110.01,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,25/04/2023,SILLY SIDS,370.00,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
People Services,25/04/2023,AMZNMKTPLACE AMAZON.CO,120.49,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/04/2023,AMZNMKTPLACE AMAZON.CO,59.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE AMAZON.CO,149.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,B&M 574 - SPONDON,200.54,MISCELLANEOUS GENERAL MERCHANDISE
People Services,02/05/2023,GO OUTDOORS RETAIL LIM,170.00,"SPORTS APPAREL, RIDING APPAREL STORES"
People Services,05/05/2023,ALTON TOWERS,£132.00,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
People Services,05/05/2023,ALTON TOWERS,£44.00,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
People Services,10/05/2023,PETS AT HOME,£23.44,PET SHOPS - PET FOODS AND SUPPLIES
People Services,10/05/2023,TESCO STORE,£25.00,"GROCERY STORES, SUPERMARKETS"
People Services,10/05/2023,ACE DISCOUNTS,£15.30,DISCOUNT STORES
People Services,10/05/2023,HOME BARGAINS,£21.53,HARDWARE STORES
People Services,11/05/2023,AMZNMKTPLACE,£14.84,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZNMKTPLACE AMAZON.CO,£12.32,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZNMKTPLACE,£11.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZNMKTPLACE,£49.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZNMKTPLACE,£63.28,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZNMKTPLACE AMAZON.CO,£75.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZNMKTPLACE AMAZON.CO,£134.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/05/2023,ASDA GROCERIES ONLINE,-£0.05,"GROCERY STORES, SUPERMARKETS"
People Services,12/05/2023,ASDA GROCERIES ONLINE,£135.97,"GROCERY STORES, SUPERMARKETS"
People Services,12/05/2023,AMZNMKTPLACE,£54.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,16/05/2023,WWW.ARGOS.CO.UK,£58.95,DEPARTMENT STORES
People Services,23/05/2023,ASDA SUPERSTORE,£21.00,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,ASDA GROCERIES ONLINE,£166.69,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,ASDA GROCERIES ONLINE,-£2.35,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,WWW.ARGOS.CO.UK,£36.98,DEPARTMENT STORES
People Services,23/05/2023,WWW.ARGOS.CO.UK,£37.98,DEPARTMENT STORES
People Services,24/05/2023,AMZNMKTPLACE,£65.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/05/2023,WWW.ARGOS.CO.UK,£259.99,DEPARTMENT STORES
People Services,24/05/2023,AMZNMKTPLACE,£88.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,AMZNMKTPLACE,£8.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,AMZNMKTPLACE,£73.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,WWW.ARGOS.CO.UK,£40.99,DEPARTMENT STORES
People Services,31/05/2023,ASDA SUPERSTORE,£93.00,"GROCERY STORES, SUPERMARKETS"
People Services,31/05/2023,ASDA SUPERSTORE,£59.70,"GROCERY STORES, SUPERMARKETS"
People Services,31/05/2023,SPENCERS,£165.00,PET SHOPS - PET FOODS AND SUPPLIES
People Services,13/06/2023,AMZNMKTPLACE,£16.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,SUBWAY 64582 DERBY,£11.31,FAST FOOD RESTAURANTS
People Services,14/06/2023,SHEIN.CO.UK,£102.41,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,WWW.ARGOS.CO.UK,£179.99,DEPARTMENT STORES
People Services,15/06/2023,AMZNMKTPLACE,£165.84,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,15/06/2023,AMZNMKTPLACE,£119.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,15/06/2023,PRIMARK 546,£130.30,FAMILY CLOTHING STORES
People Services,19/06/2023,AMZNMKTPLACE,£19.30,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,AMZNMKTPLACE,£0.01,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,TVLICENSING.CO.UK,£159.00,"CONSULTING, MANAGEMENT AND PUBLIC RELATIONS SVCS"
People Services,20/06/2023,AMZNMKTPLACE,£23.40,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,20/06/2023,AMZNMKTPLACE,£38.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,21/06/2023,AMZNMKTPLACE AMAZON.CO,£31.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,21/06/2023,AMZNMKTPLACE AMAZON.CO,£137.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,04/04/2023,WWW.ARGOS.CO.UK,4.95,DEPARTMENT STORES
People Services,11/04/2023,NETFLIX.COM,15.99,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS"
People Services,02/05/2023,CENTRAL ENG COOP,16.24,"GROCERY STORES, SUPERMARKETS"
People Services,02/05/2023,SHOWCASE DERBY,43.70,MOTION PICTURE THEATERS
People Services,03/05/2023,DERBY CITY COUNCIL,£8.20,FAST FOOD RESTAURANTS
People Services,03/05/2023,ASDA SUPERSTORE,£56.75,"GROCERY STORES, SUPERMARKETS"
People Services,03/05/2023,MCDONALDS,£25.96,FAST FOOD RESTAURANTS
People Services,11/05/2023,NETFLIX.COM,£15.99,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS"
Corporate Resources,11/04/2023,,.29,
Corporate Resources,11/04/2023,,.42,
Corporate Resources,11/04/2023,CANVA  I03752-0871812,10.49,PHOTOGRAPHIC STUDIOS
Corporate Resources,11/04/2023,FACEBK RWH2NPFXY2,700.00,ADVERTISING SERVICES
Corporate Resources,11/04/2023,FACEBK  N8AYHN3LY2,700.00,ADVERTISING SERVICES
Corporate Resources,11/04/2023,WWW.SOLOPRESS.COM,71.42,MISCELLANEOUS PUBLISHING AND PRINTING
Corporate Resources,11/04/2023,WWW.SOLOPRESS.COM,127.66,MISCELLANEOUS PUBLISHING AND PRINTING
Corporate Resources,11/04/2023,JUICER.IO / SAAS.GROUP,15.31,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS"
Corporate Resources,13/04/2023,ADOBE STOCK,23.99,COMPUTER SOFTWARE STORES
Corporate Resources,17/04/2023,MONSTER MESH LTD,263.28,"DURABLE GOODS, NOT ELSEWHERE CLASSIFIED"
Corporate Resources,24/04/2023,FACEBK 55GGKPBXY2,700.00,ADVERTISING SERVICES
Corporate Resources,24/04/2023,MAILCHIMP,195.07,DIGITAL GOODS MULTI CATEGORY
Corporate Resources,28/04/2023,GOOGLE ADS2674218194,101.89,ADVERTISING SERVICES
Corporate Resources,28/04/2023,ASANA.COM,347.70,COMPUTER SOFTWARE STORES
Corporate Resources,28/04/2023,GOOGLE  ADS2674218194,101.89,ADVERTISING SERVICES
Corporate Resources,02/05/2023,FACEBK H9CR8QFXY2,439.47,ADVERTISING SERVICES
Corporate Resources,02/05/2023,FACEBK  BND6TPBLY2,8.14,ADVERTISING SERVICES
Corporate Resources,02/05/2023,GOOGLE  ADS6274808407,155.81,ADVERTISING SERVICES
Corporate Resources,02/05/2023,FACEBK  L44LXN7LY2,700.00,ADVERTISING SERVICES
Corporate Resources,05/05/2023,AMZNMKTPLACE,£94.80,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,05/05/2023,AMZNMKTPLACE,£46.15,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,05/05/2023,AMZNMKTPLACE,£23.59,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,11/05/2023,,£0.28,
Corporate Resources,11/05/2023,CANVA  I03782-0964261,£10.28,PHOTOGRAPHIC STUDIOS
Corporate Resources,15/05/2023,ADOBE STOCK,£23.99,COMPUTER SOFTWARE STORES
Corporate Resources,15/05/2023,WWW.SOLOPRESS.COM,£71.42,SUNDRY PUBLISHING AND PRINTING
Corporate Resources,16/05/2023,MONSTER MESH LTD,£672.53,"DURABLE GOODS, NOT ELSEWHERE CLASSIFIED"
Corporate Resources,22/05/2023,GOOGLE ADS6274808407,£500.00,ADVERTISING SERVICES
Corporate Resources,24/05/2023,MAILCHIMP,£194.33,DIGITAL GOODS MULTI-CATEGORY
Corporate Resources,26/05/2023,FACEBK G3ZY3R3XY2,£700.00,ADVERTISING SERVICES
Corporate Resources,30/05/2023,ASANA.COM,£347.70,COMPUTER SOFTWARE STORES
Corporate Resources,01/06/2023,FACEBK BS6VJQKXY2,£92.48,ADVERTISING SERVICES
Corporate Resources,01/06/2023,FACEBK  ZPZF7RFLY2,£692.21,ADVERTISING SERVICES
Corporate Resources,02/06/2023,GOOGLE ADS2120720102,£274.61,ADVERTISING SERVICES
Corporate Resources,02/06/2023,GOOGLE ADS6274808407,£388.54,ADVERTISING SERVICES
Corporate Resources,12/06/2023,,£0.28,
Corporate Resources,12/06/2023,CANVA  I03813-0654091,£10.33,PHOTOGRAPHIC STUDIOS
Corporate Resources,12/06/2023,BEST BADGES LIMITED,£135.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,13/06/2023,ADOBE STOCK,£23.99,COMPUTER SOFTWARE STORES
Corporate Resources,13/06/2023,WWW.SOLOPRESS.COM,£394.92,SUNDRY PUBLISHING AND PRINTING
Corporate Resources,16/06/2023,FACEBK 6E2Z3QTXY2,£700.00,ADVERTISING SERVICES
Corporate Resources,21/06/2023,ENTS24 LTD,£240.00,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
Corporate Resources,22/06/2023,AMZNMKTPLACE,£41.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,26/06/2023,MAILCHIMP,£189.58,DIGITAL GOODS MULTI-CATEGORY
Corporate Resources,28/06/2023,ASANA.COM,£347.70,COMPUTER SOFTWARE STORES
Corporate Resources,03/07/2023,GOOGLE ADS6274808407,£471.28,ADVERTISING SERVICES
Corporate Resources,03/07/2023,GOOGLE ADS2120720102,£260.59,ADVERTISING SERVICES
Corporate Resources,03/07/2023,FACEBK S6L7HRKXY2,£682.79,ADVERTISING SERVICES
Corporate Resources,03/07/2023,FACEBK  RPKLHSPKY2,£146.69,ADVERTISING SERVICES
Communities and Place,24/04/2023,WWW.SHOWCOMMS.CO.UK,145.62,HOUSEHOLD APPLIANCE STORES
Communities and Place,24/04/2023,WWW.THOMANN.DE,795.80,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC"
Communities and Place,25/04/2023,SPORTS GROUNDS SAFETY,95.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
Communities and Place,05/05/2023,WWW.OFCOM.ORG.UK,£150.00,"ORGANISATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED"
Communities and Place,05/05/2023,GOBOPLUS LIMITED,£144.54,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY"
Communities and Place,05/05/2023,AMZNMKTPLACE,£189.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,05/05/2023,GOBOPLUS LIMITED,£171.96,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY"
Communities and Place,09/05/2023,HTTP://PMSE.OFCOM.ORG.,£168.00,"ORGANISATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED"
Communities and Place,11/05/2023,THEATRICAL TRADING LTD,£40.00,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED)
Communities and Place,11/05/2023,CITIPARK MERRION,£7.50,AUTOMOBILE PARKING LOTS AND GARAGES
Communities and Place,16/05/2023,AMZNMKTPLACE,£28.94,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,16/05/2023,AMZNMKTPLACE,£28.94,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,16/05/2023,AMZNMKTPLACE,£39.30,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,17/05/2023,AMZNMKTPLACE,£212.45,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,26/05/2023,AMZNMKTPLACE,£79.41,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,31/05/2023,AMZNMKTPLACE,£26.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,07/06/2023,UBIQUITI UK,£964.80,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES
Communities and Place,07/06/2023,WWW.LADDERSTORE.COM,£33.40,HARDWARE EQUIPMENT AND SUPPLIES
Communities and Place,07/06/2023,FUNKYLEISUR,£427.28,SPORTING GOODS STORES
Communities and Place,08/06/2023,UBIQUITI UK,£949.20,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES
Communities and Place,08/06/2023,WWW.4GON.CO.UK,£882.18,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
Communities and Place,08/06/2023,SENETIC,£485.66,COMPUTER SOFTWARE STORES
Communities and Place,09/06/2023,STAPLEFORD HYDRAULIC C,£246.16,SUNDRY REPAIR SHOPS AND RELATED SERVICES
Communities and Place,13/06/2023,BSI STANDARDS LTD,£138.00,SUNDRY PUBLISHING AND PRINTING
Communities and Place,14/06/2023,AMAZON.CO.UK IW6RF3VV5,£39.64,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
