Proclass,Proclass(T),Supplier,Supplier (T),Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,371.40"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,456.71"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,495.43"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,492.27"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,347.19"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,353.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,353.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,347.19"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,456.71"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,729.24
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,444.52"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,877.50"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"2,385.40"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,091.59"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,954.16
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,471.80"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,471.80"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,471.80"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,877.50"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,877.50"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"1,877.50"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11848,Commercial Property Management (Staff costs),R1100,Agency Staff,20143074,202311,29/02/2024,"2,385.40"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,11859,Building Control,R1100,Agency Staff,20143074,202311,29/02/2024,"2,037.57"
