Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
320000,Social Community Care Supplies & Services,406464,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126788,202310,07/01/2024,1809,
320000,Social Community Care Supplies & Services,406464,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126788,202310,07/01/2024,1809,
320000,Social Community Care Supplies & Services,406464,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126788,202310,07/01/2024,1809,
320000,Social Community Care Supplies & Services,427315,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126511,202310,07/01/2024,720.6,
320000,Social Community Care Supplies & Services,427315,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126511,202310,07/01/2024,720.6,
320000,Social Community Care Supplies & Services,427315,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126511,202310,07/01/2024,720.6,
320000,Social Community Care Supplies & Services,427315,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126511,202310,07/01/2024,720.6,
320000,Social Community Care Supplies & Services,415262,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126790,202310,07/01/2024,878.49,
320000,Social Community Care Supplies & Services,415262,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126790,202310,07/01/2024,878.49,
320000,Social Community Care Supplies & Services,415262,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126790,202310,07/01/2024,878.49,
320000,Social Community Care Supplies & Services,415262,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126790,202310,07/01/2024,878.49,
320000,Social Community Care Supplies & Services,406614,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126800,202310,07/01/2024,746.5,
320000,Social Community Care Supplies & Services,406614,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126800,202310,07/01/2024,746.5,
320000,Social Community Care Supplies & Services,406614,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126800,202310,07/01/2024,746.5,
320000,Social Community Care Supplies & Services,406614,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126800,202310,07/01/2024,746.5,
320000,Social Community Care Supplies & Services,416870,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126684,202310,07/01/2024,522.55,
320000,Social Community Care Supplies & Services,416870,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126684,202310,07/01/2024,522.55,
320000,Social Community Care Supplies & Services,416870,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126684,202310,07/01/2024,522.55,
320000,Social Community Care Supplies & Services,416870,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126684,202310,07/01/2024,522.55,
320000,Social Community Care Supplies & Services,422336,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126746,202310,07/01/2024,2903.06,
320000,Social Community Care Supplies & Services,422336,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126746,202310,07/01/2024,2903.06,
320000,Social Community Care Supplies & Services,422336,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126746,202310,07/01/2024,2903.06,
320000,Social Community Care Supplies & Services,422336,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126746,202310,07/01/2024,2903.06,
320000,Social Community Care Supplies & Services,422336,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126746,202310,07/01/2024,-2077.35,
