Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  8,,,,,,,,,
Start Date: 15 October 2023,,,,,,,,,
End Date: 11 November 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110352431,30/10/2023,"£350,756.80",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110346340,08/11/2023,"£350,352.76",,,,
PUBLIC CARRIAGE OFFICE,NSL Limited,PCO Outsourced Services,1003/5110345023,01/11/2023,"£349,538.17",,,,
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110345245,08/11/2023,"£348,561.15",,,,
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110337012,18/10/2023,"£348,253.41",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Equipment Repairs & Maintenance,1005/5110347185,25/10/2023,"£347,176.54",,,,
SURFACE TRANSPORT CORP,Costain Limited,Infrastructure Maintenance and Repair,1002/5110353427,03/11/2023,"£345,346.06",,,,
TFL CORPORATE,TURNER & TOWNSEND PROJECT MANAGEMEN,Professional Engineering Services,1001/5110324293,03/11/2023,"£343,316.45",,,,
LUL NOMINEE SSL LIMITED,CIRCET (UK) LIMITED,Civil Engineering Construction Works,1031/5110348568,02/11/2023,"£343,098.63",,,,
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110346042,26/10/2023,"£336,188.44",,,,
RAIL FOR LONDON LIMITED,NETWORK RAIL INFRASTRUCTURE,Terminal 5 PFI Service Costs,1020/5110333933,18/10/2023,"£335,793.00",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900271477,09/11/2023,"£333,230.22",,,,
TTL PROPERTIES LTD,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1040/5110341250,16/10/2023,"£331,007.34",,,,
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110356945,07/11/2023,"£328,606.93",,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110352064,27/10/2023,"£324,885.00",,,,
TFL CORPORATE,Lemongrass Consulting Limited,Computer Software,1001/5110350750,30/10/2023,"£321,775.83",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Computer Hardware,1005/5110333248,16/10/2023,"£321,151.00",,,,
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Exchange Loss Realised,1033/101711406,10/11/2023,"£319,070.20",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Contracted Services - Roads,1002/5110353397,31/10/2023,"£317,003.59",,,,
LONDON UNDERGROUND LTD,Lendlease Jacobs Joint Venture,Civil Engineering Construction Works,1005/5110346186,06/11/2023,"£316,585.69",,,,
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110346312,18/10/2023,"£313,254.82",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Computer Hardware,1005/5110333058,16/10/2023,"£310,610.00",,,,
LONDON BUS SERVICES LTD,GBM Services Limited,Office Cleaning,1006/5110339905,16/10/2023,"£309,659.81",,,,
TRANSPORT TRADING LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1004/5110354092,03/11/2023,"£308,206.73",,,,
