Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  09,,,,,,,,,
Start Date:  12 November 2023,,,,,,,,,
End Date: 09 December 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
SURFACE TRANSPORT CORP,MITIE FM LIMITED,Security Services (Guards),1002/5110370551,06 December 2023,"413,779.49",,,,
TFL CORPORATE,BOXXE LIMITED,Computer Software,1001/5110367502,30 November 2023,"412,311.88",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110366125,01 December 2023,"411,887.34",,,,
TRANSPORT TRADING LTD,GBM Services Limited,Office Cleaning,1004/5110354800,13 November 2023,"398,832.84",,,,
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110366424,27 November 2023,"397,095.49",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Equipment Repairs & Maintenance,1005/5110347178,29 November 2023,"396,560.88",,,,
PUBLIC CARRIAGE OFFICE,NSL Limited,PCO Outsourced Services,1003/5110362226,06 December 2023,"394,978.87",,,,
SURFACE TRANSPORT CORP,GTT-EMEA LIMITED,CCS Service Contract,1002/5110347164,23 November 2023,"387,742.67",,,,
LONDON UNDERGROUND LTD,Brush Traction DIV OF WABTEC UK LTD,Maintenance Materials,1005/5110352516,24 November 2023,"385,801.84",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Signalling Systems,1005/5110368064,08 December 2023,"383,734.55",,,,
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001/5110347896,15 November 2023,"382,383.89",,,,
TFL CORPORATE,Frankland (UK) Ltd,Vehicle Repairs & Maintenance,1001/5110370264,06 December 2023,"377,318.36",,,,
LONDON UNDERGROUND LTD,Taziker Industrial Ltd,Civil Engineering Construction Works,1005/5110373740,08 December 2023,"376,996.88",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Connect PFI Service Costs,1002/5110354779,28 November 2023,"375,271.28",,,,
TTL PROPERTIES LTD,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1040/5110358237,22 November 2023,"373,968.21",,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901699302,29 November 2023,"372,400.00",,,,
LONDON UNDERGROUND LTD,Delatim Limited,Civil Engineering Construction Works,1005/5110356049,16 November 2023,"371,657.95",,,,
SURFACE TRANSPORT CORP,P Ducker Systems Ltd,Computer Software,1002/5110367876,01 December 2023,"368,333.73",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110356824,22 November 2023,"368,328.90",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110351304,21 November 2023,"363,694.69",,,,
LUL NOMINEE SSL LIMITED,Thomson Industries Inc,Fleet,1031/5110329544,20 November 2023,"362,982.26",,,,
LONDON UNDERGROUND LTD,TRACKWORK RESOURCES LTD,Track General Maintenance,1005/5110368158,28 November 2023,"362,198.13",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1002/5110350071,15 November 2023,"362,031.92",,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005/5110364858,22 November 2023,"351,816.38",,,,
TFL CORPORATE,COLLINS RIVER ENTERPRISES LTD,Claim Settlements,1001/1900201438,01 December 2023,"338,366.24",,,,
