,Payments for Publishing for Invoices paid between 01-AUG-2023 and 31-AUG-2023,,,,,,
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"4,676.37",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"3,020.19",Adults Care and Health and Strategic Commissioning,S6132,Social Care Activities,
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"3,512.48",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"3,669.28",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"7,011.35",Adults Care and Health and Strategic Commissioning,S6161,Mental Health Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"2,744.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,940.80,Adults Care and Health and Strategic Commissioning,S6166,Learning & Disability Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"1,617.55",Adults Care and Health and Strategic Commissioning,S6166,Memory & Cognition Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"2,744.00",Adults Care and Health and Strategic Commissioning,S6166,Memory & Cognition Support - Older People (65+),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,287.49,Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
SUPPORTING FUTURES LTD,135285,22-AUG-2023,"20,372.99","Children, Families & Education",E7080,Care Provision,
SURE BUSINESS LIMITED,135455,23-AUG-2023,743.99,Neighbourhood Services,H4000,"Equipment, Furniture & Materials",
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"1,638.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"1,402.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,200.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,819.00,Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,701.00,Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,200.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,200.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"1,492.86",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,184.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Social Care Activities,
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Social Care Activities,
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,910.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
SURE CARE UK LIMITED,136885,30-AUG-2023,"2,275.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SURE CARE UK LIMITED,130856,02-AUG-2023,"3,000.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
SURE CARE UK LIMITED,136885,30-AUG-2023,"3,000.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"17,808.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"17,808.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Adults (18-64),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Adults (18-64),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"3,498.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"1,201.71",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"1,061.43",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,130857,02-AUG-2023,"2,703.86",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SURECARE HEALTH LIMITED,136886,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
