Payments for Publishing for Invoices paid between 01-OCT-2023 and 31-OCT-2023,,,,,,,
Supplier Name,Transaction Number,Paid Date,Paid Amount,Department ,Cost Centre,Description,Irrecoverable VAT
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,600.00,Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,600.00,Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,600.00,Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Memory & Cognition Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Memory & Cognition Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6161,Social Care Activities,
