Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
AA,26/10/2023,19/10/2023,Purchase,363.07,Travelodge Gb0000
JR,26/10/2023,10/10/2023,Purchase,364.8,Health And Care
AA,26/10/2023,27/09/2023,Purchase,368,Binliners Co Uk
AA,26/10/2023,11/10/2023,Purchase,370.5,Bkg*hotel At Booking.C
DS,26/10/2023,09/10/2023,Purchase,373.17,Cps
JR,26/10/2023,17/10/2023,Purchase,375,International Hotel Telfo
JB,26/10/2023,10/10/2023,Purchase,391.2,Sign In Ap* Sign In Ap
JB,26/10/2023,28/09/2023,Purchase,394.97,Premier Inn
AA,26/10/2023,29/09/2023,Purchase,396.74,Travelodge Gb0000
AA,26/10/2023,29/09/2023,Purchase,396.74,Travelodge Gb0000
AA,26/10/2023,29/09/2023,Purchase,396.74,Travelodge Gb0000
JR,26/10/2023,29/09/2023,Purchase,397.76,Travelodge Gb0000
AA,26/10/2023,25/10/2023,Purchase,399,Uavhub
JB,26/10/2023,27/09/2023,Purchase,400,Facebk *b5ehwux3q2
JB,26/10/2023,03/10/2023,Purchase,400,Edpsy.Org.Uk
JB,26/10/2023,03/10/2023,Purchase,400,Edpsy.Org.Uk
AA,26/10/2023,27/09/2023,Purchase,405.94,Travelodge Gb0000
JB,26/10/2023,29/09/2023,Purchase,420.78,Ast Floorcoverings Limit
AA,26/10/2023,17/10/2023,Purchase,424.95,Amznmktplace
AA,26/10/2023,19/10/2023,Purchase,425.95,Tahdah Verified
JR,26/10/2023,12/10/2023,Purchase,437.8,Booker Ltd - 38598984
AA,26/10/2023,28/09/2023,Purchase,461.48,Tesco Stores 3290
AA,26/10/2023,18/10/2023,Purchase,473.85,Amznmktplace
AA,26/10/2023,02/10/2023,Purchase,483.43,Travelodge Gb0000
JR,26/10/2023,13/10/2023,Purchase,486.17,Buckatree Hall Hotel
AA,26/10/2023,02/10/2023,Purchase,489.55,Travelodge Gb0000
AA,26/10/2023,30/09/2023,Purchase,491.36,Facebk Rs7rutxne2
JR,26/10/2023,29/09/2023,Purchase,496,Booker Ltd - 38598984
JR,26/10/2023,24/10/2023,Purchase,505.84,Travelodge Gb0000
AA,26/10/2023,06/10/2023,Purchase,512.82,Welcome Break Days Inn Te
AA,26/10/2023,16/10/2023,Purchase,539,Rics Subs UK Cybs
AA,26/10/2023,16/10/2023,Purchase,539,Rics Subs UK Cybs
DS,26/10/2023,26/09/2023,Purchase,555.17,Complete Care Shop
JR,26/10/2023,13/10/2023,Purchase,563.98,Travelodge Gb0000
JB,26/10/2023,18/10/2023,Purchase,566.95,Www.Argos.Co.Uk
JB,26/10/2023,27/09/2023,Purchase,578.25,Travelodge Gb0000
JR,26/10/2023,24/10/2023,Credit Voucher,579.96,Amznmktplace
JB,26/10/2023,12/10/2023,Credit Voucher,592.46,Amznmktplace
DS,26/10/2023,20/10/2023,Purchase,594,Www.Local.Gov.Uk
DS,26/10/2023,25/10/2023,Purchase,639,Www.Argos.Co.Uk
AA,26/10/2023,26/09/2023,Purchase,663,Sitelink Comms
JB,26/10/2023,04/10/2023,Purchase,671.4,Www.Annarbor.Co.Uk
AA,26/10/2023,10/10/2023,Purchase,720,Paypal *lgcomms2018
JR,26/10/2023,26/09/2023,Purchase,726.25,Oak Furniture Clearance
JB,26/10/2023,19/10/2023,Purchase,862.21,Www.Sandwell.Gov.Uk
JR,26/10/2023,17/10/2023,Purchase,897.6,Thriiver Limited
DS,26/10/2023,12/10/2023,Purchase,936.56,Www.Flagpoleexpress.Co
JB,26/10/2023,04/10/2023,Purchase,1012,2vaa040721439 Td E-Pmt
JB,26/10/2023,13/10/2023,Purchase,1080,Www.Paddimac.Co.Uk
JR,26/10/2023,16/10/2023,Purchase,1175.75,Back Care Solutions
JR,26/10/2023,03/10/2023,Purchase,1185.09,Travelodge Gb0000
AA,26/10/2023,20/10/2023,Purchase,1349.04,Www.Wildcare.Co.Uk
JB,26/10/2023,29/09/2023,Purchase,1400,Planet Doors
JB,26/10/2023,17/10/2023,Purchase,1400,Planet Doors
DS,26/10/2023,10/10/2023,Purchase,1466.22,Aghoco 1607 Ltd
DS,26/10/2023,10/10/2023,Purchase,1488.4,Complete Care Shop
JB,26/10/2023,02/10/2023,Purchase,1495.2,Www.Annarbor.Co.Uk
JR,26/10/2023,07/10/2023,Purchase,1548,Apple.Com/Uk
DS,26/10/2023,27/09/2023,NDR and Ctax court payment,1662.5,Hmcts Staffordshire038
JR,26/10/2023,19/10/2023,Purchase,1914,Www.Sell2.In-Tend.Co.Uk
JR,26/10/2023,06/10/2023,Purchase,2085.46,Lyreco UK Ltd
JB,26/10/2023,06/10/2023,Purchase,2100,Www.1508stays.Co.Uk
AA,26/10/2023,24/10/2023,Purchase,3235,The Reinforced Bed Compan
JB,26/10/2023,12/10/2023,Purchase,4316.41,Airbnb * Hmh8893cxz
JR,26/10/2023,27/09/2023,Purchase,5500,Ofsted Internet
