Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Premier Inn44020535,11/05/2022,Payments to Private Contractors,1747.2
Premier Inn44521080,11/05/2022,Payments to Private Contractors,544.17
Premier Inn44521080,11/05/2022,Payments to Private Contractors,544.17
Premier Inn44537345,05/08/2022,Payments to Private Contractors,569.17
Travelodge Gb0000,11/05/2022,Payments to Private Contractors,625.92
Travelodge Gb0000,11/05/2022,Payments to Private Contractors,774.67
Travelodge Gb0000,11/05/2022,Payments to Private Contractors,959.91
Travelodge Gb0000,11/05/2022,Payments to Private Contractors,1061.89
Travelodge Gb0000,01/06/2022,Payments to Private Contractors,716.42
Travelodge Gb0000,01/06/2022,Payments to Private Contractors,791.22
Travelodge Gb0000,01/06/2022,Payments to Private Contractors,924.67
Travelodge Gb0000,01/06/2022,Payments to Private Contractors,517.12
Travelodge Gb0000,01/06/2022,Payments to Private Contractors,768.27
Travelodge Gb0000,01/06/2022,Payments to Private Contractors,841.82
