Payment date,Supplier Name,Purpose,Department,Amount
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",242.38
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",241.54
21/06/2023,CARE 4 U LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",234.84
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",232.68
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",228
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",224
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",223.68
21/06/2023,TOUCAN TOOL COMPANY LTD,Equip - Purchase,Housing Revenue Account,219
21/06/2023,STOCKWELLCARE SUPPORT SERVICES LIMI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",216.36
21/06/2023,UK EVIDENCE LTD,Specialist Support,Assistant Dir Corporate Governance,210
21/06/2023,ONE TIME,Fees - Consultant,"Dir of  Culture, Strategy & Engagement",200
21/06/2023,CAPAAN DAY SERVICE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",192.85
21/06/2023,CAPITA RESOURCING LTD,Services,"Dir of  Culture, Strategy & Engagement",190.57
21/06/2023,DIRECT SIGNS UK LIMITED,Printing - Internal,"Dir of  Culture, Strategy & Engagement",189.32
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",186.4
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",185.8
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",181.5
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,179.21
21/06/2023,COMPENSATE,Exp - Compensation,"Dir of  Culture, Strategy & Engagement",177
21/06/2023,METROPOLITAN CARE SERVICES LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",160
21/06/2023,CAPITA RESOURCING LTD,Services,"Dir of  Culture, Strategy & Engagement",158.27
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",153.92
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",144
21/06/2023,METROPOLITAN CARE SERVICES LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",128
21/06/2023,METROPOLITAN CARE SERVICES LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",128
21/06/2023,TOUCAN TOOL COMPANY LTD,Stock - Raw Material,Housing Revenue Account,115.5
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,109.24
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",107.5
21/06/2023,Personal Data Redacted,Consultancy,Dir of Finance,102
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,101.44
21/06/2023,PLACE OF PROGRESS LTD,Priv - Contractor,Dir of Children's Services,100
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,95.92
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,95.4
21/06/2023,TOUCAN TOOL COMPANY LTD,Stock - Raw Material,Housing Revenue Account,88.2
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",74.76
21/06/2023,TOUCAN TOOL COMPANY LTD,Equip - Tools,Housing Revenue Account,69
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",65.24
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",65.24
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,55.49
21/06/2023,TRAVIS PERKINS TRADING CO LTD,"Material - Purch,Rep",Housing Revenue Account,50
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,35.56
21/06/2023,TRAVIS PERKINS TRADING CO LTD,"Material - Purch,Rep",Housing Revenue Account,34.85
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,34.56
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,32.92
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,28.38
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",26.25
21/06/2023,TOUCAN TOOL COMPANY LTD,Stock - Raw Material,Housing Revenue Account,24
21/06/2023,TOUCAN TOOL COMPANY LTD,Equip - Purchase,Housing Revenue Account,24
21/06/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,20.74
