Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHBOURNE LODGE CARE HOME,7003702704,18.07.2023,REVENUE,"24,429.40"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHTON GRANGE CARE HOME,7003702699,18.07.2023,REVENUE,"27,737.52"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BERWICK CARE LTD - LA CURA HOUSE,7003702836,18.07.2023,REVENUE,787.16
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CEDAR HOUSE,7003702715,18.07.2023,REVENUE,"19,548.97"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE COURT CARE HOME,7003702700,18.07.2023,REVENUE,"20,557.60"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HC-ONE BEAMISH LTD,7003702809,18.07.2023,REVENUE,765.00
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HERRINGTON GRANGE LTD,7003702823,18.07.2023,REVENUE,"15,277.57"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HILL CARE SERVICES LIMITED,7003702865,18.07.2023,REVENUE,758.70
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MARQUIS COURT,7003702698,18.07.2023,REVENUE,"28,684.06"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PADDOCK STILE MANOR,7003702732,18.07.2023,REVENUE,"26,464.96"
