Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category, Invoice Value  £ ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOPE BANK VIEW CARE HOME,5122725265,19.04.2023,REVENUE," 6,244.45 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS PARK,7003675975,24.04.2023,REVENUE," 21,493.93 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS PARK,7003676123,24.04.2023,REVENUE," 23,613.16 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHBOURNE LODGE CARE HOME,7003675977,24.04.2023,REVENUE," 27,526.92 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHBOURNE LODGE CARE HOME,7003676103,24.04.2023,REVENUE," 24,110.49 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHTON GRANGE CARE HOME,7003675963,24.04.2023,REVENUE," 24,028.97 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHTON GRANGE CARE HOME,7003676101,24.04.2023,REVENUE," 24,134.93 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BERWICK CARE LTD - LA CURA HOUSE,7003676081,24.04.2023,REVENUE, 707.01 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BERWICK CARE LTD - LA CURA HOUSE,7003676264,24.04.2023,REVENUE, 707.01 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CARE UK SERVICES LIMITED,7003675931,24.04.2023,REVENUE," 2,742.24 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CARE UK SERVICES LIMITED,7003676163,24.04.2023,REVENUE," 2,742.24 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CEDAR HOUSE,7003675971,24.04.2023,REVENUE," 18,045.03 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CEDAR HOUSE,7003676115,24.04.2023,REVENUE," 18,249.97 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE COURT CARE HOME,7003676108,24.04.2023,REVENUE," 19,284.98 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE MANOR CARE HOME,7003675960,24.04.2023,REVENUE," 21,166.95 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE MANOR CARE HOME,7003676165,24.04.2023,REVENUE," 21,166.95 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HC-ONE BEAMISH LTD,7003676055,24.04.2023,REVENUE, 673.00 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HC-ONE BEAMISH LTD,7003676251,24.04.2023,REVENUE, 673.00 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HERRINGTON GRANGE LTD,7003676150,24.04.2023,REVENUE," 13,008.98 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HILL CARE SERVICES LIMITED,7003675929,24.04.2023,REVENUE, 602.87 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HILL CARE SERVICES LIMITED,7003676159,24.04.2023,REVENUE, 602.87 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOLY CROSS HOME - ST CUTHBERTS CARE,7003675937,24.04.2023,REVENUE," 19,078.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOLY CROSS HOME - ST CUTHBERTS CARE,7003676135,24.04.2023,REVENUE," 19,078.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MARQUIS COURT,7003676172,24.04.2023,REVENUE," 27,004.09 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PADDOCK STILE MANOR,7003676141,24.04.2023,REVENUE," 22,993.63 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SLW LIMITED - SYCAMORE LODGE,7003675967,24.04.2023,REVENUE," 60,515.17 ",,,,,,
