Posting date,Supplier number,Supplier name,Expense type,Department,Amount
13/09/2023,1254857,Hope Care Agency,,Bi-Borough Director of Integrated Care,71000.16
13/09/2023,1254857,Hope Care Agency,,Bi-Borough Director of Integrated Care,17212.16
27/09/2023,1254857,Hope Care Agency,,Bi-Borough Director of Integrated Care,6608.24
19/07/2023,1267460,Hunters Lodge Care Home,,Bi-Borough Director of Integrated Care,3930.64
16/08/2023,1267460,Hunters Lodge Care Home,,Bi-Borough Director of Integrated Care,3930.64
13/09/2023,1267460,Hunters Lodge Care Home,,Bi-Borough Director of Integrated Care,3930.64
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1598.25
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,511.44
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1576.94
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1022.88
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1544.99
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1438.44
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1044.19
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,852.4
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,511.44
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1193.36
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,511.44
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,554.08
17/07/2023,1247526,Integrity Care and Support Ltd,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,639.3
