Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations -May 2023",,,,,,
Effective Date,01/05/2023 - 31/05/2023,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
03.05.2023,535.2,GLOBAL MEDIA GROUP SERVICES LTD,Public Health & Communities,Publicity / Advertising (non staff),460013,N,N/A
03.05.2023,"1,566.00",REDACTED PERSONAL DATA,Growth & Sustainability,Materials - Materials For Resale,402003,N,N/A
03.05.2023,"6,589.20",C D POTTER & SONS LTD,Growth & Sustainability,Main contractor,506011,N,N/A
03.05.2023,942.74,C D POTTER & SONS LTD,Growth & Sustainability,Main contractor,506011,N,N/A
03.05.2023,"4,228.56",C D POTTER & SONS LTD,Growth & Sustainability,Main contractor,506011,N,N/A
03.05.2023,504,PETER DUFFY LTD,Growth & Sustainability,Main contractor,506011,N,N/A
03.05.2023,643.3,OCMIS LTD,Growth & Sustainability,Main contractor,506011,N,N/A
03.05.2023,"4,713.90",MACLEOD PIPEWORK ENGINEERING LTD,Growth & Sustainability,Main contractor,506011,N,N/A
03.05.2023,648,T K LYNSKEY EXCAVATIONS LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,"5,848.80",SMART DOOR SOLUTIONS LIMITED,Growth & Sustainability,Main contractor,506011,N,N/A
03.05.2023,523.27,ADT FIRE & SECURITY PLC,Core Services ,Security Hire,424009,N,N/A
03.05.2023,835.99,ADT FIRE & SECURITY PLC,Core Services ,Security Hire,424009,N,N/A
03.05.2023,"2,664.00",ITS FOR HIRE (YORKSHIRE) LIMITED,Growth & Sustainability,Plant hire,320002,N,N/A
03.05.2023,"2,664.00",ITS FOR HIRE (YORKSHIRE) LIMITED,Growth & Sustainability,Plant hire,320002,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,520,REDACTED PERSONAL DATA,Childrens Services,Special Guardianship,506041,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Special Guardianship,506041,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Special Guardianship,506041,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
