Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations - Jan 2024",,,,,,
Effective Date,01/01/2024 - 31/01/2024,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
02.01.2024,"1,049.05",JENNINGS ROOFING LTD,Childrens Services,Repair & Maintenance Of Buildings,200003,N,N/A
02.01.2024,"22,298.83",BCB TRADING LTD,Public Health & Communities,Maintenance Of Grounds - Controllable,250001,N,N/A
02.01.2024,"1,452.00",C D POTTER & SONS LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"1,416.00",HATHER PLANT HIRE LTD,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,132.80",HATHER PLANT HIRE LTD,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,699.20",HATHER PLANT HIRE LTD,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,416.00",HATHER PLANT HIRE LTD,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,416.00",HATHER PLANT HIRE LTD,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"9,360.00",JAKTO TRANSPORT LTD,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,718.75,CSK ELECTRICAL SERVICES,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"17,519.28",ROY WRIGHT & CO LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"1,379.52",BRADLEY REFRIDGERATION LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,527.5,REDACTED PERSONAL DATA,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,720,REDACTED PERSONAL DATA,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"5,000.26",T K LYNSKEY EXCAVATIONS LTD,Growth & Sustainability,Haulage Fee - Waste Contract,506044,N,N/A
02.01.2024,"3,960.00",PARAMOUNT PROPERTY DEVELOPMENTS LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,864,SMART DOOR SOLUTIONS LIMITED,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,566.4,SMART DOOR SOLUTIONS LIMITED,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"4,260.00",MHH CONTRACTING LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"4,102.40",MHH CONTRACTING LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"22,420.00",SHEFFIELD CITY COUNCIL,Place Health & Adult Social Care,Payments to Other Local Authorities,501001,N,N/A
02.01.2024,"174,825.75",SHEFFIELD CITY COUNCIL,Corporate Budgets,Coroner,504003,N,N/A
02.01.2024,910.82,YORKSHIRE WATER SERVICES,Growth & Sustainability,Sewerage,213002,N,N/A
02.01.2024,"1,376.34",ASK4 BUSINESS LIMITED,Core Services ,Repair & Maintenance Of Buildings,200003,N,N/A
02.01.2024,"11,437.50",Andel Ltd.,Growth & Sustainability,Grants,505002,N,N/A
02.01.2024,"12,499.00",Andel Ltd.,Growth & Sustainability,Grants,505002,N,N/A
02.01.2024,"12,426.21",Stream7 Limited,Growth & Sustainability,Grants,505002,N,N/A
02.01.2024,"12,460.00",West Siphonics Systems Limited,Growth & Sustainability,Grants,505002,N,N/A
02.01.2024,"11,350.00",Seven Hills Fabrication Ltd,Growth & Sustainability,Grants,505002,N,N/A
02.01.2024,"5,183.27",Doncaster Security Operations Centr,Growth & Sustainability,Grants,505002,N,N/A
02.01.2024,593.94,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.01.2024,619.8,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
