Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,808892,Letee Limited,H205,Housing (People) Services,Supplies and Services,"1,650.00",Oct-23
Slough Borough Council,808892,Letee Limited,H205,Housing (People) Services,Supplies and Services,750.00,Oct-23
Slough Borough Council,469,LimeBlue Innovation Limited,H213,Adult Social Care Operations,Supplies and Services,"1,715.00",Oct-23
Slough Borough Council,469,LimeBlue Innovation Limited,H213,Adult Social Care Operations,Supplies and Services,"1,715.00",Oct-23
Slough Borough Council,469,LimeBlue Innovation Limited,H213,Adult Social Care Operations,Supplies and Services,525.00,Oct-23
Slough Borough Council,469,LimeBlue Innovation Limited,H213,Adult Social Care Operations,Supplies and Services,"1,050.00",Oct-23
Slough Borough Council,804692,Little Diamonds Pre School,F909,Children & Families,Supplies and Services,"1,355.40",Oct-23
Slough Borough Council,804692,Little Diamonds Pre School,F909,Children & Families,Supplies and Services,"17,000.00",Oct-23
Slough Borough Council,3791,Littledown Pru,E610,Children & Families,Supplies and Services,"17,100.00",Oct-23
Slough Borough Council,667,Littledown School,E610,Children & Families,Supplies and Services,"101,111.67",Oct-23
Slough Borough Council,1282,Long Close School,F909,Children & Families,Supplies and Services,"6,608.87",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M42F,Adult Social Care Operations,Supplies and Services,"22,223.31",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M42F,Adult Social Care Operations,Supplies and Services,"1,808.41",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,"1,808.85",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,"1,567.71",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,"1,565.81",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,904.23,Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,"1,567.71",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,904.40,Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,"1,567.71",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,"1,808.41",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,904.18,Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,819.29,Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,M44F,Adult Social Care Operations,Supplies and Services,"1,808.41",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,"12,905.19",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,816.68,Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,"1,633.80",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,"12,905.19",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,816.68,Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,"1,633.80",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,"13,982.80",Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,816.68,Oct-23
Slough Borough Council,2302,Look Ahead Care And Support,H211,People Adults,Supplies and Services,556.19,Oct-23
Slough Borough Council,808989,Louise Brant,C322,Community,Supplies and Services,525.00,Oct-23
Slough Borough Council,1195,Lynch Hill (Foundation Primary) School,E620,Children & Families,Supplies and Services,"25,901.67",Oct-23
Slough Borough Council,1771,Lynch Hill Academy,E620,Children & Families,Supplies and Services,"13,305.14",Oct-23
Slough Borough Council,3424,M D Homes,M15F,Adult Social Care Operations,Supplies and Services,"5,115.00",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"2,457.35",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,839.75,Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"6,931.20",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"3,973.20",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"7,977.64",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"7,308.00",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"3,589.12",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"2,519.28",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"10,496.87",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"5,361.79",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"6,438.84",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,643.41,Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"3,778.88",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"9,237.24",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"1,259.65",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"1,004.25",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M42E,Adult Social Care Operations,Supplies and Services,"8,368.75",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M44C,Adult Social Care Operations,Supplies and Services,"3,591.56",Oct-23
Slough Borough Council,807217,Macadamia Support Limited,M44D,Adult Social Care Operations,Supplies and Services,"5,523.00",Oct-23
Slough Borough Council,1874,Maccabee Pets Hotel,H253,Place Regulation,Supplies and Services,"3,600.00",Oct-23
Slough Borough Council,1874,Maccabee Pets Hotel,H253,Place Regulation,Supplies and Services,960.00,Oct-23
Slough Borough Council,1941,Manor Green School,F551,Children & Families,Supplies and Services,"5,000.00",Oct-23
Slough Borough Council,4001,Manpower Direct Uk Limited,P242,Capital,Capital Charges,"2,695.60",Oct-23
Slough Borough Council,529,Marish Primary School,E620,Children & Families,Supplies and Services,"84,069.33",Oct-23
Slough Borough Council,1886,Matrix Scm,B023,Finance & Commercial,Agency Staff,"491,199.92",Oct-23
Slough Borough Council,1886,Matrix Scm,B023,Finance & Commercial,Agency Staff,"459,797.57",Oct-23
Slough Borough Council,1886,Matrix Scm,B023,Finance & Commercial,Agency Staff,"504,442.18",Oct-23
Slough Borough Council,1886,Matrix Scm,B023,Finance & Commercial,Agency Staff,"526,959.90",Oct-23
Slough Borough Council,1886,Matrix Scm,B348,People,Agency Staff,"15,951.00",Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,A07R,Adult Social Care Operations,Supplies and Services,512.00,Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,M44C,Adult Social Care Operations,Supplies and Services,930.00,Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,M44C,Adult Social Care Operations,Supplies and Services,"1,800.00",Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,M44C,Adult Social Care Operations,Supplies and Services,"1,352.00",Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,M44C,Adult Social Care Operations,Supplies and Services,"1,190.00",Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,M44D,Adult Social Care Operations,Supplies and Services,"4,398.00",Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,M45C,Adult Social Care Operations,Supplies and Services,"1,600.00",Oct-23
Slough Borough Council,807684,Maverick Care  Ltd T/A Christies Care Windsor & Maidenhead,M45C,Adult Social Care Operations,Supplies and Services,545.50,Oct-23
Slough Borough Council,2237,Metts Ltd,M50A,Place Operations,Transport,"1,002.47",Oct-23
Slough Borough Council,2237,Metts Ltd,M50A,Place Operations,Transport,503.83,Oct-23
Slough Borough Council,1496,Mighty Acorns Day Nursery Ltd,F909,Children & Families,Supplies and Services,"2,064.61",Oct-23
Slough Borough Council,1496,Mighty Acorns Day Nursery Ltd,F909,Children & Families,Supplies and Services,"11,535.61",Oct-23
Slough Borough Council,1496,Mighty Acorns Day Nursery Ltd,F909,Children & Families,Supplies and Services,"2,064.61",Oct-23
Slough Borough Council,808716,Mini Todds Ltd,F909,Children & Families,Supplies and Services,"1,045.20",Oct-23
Slough Borough Council,808716,Mini Todds Ltd,F909,Children & Families,Supplies and Services,"4,808.70",Oct-23
