Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,805404,Building Futures Together,F210,Community,TP-Other Bodies,"4,350.00",Nov-23
Slough Borough Council,741,Bunnies Pre-School,F909,Children & Families,Supplies and Services,"6,624.22",Nov-23
Slough Borough Council,741,Bunnies Pre-School,F909,Children & Families,Supplies and Services,"1,360.80",Nov-23
Slough Borough Council,803553,BUPA CARE HOME (CFH CARE),M25D,Adult Social Care Operations,Supplies and Services,"3,476.10",Nov-23
Slough Borough Council,803553,BUPA CARE HOME (CFH CARE),M25D,Adult Social Care Operations,Supplies and Services,"3,428.57",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"-3,257.14",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"5,314.33",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"5,314.33",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"1,200.04",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"5,314.33",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,M25D,Adult Social Care Operations,Supplies and Services,"5,142.90",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,M28C,Adult Social Care Operations,Supplies and Services,"5,314.33",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,M28C,Adult Social Care Operations,Supplies and Services,"5,314.33",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,M28C,Adult Social Care Operations,Supplies and Services,"4,114.29",Nov-23
Slough Borough Council,2675,Burnham Lodge Ltd,M28C,Adult Social Care Operations,Supplies and Services,"3,257.14",Nov-23
Slough Borough Council,629,C.H.O.I.C.E Limited,M26E,Adult Social Care Operations,Supplies and Services,"8,964.01",Nov-23
