Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779993,746.64,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779994,1334.4,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779995,995.52,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779996,1866.6,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779997,995.52,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779998,622.2,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40780732,667.2,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40780734,622.2,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40780735,829.6,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40780745,622.2,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40780747,622.2,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40780748,1296.25,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40781542,1866.6,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40781543,1866.6,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40781544,622.2,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40781545,934.08,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40781546,1244.4,2024-11-13 00:00:00
