Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Avison Young,Professional Fees (formerly Agency),"Growth, Enterprise and Environment",Place Investment Development (West),C20427,LUF Eston Precinct,Capital,40773085,2500,2024-10-28 00:00:00
Redcar & Cleveland Borough Council,Axiell Ltd,General Supplies & Services,General Fund,Other Operating Income & Expenditure,10006,Accounting Adjustments,Revenue,40776625,1063,2024-10-23 00:00:00
Redcar & Cleveland Borough Council,Baker Ross Ltd,Items For Resale,"Growth, Enterprise and Environment",Countryside,10247,Flatts Lane Centre,Revenue,40769960,714.92,2024-10-22 00:00:00
Redcar & Cleveland Borough Council,Barnardos - Middlesbrough,Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10689,Independent Fostering Agencies,Revenue,40770947,4065.77,2024-10-28 00:00:00
Redcar & Cleveland Borough Council,Barnardo's Services Ltd - Newcastle,Voluntary Associations,Children & Families,Safeguarding And CF,10288,Miscellaneous Contracts - Childrens,Revenue,40769160,6960,2024-10-09 00:00:00
Redcar & Cleveland Borough Council,Barnardo's Services Ltd - Newcastle,Services - Professional Fees,Children & Families,Education and Skills,10526,SENDIASS,Revenue,40770544,7066.75,2024-10-22 00:00:00
Redcar & Cleveland Borough Council,Barrier Surveillance Systems Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10156,Cyclic Maintenance,Revenue,40773345,519.5,2024-10-29 00:00:00
Redcar & Cleveland Borough Council,Bell Truck and Van Ltd,"Acquisition of Vehicles, Plant & Equipment","Growth, Enterprise and Environment",Place Development,C20480,LUP Community Grants -  Community Mini Buses,Capital,40773535,47721,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Bestway Wholesale Ltd,Refreshments,Adults & Communities,Operation Partnerships & Provider Services,11282,Meadowgate ICC,Revenue,40764738,649.48,2024-10-02 00:00:00
Redcar & Cleveland Borough Council,Bestway Wholesale Ltd,Refreshments,Adults & Communities,Operation Partnerships & Provider Services,11282,Meadowgate ICC,Revenue,40768287,586.34,2024-10-11 00:00:00
Redcar & Cleveland Borough Council,Bestway Wholesale Ltd,Refreshments,Adults & Communities,Operation Partnerships & Provider Services,11282,Meadowgate ICC,Revenue,40769273,136.15,2024-10-18 00:00:00
Redcar & Cleveland Borough Council,Bestway Wholesale Ltd,Refreshments,Adults & Communities,Operation Partnerships & Provider Services,11282,Meadowgate ICC,Revenue,40769273,366.48,2024-10-18 00:00:00
Redcar & Cleveland Borough Council,Bestway Wholesale Ltd,Refreshments,Adults & Communities,Operation Partnerships & Provider Services,11282,Meadowgate ICC,Revenue,40770824,543.2,2024-10-25 00:00:00
Redcar & Cleveland Borough Council,Beth's Childminding,Grants & Donations,Children & Families,Education DSG Funded,10502,3 & 4 Basic Entitlement (PVI & Childminders),Revenue,40776413,538.65,2024-10-23 00:00:00
Redcar & Cleveland Borough Council,Beyond Housing,Private Contractors,Adults & Communities,Partnership Lead,10994,"BCF - Recovery, Assessment & Reablement Beds",Revenue,40768490,652.16,2024-10-04 00:00:00
Redcar & Cleveland Borough Council,Beyond Housing,Private Contractors,Adults & Communities,Operation Partnerships & Provider Services,10040,Assistive Technology,Revenue,40773161,522.4,2024-10-07 00:00:00
Redcar & Cleveland Borough Council,Beyond Housing,Private Contractors,Adults & Communities,Operation Partnerships & Provider Services,10040,Assistive Technology,Revenue,40773603,76824.81,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,Beyond Housing,Capital Grant Expenditure,Adults & Communities,Service Improvement & Commissioning,C20090,Community Capacity Grant,Capital,40774120,910,2024-10-15 00:00:00
