Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,782.66,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,622.82,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,706.34,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,-65,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,782.66,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,782.66,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,706.34,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,199.08,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,624.61,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,426.75,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,210.6,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,717.08,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,706.34,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,624.73,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,849.25,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,782.66,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1093.11,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Nutrition Kitchen Ltd,Events,10000,0,COMMERCIAL SUPPLIER
07-02-2024,Marketing,NEWway Project,Private Contractors Payment - Other,9361,0,COMMERCIAL SUPPLIER
07-02-2024,Marketing,Personal Information - Redacted,Design And Photographic Costs,275,0,VENDOR
07-02-2024,Resources,Personal Information - Redacted,Design And Photographic Costs,475,0,VENDOR
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,575,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,310,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,225,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,450,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,675,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,600,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,600,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,London Network for Pest Solutions Ltd,Private Contractors Payment - Other,600,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Personal Information - Redacted,Legal Fees,158.33,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Personal Information - Redacted,Legal Fees,241.67,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Rays Care Ltd,Home Care - Private Contractors Payment,1078,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Rays Care Ltd,Home Care - Private Contractors Payment,1078,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Rays Care Ltd,Home Care - Private Contractors Payment,1078,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Rays Care Ltd,Home Care - Private Contractors Payment,1078,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Personal Information - Redacted,Legal Fees,700,0,LEGAL SERVICES
07-02-2024,Children and Young People,Personal Information - Redacted,Legal Fees,375,0,LEGAL SERVICES
07-02-2024,Inclusive Economy & Housing,Shelter Training,Staff Development And Training,950,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,2046,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1619.75,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1875.5,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,2046,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,2046,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,2046,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1875.5,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1875.5,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1875.5,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1619.75,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1619.75,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1619.75,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1619.75,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,2046,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,2046,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1619.75,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,1619.75,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,5.04,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,22.32,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,21.6,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,22.32,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Claremont Residential Ltd,Rents Payable,21.6,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Midos Management Co Ltd,Rents Payable,1860,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Midos Management Co Ltd,Rents Payable,2170,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Midos Management Co Ltd,Rents Payable,1488,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Midos Management Co Ltd,Rents Payable,1488,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,868,0,NON COMMERCIAL SUPPLIER
